implementer g / implemented f,topological_rank,topological_layer,"{1,1,1}","{1,1,1,1}","{2,1,1}","{2,2,1}","{2,2,2}","{3,1,1}","{3,2,1}","{3,2,2}","{3,3,1}","{3,3,2}","{3,3,3}"
"{1,1,1}",1,1,1.000000000000000,0.792481250360578,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"{1,1,1,1}",2,2,1.261859507142915,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"{2,1,1}",3,3,1.000000000000000,0.792481250360578,1.000000000000000,0.810710375084768,0.718548531230889,0.630929753571457,0.627256789132505,0.610592571750440,0.567408258032509,0.556424704503324,0.523333731096031
"{2,2,1}",4,4,1.000000000000000,0.792481250360578,1.000000000000000,1.000000000000000,0.884183658604178,0.630929753571457,0.630929753571457,0.630929753571457,0.630929753571457,0.630929753571457,0.630929753571457
"{2,2,2}",5,5,1.000000000000000,0.792481250360578,1.000000000000000,1.000000000000000,1.000000000000000,0.630929753571457,0.630929753571457,0.630929753571457,0.630929753571457,0.630929753571457,0.630929753571457
"{3,1,1}",6,6,1.000000000000000,0.792481250360578,1.000000000000000,0.980905978628675,0.896902567750253,1.000000000000000,0.895334798497792,0.823974678929155,0.810710375084768,0.764060891040634,0.718548531230889
"{3,2,1}",7,7,1.000000000000000,0.792481250360578,1.000000000000000,1.000000000000000,0.983762996343693,1.000000000000000,1.000000000000000,0.920109095732588,0.893572095432983,0.851812789199645,0.799720185848670
"{3,2,2}",8,8,1.000000000000000,0.792481250360578,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.925435976258899,0.911159123717648,0.855726664316205
"{3,3,1}",9,9,1.000000000000000,0.792481250360578,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.985330897926830,1.000000000000000,0.935638468086144,0.884183658604178
"{3,3,2}",10,10,1.000000000000000,0.792481250360578,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.937687524337163
"{3,3,3}",11,11,1.000000000000000,0.792481250360578,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
