q,C_split_to_anisotropic,C_anisotropic_to_split,log_q_plus_1_over_log_2q_minus_1,one_minus_C_times_q_log_q
3,0.996599956917753,0.861353116146786,0.861353116146786,0.011205987336472
5,0.996755806084529,0.815464876785729,0.815464876785729,0.026106643414234
7,0.997439400297770,0.810714463281959,0.810714463281959,0.034878878637668
11,0.998307556276405,0.816189304108436,0.816189304108436,0.044641330847143
13,0.998571250413655,0.819869256597780,0.819869256597780,0.047640714335097
17,0.998924310938470,0.826645361717423,0.826645361717423,0.051810162254106
23,0.999228450515655,0.834866195489713,0.834866195489713,0.055641345745769
31,0.999449079182896,0.843065493447505,0.843065493447505,0.058647506135251
41,0.999600161338947,0.850543375683220,0.850543375683220,0.060878016997934
61,0.999747694631110,0.860574361162295,0.860574361162295,0.063268928352359
101,0.999859860444427,0.872092571229689,0.872092571229689,0.065322854752854
151,0.999912344688250,0.880284467583760,0.880284467583760,0.066408475463209
251,0.999951465140485,0.889461065668368,0.889461065668368,0.067312447621462
509,0.999978555701576,0.900326309856124,0.900326309856124,0.068028091866769
