q,implementer,implemented,rate,contact_beta,closed_form
3,S,S,1.000000000000000,0,
3,S,L,0.630929753571457,0,0.630929753571457
3,S,A,0.630929753571457,0,0.630929753571457
3,S,X,0.630929753571457,0,0.630929753571457
3,L,S,0.613147192765458,inf,0.613147192765458
3,L,L,1.000000000000000,0,
3,L,A,0.792481250360578,inf,0.792481250360578
3,L,X,0.682606194485985,inf,0.682606194485985
3,A,S,0.773705614469083,inf,0.773705614469083
3,A,L,0.975301061607425,0.3835,
3,A,A,1.000000000000000,0,
3,A,X,0.861353116146786,inf,0.861353116146786
3,X,S,0.897377759644884,4.6160,
3,X,L,0.984018804151416,0.4192,
3,X,A,0.996599956917753,1.4842,
3,X,X,1.000000000000000,0,
4,S,S,1.000000000000000,0,
4,S,L,0.500000000000000,0,0.500000000000000
4,S,A,0.500000000000000,0,0.500000000000000
4,S,X,0.500000000000000,0,0.500000000000000
4,L,S,0.666666666666667,inf,0.666666666666667
4,L,L,1.000000000000000,0,
4,L,A,0.861353116146786,inf,0.861353116146786
4,L,X,0.712414374216044,inf,0.712414374216044
4,A,S,0.773976031629121,inf,0.773976031629121
4,A,L,0.980823740807147,0.3703,
4,A,A,1.000000000000000,0,
4,A,X,0.827087475346916,inf,0.827087475346916
4,X,S,0.872191801461298,3.2885,
4,X,L,0.990191908317436,0.4258,
4,X,A,0.996441744735937,1.4867,
4,X,X,1.000000000000000,0,
5,S,S,1.000000000000000,0,
5,S,L,0.682606194485985,0,0.682606194485985
5,S,A,0.682606194485985,0,0.682606194485985
5,S,X,0.682606194485985,0,0.682606194485985
5,L,S,0.698970004336019,inf,0.698970004336019
5,L,L,1.000000000000000,0,
5,L,A,0.898244401703927,inf,0.898244401703927
5,L,X,0.732486760358963,inf,0.732486760358963
5,A,S,0.778151250383644,inf,0.778151250383644
5,A,L,0.984346417218881,0.3607,
5,A,A,1.000000000000000,0,
5,A,X,0.815464876785729,inf,0.815464876785729
5,X,S,0.898263674598285,3.4831,
5,X,L,0.993132225836154,0.4295,
5,X,A,0.996755806084529,1.4880,
5,X,X,1.000000000000000,0,
7,S,S,1.000000000000000,0,
7,S,L,0.712414374216044,0,0.712414374216044
7,S,A,0.712414374216044,0,0.712414374216044
