order,curve_id,formula,new_point_count,new_n_values,all_curve_n_values
1,e_p5_8__d_p5_8,c_n = 5/8 - (5/8)/n,8,1 9 17 25 33 41 49 57,1 9 17 25 33 41 49 57
2,e_p5_8__d_p1_4,c_n = 5/8 - (1/4)/n,13,2 10 18 26 34 42 50 58 66 74 82 90 98,2 10 18 26 34 42 50 58 66 74 82 90 98
3,e_p2_3__d_p1_1,c_n = 2/3 - (1)/n,7,3 6 12 15 21 24 27,3 6 9 12 15 18 21 24 27
4,e_p5_8__d_p1_2,c_n = 5/8 - (1/2)/n,10,4 20 28 36 44 52 60 68 76 84,4 12 20 28 36 44 52 60 68 76 84
5,e_p5_8__d_p1_8,c_n = 5/8 - (1/8)/n,11,5 13 29 37 45 53 61 69 77 85 93,5 13 21 29 37 45 53 61 69 77 85 93
6,e_p5_8__d_p3_8,c_n = 5/8 - (3/8)/n,11,7 23 31 39 47 55 63 71 79 87 95,7 15 23 31 39 47 55 63 71 79 87 95
7,e_p5_8__d_p0_1,c_n = 5/8 - (0)/n,11,8 16 32 40 48 56 64 72 80 88 96,8 16 24 32 40 48 56 64 72 80 88 96
8,e_p2_3__d_p4_3,c_n = 2/3 - (4/3)/n,3,11 14 35,11 14 17 20 23 26 29 32 35
9,e_p2_3__d_p5_3,c_n = 2/3 - (5/3)/n,4,19 22 43 46,19 22 25 28 31 34 37 40 43 46
10,e_p2_3__d_p2_1,c_n = 2/3 - (2)/n,3,30 51 54,30 33 36 39 42 45 48 51 54
11,e_p2_3__d_p7_3,c_n = 2/3 - (7/3)/n,4,38 59 62 65,38 41 44 47 50 53 56 59 62 65
12,e_p5_8__d_m1_8,c_n = 5/8 - (-1/8)/n,5,67 75 83 91 99,27 35 43 51 59 67 75 83 91 99
13,e_p5_8__d_m1_4,c_n = 5/8 - (-1/4)/n,4,70 78 86 94,46 54 62 70 78 86 94
14,e_p5_8__d_m3_8,c_n = 5/8 - (-3/8)/n,4,73 81 89 97,65 73 81 89 97
15,e_p5_8__d_m1_2,c_n = 5/8 - (-1/2)/n,2,92 100,92 100
