q,q_mod_3,pair,rate,contact_beta,one_minus_rate_scaled
101,2,L->E1,0.963995504284542,inf,1.669938456
101,2,E1->L,0.999814639499181,0.414,0.008597277
101,2,L->E0,1.000000000000000,0,0.000000000
101,2,E0->L,1.000000000000000,0,0.000000000
101,2,E1->E0,0.999814639499181,0.414,0.008597277
101,2,E0->E1,0.963995504284542,inf,1.669938456
101,2,E1->X,0.902737411063584,inf,4.511173795
101,2,X->E1,0.999954053057626,1.596,0.002131083
211,1,L->E1,0.977247101660798,inf,1.768815547
211,1,E1->L,0.999924851379929,0.414,0.005842071
211,1,L->E0,0.976502595469764,inf,1.826693629
211,1,E0->L,0.999847954404788,0.414,0.011820060
211,1,E1->E0,0.995022586012516,37.814,0.386945307
211,1,E0->E1,0.999923097224507,0.413,0.005978439
211,1,E1->X,0.906304205909223,6572.588,7.283932568
211,1,X->E1,0.999984859216071,1.532,0.001177048
401,2,L->E1,0.984751645367231,inf,1.830244515
401,2,E1->L,0.999964248129255,0.414,0.004291261
401,2,L->E0,1.000000000000000,0,0.000000000
401,2,E0->L,1.000000000000000,0,0.000000000
401,2,E1->E0,0.999964248129255,0.414,0.004291261
401,2,E0->E1,0.984751645367231,inf,1.830244515
401,2,E1->X,0.910395052350177,inf,10.755190832
401,2,X->E1,0.999991898326449,1.564,0.000972436
1009,1,L->E1,0.991452110833353,inf,1.878037881
1009,1,E1->L,0.999987728052644,0.414,0.002696242
1009,1,L->E0,0.991452110833353,inf,1.878037881
1009,1,E0->L,0.999975412123265,0.414,0.005402148
1009,1,E1->E0,0.998142723236509,69.150,0.408058182
1009,1,E0->E1,0.999987683919470,0.414,0.002705939
1009,1,E1->X,0.916810622231289,inf,18.277354759
1009,1,X->E1,0.999997347823752,1.549,0.000582704
2003,2,L->E1,0.994313994823746,inf,1.934632672
2003,2,E1->L,0.999994361499148,0.414,0.001918470
2003,2,L->E0,1.000000000000000,0,0.000000000
2003,2,E0->L,1.000000000000000,0,0.000000000
2003,2,E1->E0,0.999994361499148,0.414,0.001918470
2003,2,E0->E1,0.994313994823746,inf,1.934632672
2003,2,E1->X,0.921711918362807,inf,26.637098612
2003,2,X->E1,0.999998752085418,1.556,0.000424596
