curve_id,e_numerator,e_denominator,d_numerator,d_denominator,formula,point_count,n_values,in_minimum_cover
e_p1_1__d_p1_1,1,1,1,1,c_n = 1 - (1)/n,2,1 2,False
e_p1_1__d_p2_1,1,1,2,1,c_n = 1 - (2)/n,3,3 4 5,False
e_p1_1__d_p3_1,1,1,3,1,c_n = 1 - (3)/n,3,6 7 8,False
e_p1_1__d_p4_1,1,1,4,1,c_n = 1 - (4)/n,2,9 10,False
e_p1_1__d_p5_1,1,1,5,1,c_n = 1 - (5)/n,3,11 12 13,False
e_p1_1__d_p6_1,1,1,6,1,c_n = 1 - (6)/n,3,14 15 16,False
e_p1_1__d_p7_1,1,1,7,1,c_n = 1 - (7)/n,2,17 18,False
e_p1_1__d_p8_1,1,1,8,1,c_n = 1 - (8)/n,3,19 20 21,False
e_p1_1__d_p9_1,1,1,9,1,c_n = 1 - (9)/n,3,22 23 24,False
e_p1_1__d_p10_1,1,1,10,1,c_n = 1 - (10)/n,3,25 26 27,False
e_p1_1__d_p11_1,1,1,11,1,c_n = 1 - (11)/n,2,28 29,False
e_p1_1__d_p12_1,1,1,12,1,c_n = 1 - (12)/n,3,30 31 32,False
e_p1_1__d_p13_1,1,1,13,1,c_n = 1 - (13)/n,3,33 34 35,False
e_p1_1__d_p14_1,1,1,14,1,c_n = 1 - (14)/n,2,36 37,False
e_p1_1__d_p15_1,1,1,15,1,c_n = 1 - (15)/n,3,38 39 40,False
e_p1_1__d_p16_1,1,1,16,1,c_n = 1 - (16)/n,3,41 42 43,False
e_p1_1__d_p17_1,1,1,17,1,c_n = 1 - (17)/n,3,44 45 46,False
e_p1_1__d_p18_1,1,1,18,1,c_n = 1 - (18)/n,2,47 48,False
e_p1_1__d_p19_1,1,1,19,1,c_n = 1 - (19)/n,3,49 50 51,False
e_p1_1__d_p20_1,1,1,20,1,c_n = 1 - (20)/n,3,52 53 54,False
e_p1_1__d_p21_1,1,1,21,1,c_n = 1 - (21)/n,2,55 56,False
e_p1_1__d_p22_1,1,1,22,1,c_n = 1 - (22)/n,3,57 58 59,False
e_p1_1__d_p23_1,1,1,23,1,c_n = 1 - (23)/n,3,60 61 62,False
e_p1_1__d_p24_1,1,1,24,1,c_n = 1 - (24)/n,3,63 64 65,False
e_p1_1__d_p25_1,1,1,25,1,c_n = 1 - (25)/n,2,66 67,False
e_p1_1__d_p26_1,1,1,26,1,c_n = 1 - (26)/n,3,68 69 70,False
e_p1_1__d_p27_1,1,1,27,1,c_n = 1 - (27)/n,3,71 72 73,False
e_p1_1__d_p28_1,1,1,28,1,c_n = 1 - (28)/n,2,74 75,False
e_p1_1__d_p29_1,1,1,29,1,c_n = 1 - (29)/n,3,76 77 78,False
e_p1_1__d_p30_1,1,1,30,1,c_n = 1 - (30)/n,3,79 80 81,False
e_p1_1__d_p31_1,1,1,31,1,c_n = 1 - (31)/n,2,82 83,False
e_p1_1__d_p32_1,1,1,32,1,c_n = 1 - (32)/n,3,84 85 86,False
e_p1_1__d_p33_1,1,1,33,1,c_n = 1 - (33)/n,3,87 88 89,False
e_p1_1__d_p34_1,1,1,34,1,c_n = 1 - (34)/n,3,90 91 92,False
e_p1_1__d_p35_1,1,1,35,1,c_n = 1 - (35)/n,2,93 94,False
e_p1_1__d_p36_1,1,1,36,1,c_n = 1 - (36)/n,3,95 96 97,False
e_p1_1__d_p37_1,1,1,37,1,c_n = 1 - (37)/n,3,98 99 100,False
e_p1_2__d_m13_1,1,2,-13,1,c_n = 1/2 - (-13)/n,1,100,False
e_p1_2__d_m25_2,1,2,-25,2,c_n = 1/2 - (-25/2)/n,2,97 99,False
e_p1_2__d_m12_1,1,2,-12,1,c_n = 1/2 - (-12)/n,4,92 94 96 98,False
e_p1_2__d_m23_2,1,2,-23,2,c_n = 1/2 - (-23/2)/n,4,89 91 93 95,False
e_p1_2__d_m11_1,1,2,-11,1,c_n = 1/2 - (-11)/n,3,86 88 90,False
e_p1_2__d_m21_2,1,2,-21,2,c_n = 1/2 - (-21/2)/n,4,81 83 85 87,False
e_p1_2__d_m10_1,1,2,-10,1,c_n = 1/2 - (-10)/n,4,78 80 82 84,False
e_p1_2__d_m19_2,1,2,-19,2,c_n = 1/2 - (-19/2)/n,4,73 75 77 79,False
e_p1_2__d_m9_1,1,2,-9,1,c_n = 1/2 - (-9)/n,4,70 72 74 76,False
e_p1_2__d_m17_2,1,2,-17,2,c_n = 1/2 - (-17/2)/n,4,65 67 69 71,False
e_p1_2__d_m8_1,1,2,-8,1,c_n = 1/2 - (-8)/n,4,62 64 66 68,False
e_p1_2__d_m15_2,1,2,-15,2,c_n = 1/2 - (-15/2)/n,3,59 61 63,False
e_p1_2__d_m7_1,1,2,-7,1,c_n = 1/2 - (-7)/n,4,54 56 58 60,False
e_p1_2__d_m13_2,1,2,-13,2,c_n = 1/2 - (-13/2)/n,4,51 53 55 57,False
e_p1_2__d_m6_1,1,2,-6,1,c_n = 1/2 - (-6)/n,4,46 48 50 52,False
e_p1_2__d_m11_2,1,2,-11,2,c_n = 1/2 - (-11/2)/n,4,43 45 47 49,False
e_p1_2__d_m5_1,1,2,-5,1,c_n = 1/2 - (-5)/n,3,40 42 44,False
e_p1_2__d_m9_2,1,2,-9,2,c_n = 1/2 - (-9/2)/n,4,35 37 39 41,False
e_p1_2__d_m4_1,1,2,-4,1,c_n = 1/2 - (-4)/n,4,32 34 36 38,False
e_p1_2__d_m7_2,1,2,-7,2,c_n = 1/2 - (-7/2)/n,4,27 29 31 33,False
e_p1_2__d_m3_1,1,2,-3,1,c_n = 1/2 - (-3)/n,4,24 26 28 30,False
e_p1_2__d_m5_2,1,2,-5,2,c_n = 1/2 - (-5/2)/n,3,21 23 25,False
e_p1_2__d_m2_1,1,2,-2,1,c_n = 1/2 - (-2)/n,4,16 18 20 22,False
e_p1_2__d_m3_2,1,2,-3,2,c_n = 1/2 - (-3/2)/n,4,13 15 17 19,False
e_p1_2__d_m1_1,1,2,-1,1,c_n = 1/2 - (-1)/n,4,8 10 12 14,False
e_p1_2__d_m1_2,1,2,-1,2,c_n = 1/2 - (-1/2)/n,4,5 7 9 11,False
e_p1_2__d_p0_1,1,2,0,1,c_n = 1/2 - (0)/n,3,2 4 6,False
e_p1_2__d_p1_2,1,2,1,2,c_n = 1/2 - (1/2)/n,2,1 3,False
e_p2_3__d_p1_3,2,3,1,3,c_n = 2/3 - (1/3)/n,3,2 5 8,False
e_p2_3__d_p2_3,2,3,2,3,c_n = 2/3 - (2/3)/n,6,1 4 7 10 13 16,False
e_p2_3__d_p1_1,2,3,1,1,c_n = 2/3 - (1)/n,9,3 6 9 12 15 18 21 24 27,False
e_p2_3__d_p4_3,2,3,4,3,c_n = 2/3 - (4/3)/n,9,11 14 17 20 23 26 29 32 35,False
e_p2_3__d_p5_3,2,3,5,3,c_n = 2/3 - (5/3)/n,10,19 22 25 28 31 34 37 40 43 46,False
e_p2_3__d_p2_1,2,3,2,1,c_n = 2/3 - (2)/n,9,30 33 36 39 42 45 48 51 54,False
e_p2_3__d_p7_3,2,3,7,3,c_n = 2/3 - (7/3)/n,10,38 41 44 47 50 53 56 59 62 65,False
e_p2_3__d_p8_3,2,3,8,3,c_n = 2/3 - (8/3)/n,9,49 52 55 58 61 64 67 70 73,False
e_p2_3__d_p3_1,2,3,3,1,c_n = 2/3 - (3)/n,9,57 60 63 66 69 72 75 78 81,False
e_p2_3__d_p10_3,2,3,10,3,c_n = 2/3 - (10/3)/n,9,68 71 74 77 80 83 86 89 92,False
e_p2_3__d_p11_3,2,3,11,3,c_n = 2/3 - (11/3)/n,9,76 79 82 85 88 91 94 97 100,False
e_p2_3__d_p4_1,2,3,4,1,c_n = 2/3 - (4)/n,6,84 87 90 93 96 99,False
e_p2_3__d_p13_3,2,3,13,3,c_n = 2/3 - (13/3)/n,2,95 98,False
e_p5_8__d_m1_2,5,8,-1,2,c_n = 5/8 - (-1/2)/n,2,92 100,True
e_p5_8__d_m3_8,5,8,-3,8,c_n = 5/8 - (-3/8)/n,5,65 73 81 89 97,True
e_p5_8__d_m1_4,5,8,-1,4,c_n = 5/8 - (-1/4)/n,7,46 54 62 70 78 86 94,True
e_p5_8__d_m1_8,5,8,-1,8,c_n = 5/8 - (-1/8)/n,10,27 35 43 51 59 67 75 83 91 99,True
e_p5_8__d_p0_1,5,8,0,1,c_n = 5/8 - (0)/n,12,8 16 24 32 40 48 56 64 72 80 88 96,True
e_p5_8__d_p1_8,5,8,1,8,c_n = 5/8 - (1/8)/n,12,5 13 21 29 37 45 53 61 69 77 85 93,True
e_p5_8__d_p1_4,5,8,1,4,c_n = 5/8 - (1/4)/n,13,2 10 18 26 34 42 50 58 66 74 82 90 98,True
e_p5_8__d_p3_8,5,8,3,8,c_n = 5/8 - (3/8)/n,12,7 15 23 31 39 47 55 63 71 79 87 95,True
e_p5_8__d_p1_2,5,8,1,2,c_n = 5/8 - (1/2)/n,11,4 12 20 28 36 44 52 60 68 76 84,True
e_p5_8__d_p5_8,5,8,5,8,c_n = 5/8 - (5/8)/n,8,1 9 17 25 33 41 49 57,True
e_p5_8__d_p3_4,5,8,3,4,c_n = 5/8 - (3/4)/n,5,6 14 22 30 38,True
e_p5_8__d_p7_8,5,8,7,8,c_n = 5/8 - (7/8)/n,3,3 11 19,True
e_p12_19__d_p1_19,12,19,1,19,c_n = 12/19 - (1/19)/n,4,8 27 46 65,False
e_p12_19__d_p2_19,12,19,2,19,c_n = 12/19 - (2/19)/n,5,16 35 54 73 92,False
e_p12_19__d_p3_19,12,19,3,19,c_n = 12/19 - (3/19)/n,6,5 24 43 62 81 100,False
e_p12_19__d_p4_19,12,19,4,19,c_n = 12/19 - (4/19)/n,5,13 32 51 70 89,False
e_p12_19__d_p5_19,12,19,5,19,c_n = 12/19 - (5/19)/n,6,2 21 40 59 78 97,False
e_p12_19__d_p6_19,12,19,6,19,c_n = 12/19 - (6/19)/n,5,10 29 48 67 86,False
e_p12_19__d_p7_19,12,19,7,19,c_n = 12/19 - (7/19)/n,5,18 37 56 75 94,False
e_p12_19__d_p8_19,12,19,8,19,c_n = 12/19 - (8/19)/n,5,7 26 45 64 83,False
e_p12_19__d_p9_19,12,19,9,19,c_n = 12/19 - (9/19)/n,5,15 34 53 72 91,False
e_p12_19__d_p10_19,12,19,10,19,c_n = 12/19 - (10/19)/n,6,4 23 42 61 80 99,False
e_p12_19__d_p11_19,12,19,11,19,c_n = 12/19 - (11/19)/n,5,12 31 50 69 88,False
e_p12_19__d_p12_19,12,19,12,19,c_n = 12/19 - (12/19)/n,6,1 20 39 58 77 96,False
e_p12_19__d_p13_19,12,19,13,19,c_n = 12/19 - (13/19)/n,5,9 28 47 66 85,False
e_p12_19__d_p14_19,12,19,14,19,c_n = 12/19 - (14/19)/n,5,17 36 55 74 93,False
e_p12_19__d_p15_19,12,19,15,19,c_n = 12/19 - (15/19)/n,5,6 25 44 63 82,False
e_p12_19__d_p16_19,12,19,16,19,c_n = 12/19 - (16/19)/n,5,14 33 52 71 90,False
e_p12_19__d_p17_19,12,19,17,19,c_n = 12/19 - (17/19)/n,6,3 22 41 60 79 98,False
e_p12_19__d_p18_19,12,19,18,19,c_n = 12/19 - (18/19)/n,5,11 30 49 68 87,False
e_p12_19__d_p1_1,12,19,1,1,c_n = 12/19 - (1)/n,5,19 38 57 76 95,False
e_p12_19__d_p20_19,12,19,20,19,c_n = 12/19 - (20/19)/n,1,84,False
e_p41_65__d_p0_1,41,65,0,1,c_n = 41/65 - (0)/n,1,65,False
e_p41_65__d_p1_65,41,65,1,65,c_n = 41/65 - (1/65)/n,1,46,False
e_p41_65__d_p2_65,41,65,2,65,c_n = 41/65 - (2/65)/n,2,27 92,False
e_p41_65__d_p3_65,41,65,3,65,c_n = 41/65 - (3/65)/n,2,8 73,False
e_p41_65__d_p4_65,41,65,4,65,c_n = 41/65 - (4/65)/n,1,54,False
e_p41_65__d_p1_13,41,65,1,13,c_n = 41/65 - (1/13)/n,2,35 100,False
e_p41_65__d_p6_65,41,65,6,65,c_n = 41/65 - (6/65)/n,2,16 81,False
e_p41_65__d_p7_65,41,65,7,65,c_n = 41/65 - (7/65)/n,1,62,False
e_p41_65__d_p8_65,41,65,8,65,c_n = 41/65 - (8/65)/n,1,43,False
e_p41_65__d_p9_65,41,65,9,65,c_n = 41/65 - (9/65)/n,2,24 89,False
e_p41_65__d_p2_13,41,65,2,13,c_n = 41/65 - (2/13)/n,2,5 70,False
e_p41_65__d_p11_65,41,65,11,65,c_n = 41/65 - (11/65)/n,1,51,False
e_p41_65__d_p12_65,41,65,12,65,c_n = 41/65 - (12/65)/n,2,32 97,False
e_p41_65__d_p1_5,41,65,1,5,c_n = 41/65 - (1/5)/n,2,13 78,False
e_p41_65__d_p14_65,41,65,14,65,c_n = 41/65 - (14/65)/n,1,59,False
e_p41_65__d_p3_13,41,65,3,13,c_n = 41/65 - (3/13)/n,1,40,False
