order,color,curve_id,formula,point_count,n_values
1,#a78bfa,e_p5_8__d_p5_8,c_n = 5/8 - (5/8)/n,8,1 9 17 25 33 41 49 57
2,#f472b6,e_p5_8__d_p1_4,c_n = 5/8 - (1/4)/n,13,2 10 18 26 34 42 50 58 66 74 82 90 98
3,#34d399,e_p5_8__d_p7_8,c_n = 5/8 - (7/8)/n,3,3 11 19
4,#60a5fa,e_p5_8__d_p1_2,c_n = 5/8 - (1/2)/n,11,4 12 20 28 36 44 52 60 68 76 84
5,#fb7185,e_p5_8__d_p1_8,c_n = 5/8 - (1/8)/n,12,5 13 21 29 37 45 53 61 69 77 85 93
6,#fbbf24,e_p5_8__d_p3_4,c_n = 5/8 - (3/4)/n,5,6 14 22 30 38
7,#2dd4bf,e_p5_8__d_p3_8,c_n = 5/8 - (3/8)/n,12,7 15 23 31 39 47 55 63 71 79 87 95
8,#c084fc,e_p5_8__d_p0_1,c_n = 5/8 - (0)/n,12,8 16 24 32 40 48 56 64 72 80 88 96
9,#fb923c,e_p5_8__d_m1_8,c_n = 5/8 - (-1/8)/n,10,27 35 43 51 59 67 75 83 91 99
10,#4ade80,e_p5_8__d_m1_4,c_n = 5/8 - (-1/4)/n,7,46 54 62 70 78 86 94
11,#818cf8,e_p5_8__d_m3_8,c_n = 5/8 - (-3/8)/n,5,65 73 81 89 97
12,#f87171,e_p5_8__d_m1_2,c_n = 5/8 - (-1/2)/n,2,92 100
