family,i,j,signature_i,signature_j,distance
certificate,0,1,"{12,10,8,8,2,1}","{11,9,7,7,4,1}",0.040039323882746
certificate,0,2,"{12,10,8,8,2,1}","{12,12,6,5,4,4}",0.022569541155997
certificate,0,3,"{12,10,8,8,2,1}","{12,10,7,4,3,3}",0.030206290034266
certificate,0,4,"{12,10,8,8,2,1}","{11,11,7,7,4,3}",0.059171264600273
certificate,1,2,"{11,9,7,7,4,1}","{12,12,6,5,4,4}",0.058306742667517
certificate,1,3,"{11,9,7,7,4,1}","{12,10,7,4,3,3}",0.036127760202474
certificate,1,4,"{11,9,7,7,4,1}","{11,11,7,7,4,3}",0.026787520421080
certificate,2,3,"{12,12,6,5,4,4}","{12,10,7,4,3,3}",0.026750686140467
certificate,2,4,"{12,12,6,5,4,4}","{11,11,7,7,4,3}",0.036650431579245
certificate,3,4,"{12,10,7,4,3,3}","{11,11,7,7,4,3}",0.061960070822706
pentagon,0,1,"{10,6}","{8,8,1,1,1,1}",1.051644078525834
pentagon,0,2,"{10,6}","{10,10,6,5,4,4}",0.949711001364324
pentagon,0,3,"{10,6}","{9,9,2}",0.507398185269675
pentagon,0,4,"{10,6}","{10,5,5,3,3,1}",0.950714099500810
pentagon,1,2,"{8,8,1,1,1,1}","{10,10,6,5,4,4}",0.202746445331550
pentagon,1,3,"{8,8,1,1,1,1}","{9,9,2}",0.544245893256159
pentagon,1,4,"{8,8,1,1,1,1}","{10,5,5,3,3,1}",0.101989774541966
pentagon,2,3,"{10,10,6,5,4,4}","{9,9,2}",0.443575417714912
pentagon,2,4,"{10,10,6,5,4,4}","{10,5,5,3,3,1}",0.108264203175636
pentagon,3,4,"{9,9,2}","{10,5,5,3,3,1}",0.506019058438521
