m,q1_outputs,q2_outputs,C_mod_2m_q1_to_q2,beta_q1_to_q2,C_mod_2m_q2_to_q1,beta_q2_to_q1
2,3,4,0.792481250360578,0.000000000000000,0.666666666666667,inf
3,5,6,0.898244401703927,0.000000000000000,0.972252496019377,3.233701789046472
4,9,10,0.954242509439325,0.000000000000000,0.991176112003273,2.948524542069570
5,17,18,0.980224545965827,0.000000000000000,0.996676462280587,2.856048075906859
6,33,34,0.991534341726749,0.000000000000000,0.998646536327272,2.822511980680820
7,65,66,0.996355911627361,0.000000000000000,0.999424249741610,2.811904096764384
8,129,130,0.998413561080562,0.000000000000000,0.999748319424651,2.810839153303804
9,257,258,0.999300643203501,0.000000000000000,0.999887929942568,2.813666146380696
10,513,514,0.999688024570481,0.000000000000000,0.999949423598611,2.817879431483874
11,1025,1026,0.999859357469667,0.000000000000000,0.999976940185036,2.822359169937538
12,2049,2050,0.999936014974708,0.000000000000000,0.999989399891185,2.826639825849120
13,4097,4098,0.999970660760981,0.000000000000000,0.999995094513510,2.830571674222297
14,8193,8194,0.999986455905851,0.000000000000000,0.999997716973734,2.834091956300996
