n,k_max,c_n,candidate_curve_count,candidate_curve_ids,minimum_cover_curve_id,color
1,0,0.000000000000000,7,e_p1_1__d_p1_1;e_p1_2__d_p1_2;e_p2_3__d_p2_3;e_p5_8__d_p5_8;e_p12_19__d_p12_19;e_p41_65__d_p41_65;e_p53_84__d_p53_84,e_p5_8__d_p5_8,#a78bfa
2,1,0.500000000000000,7,e_p1_1__d_p1_1;e_p1_2__d_p0_1;e_p2_3__d_p1_3;e_p5_8__d_p1_4;e_p12_19__d_p5_19;e_p41_65__d_p17_65;e_p53_84__d_p11_42,e_p5_8__d_p1_4,#f472b6
3,1,0.333333333333333,7,e_p1_1__d_p2_1;e_p1_2__d_p1_2;e_p2_3__d_p1_1;e_p5_8__d_p7_8;e_p12_19__d_p17_19;e_p41_65__d_p58_65;e_p53_84__d_p25_28,e_p5_8__d_p7_8,#34d399
4,2,0.500000000000000,7,e_p1_1__d_p2_1;e_p1_2__d_p0_1;e_p2_3__d_p2_3;e_p5_8__d_p1_2;e_p12_19__d_p10_19;e_p41_65__d_p34_65;e_p53_84__d_p11_21,e_p5_8__d_p1_2,#60a5fa
5,3,0.600000000000000,7,e_p1_1__d_p2_1;e_p1_2__d_m1_2;e_p2_3__d_p1_3;e_p5_8__d_p1_8;e_p12_19__d_p3_19;e_p41_65__d_p2_13;e_p53_84__d_p13_84,e_p5_8__d_p1_8,#fb7185
6,3,0.500000000000000,7,e_p1_1__d_p3_1;e_p1_2__d_p0_1;e_p2_3__d_p1_1;e_p5_8__d_p3_4;e_p12_19__d_p15_19;e_p41_65__d_p51_65;e_p53_84__d_p11_14,e_p5_8__d_p3_4,#fbbf24
7,4,0.571428571428571,7,e_p1_1__d_p3_1;e_p1_2__d_m1_2;e_p2_3__d_p2_3;e_p5_8__d_p3_8;e_p12_19__d_p8_19;e_p41_65__d_p27_65;e_p53_84__d_p5_12,e_p5_8__d_p3_8,#2dd4bf
8,5,0.625000000000000,7,e_p1_1__d_p3_1;e_p1_2__d_m1_1;e_p2_3__d_p1_3;e_p5_8__d_p0_1;e_p12_19__d_p1_19;e_p41_65__d_p3_65;e_p53_84__d_p1_21,e_p5_8__d_p0_1,#c084fc
9,5,0.555555555555556,7,e_p1_1__d_p4_1;e_p1_2__d_m1_2;e_p2_3__d_p1_1;e_p5_8__d_p5_8;e_p12_19__d_p13_19;e_p41_65__d_p44_65;e_p53_84__d_p19_28,e_p5_8__d_p5_8,#a78bfa
10,6,0.600000000000000,7,e_p1_1__d_p4_1;e_p1_2__d_m1_1;e_p2_3__d_p2_3;e_p5_8__d_p1_4;e_p12_19__d_p6_19;e_p41_65__d_p4_13;e_p53_84__d_p13_42,e_p5_8__d_p1_4,#f472b6
11,6,0.545454545454545,7,e_p1_1__d_p5_1;e_p1_2__d_m1_2;e_p2_3__d_p4_3;e_p5_8__d_p7_8;e_p12_19__d_p18_19;e_p41_65__d_p61_65;e_p53_84__d_p79_84,e_p5_8__d_p7_8,#34d399
12,7,0.583333333333333,7,e_p1_1__d_p5_1;e_p1_2__d_m1_1;e_p2_3__d_p1_1;e_p5_8__d_p1_2;e_p12_19__d_p11_19;e_p41_65__d_p37_65;e_p53_84__d_p4_7,e_p5_8__d_p1_2,#60a5fa
13,8,0.615384615384615,7,e_p1_1__d_p5_1;e_p1_2__d_m3_2;e_p2_3__d_p2_3;e_p5_8__d_p1_8;e_p12_19__d_p4_19;e_p41_65__d_p1_5;e_p53_84__d_p17_84,e_p5_8__d_p1_8,#fb7185
14,8,0.571428571428571,7,e_p1_1__d_p6_1;e_p1_2__d_m1_1;e_p2_3__d_p4_3;e_p5_8__d_p3_4;e_p12_19__d_p16_19;e_p41_65__d_p54_65;e_p53_84__d_p5_6,e_p5_8__d_p3_4,#fbbf24
15,9,0.600000000000000,7,e_p1_1__d_p6_1;e_p1_2__d_m3_2;e_p2_3__d_p1_1;e_p5_8__d_p3_8;e_p12_19__d_p9_19;e_p41_65__d_p6_13;e_p53_84__d_p13_28,e_p5_8__d_p3_8,#2dd4bf
16,10,0.625000000000000,7,e_p1_1__d_p6_1;e_p1_2__d_m2_1;e_p2_3__d_p2_3;e_p5_8__d_p0_1;e_p12_19__d_p2_19;e_p41_65__d_p6_65;e_p53_84__d_p2_21,e_p5_8__d_p0_1,#c084fc
17,10,0.588235294117647,7,e_p1_1__d_p7_1;e_p1_2__d_m3_2;e_p2_3__d_p4_3;e_p5_8__d_p5_8;e_p12_19__d_p14_19;e_p41_65__d_p47_65;e_p53_84__d_p61_84,e_p5_8__d_p5_8,#a78bfa
18,11,0.611111111111111,7,e_p1_1__d_p7_1;e_p1_2__d_m2_1;e_p2_3__d_p1_1;e_p5_8__d_p1_4;e_p12_19__d_p7_19;e_p41_65__d_p23_65;e_p53_84__d_p5_14,e_p5_8__d_p1_4,#f472b6
19,11,0.578947368421053,7,e_p1_1__d_p8_1;e_p1_2__d_m3_2;e_p2_3__d_p5_3;e_p5_8__d_p7_8;e_p12_19__d_p1_1;e_p41_65__d_p64_65;e_p53_84__d_p83_84,e_p5_8__d_p7_8,#34d399
20,12,0.600000000000000,7,e_p1_1__d_p8_1;e_p1_2__d_m2_1;e_p2_3__d_p4_3;e_p5_8__d_p1_2;e_p12_19__d_p12_19;e_p41_65__d_p8_13;e_p53_84__d_p13_21,e_p5_8__d_p1_2,#60a5fa
21,13,0.619047619047619,7,e_p1_1__d_p8_1;e_p1_2__d_m5_2;e_p2_3__d_p1_1;e_p5_8__d_p1_8;e_p12_19__d_p5_19;e_p41_65__d_p16_65;e_p53_84__d_p1_4,e_p5_8__d_p1_8,#fb7185
22,13,0.590909090909091,7,e_p1_1__d_p9_1;e_p1_2__d_m2_1;e_p2_3__d_p5_3;e_p5_8__d_p3_4;e_p12_19__d_p17_19;e_p41_65__d_p57_65;e_p53_84__d_p37_42,e_p5_8__d_p3_4,#fbbf24
23,14,0.608695652173913,7,e_p1_1__d_p9_1;e_p1_2__d_m5_2;e_p2_3__d_p4_3;e_p5_8__d_p3_8;e_p12_19__d_p10_19;e_p41_65__d_p33_65;e_p53_84__d_p43_84,e_p5_8__d_p3_8,#2dd4bf
24,15,0.625000000000000,7,e_p1_1__d_p9_1;e_p1_2__d_m3_1;e_p2_3__d_p1_1;e_p5_8__d_p0_1;e_p12_19__d_p3_19;e_p41_65__d_p9_65;e_p53_84__d_p1_7,e_p5_8__d_p0_1,#c084fc
25,15,0.600000000000000,7,e_p1_1__d_p10_1;e_p1_2__d_m5_2;e_p2_3__d_p5_3;e_p5_8__d_p5_8;e_p12_19__d_p15_19;e_p41_65__d_p10_13;e_p53_84__d_p65_84,e_p5_8__d_p5_8,#a78bfa
26,16,0.615384615384615,7,e_p1_1__d_p10_1;e_p1_2__d_m3_1;e_p2_3__d_p4_3;e_p5_8__d_p1_4;e_p12_19__d_p8_19;e_p41_65__d_p2_5;e_p53_84__d_p17_42,e_p5_8__d_p1_4,#f472b6
27,17,0.629629629629630,7,e_p1_1__d_p10_1;e_p1_2__d_m7_2;e_p2_3__d_p1_1;e_p5_8__d_m1_8;e_p12_19__d_p1_19;e_p41_65__d_p2_65;e_p53_84__d_p1_28,e_p5_8__d_m1_8,#fb923c
28,17,0.607142857142857,7,e_p1_1__d_p11_1;e_p1_2__d_m3_1;e_p2_3__d_p5_3;e_p5_8__d_p1_2;e_p12_19__d_p13_19;e_p41_65__d_p43_65;e_p53_84__d_p2_3,e_p5_8__d_p1_2,#60a5fa
29,18,0.620689655172414,7,e_p1_1__d_p11_1;e_p1_2__d_m7_2;e_p2_3__d_p4_3;e_p5_8__d_p1_8;e_p12_19__d_p6_19;e_p41_65__d_p19_65;e_p53_84__d_p25_84,e_p5_8__d_p1_8,#fb7185
30,18,0.600000000000000,7,e_p1_1__d_p12_1;e_p1_2__d_m3_1;e_p2_3__d_p2_1;e_p5_8__d_p3_4;e_p12_19__d_p18_19;e_p41_65__d_p12_13;e_p53_84__d_p13_14,e_p5_8__d_p3_4,#fbbf24
31,19,0.612903225806452,7,e_p1_1__d_p12_1;e_p1_2__d_m7_2;e_p2_3__d_p5_3;e_p5_8__d_p3_8;e_p12_19__d_p11_19;e_p41_65__d_p36_65;e_p53_84__d_p47_84,e_p5_8__d_p3_8,#2dd4bf
32,20,0.625000000000000,7,e_p1_1__d_p12_1;e_p1_2__d_m4_1;e_p2_3__d_p4_3;e_p5_8__d_p0_1;e_p12_19__d_p4_19;e_p41_65__d_p12_65;e_p53_84__d_p4_21,e_p5_8__d_p0_1,#c084fc
33,20,0.606060606060606,7,e_p1_1__d_p13_1;e_p1_2__d_m7_2;e_p2_3__d_p2_1;e_p5_8__d_p5_8;e_p12_19__d_p16_19;e_p41_65__d_p53_65;e_p53_84__d_p23_28,e_p5_8__d_p5_8,#a78bfa
34,21,0.617647058823529,7,e_p1_1__d_p13_1;e_p1_2__d_m4_1;e_p2_3__d_p5_3;e_p5_8__d_p1_4;e_p12_19__d_p9_19;e_p41_65__d_p29_65;e_p53_84__d_p19_42,e_p5_8__d_p1_4,#f472b6
35,22,0.628571428571429,7,e_p1_1__d_p13_1;e_p1_2__d_m9_2;e_p2_3__d_p4_3;e_p5_8__d_m1_8;e_p12_19__d_p2_19;e_p41_65__d_p1_13;e_p53_84__d_p1_12,e_p5_8__d_m1_8,#fb923c
36,22,0.611111111111111,7,e_p1_1__d_p14_1;e_p1_2__d_m4_1;e_p2_3__d_p2_1;e_p5_8__d_p1_2;e_p12_19__d_p14_19;e_p41_65__d_p46_65;e_p53_84__d_p5_7,e_p5_8__d_p1_2,#60a5fa
37,23,0.621621621621622,7,e_p1_1__d_p14_1;e_p1_2__d_m9_2;e_p2_3__d_p5_3;e_p5_8__d_p1_8;e_p12_19__d_p7_19;e_p41_65__d_p22_65;e_p53_84__d_p29_84,e_p5_8__d_p1_8,#fb7185
38,23,0.605263157894737,7,e_p1_1__d_p15_1;e_p1_2__d_m4_1;e_p2_3__d_p7_3;e_p5_8__d_p3_4;e_p12_19__d_p1_1;e_p41_65__d_p63_65;e_p53_84__d_p41_42,e_p5_8__d_p3_4,#fbbf24
39,24,0.615384615384615,7,e_p1_1__d_p15_1;e_p1_2__d_m9_2;e_p2_3__d_p2_1;e_p5_8__d_p3_8;e_p12_19__d_p12_19;e_p41_65__d_p3_5;e_p53_84__d_p17_28,e_p5_8__d_p3_8,#2dd4bf
40,25,0.625000000000000,7,e_p1_1__d_p15_1;e_p1_2__d_m5_1;e_p2_3__d_p5_3;e_p5_8__d_p0_1;e_p12_19__d_p5_19;e_p41_65__d_p3_13;e_p53_84__d_p5_21,e_p5_8__d_p0_1,#c084fc
41,25,0.609756097560976,7,e_p1_1__d_p16_1;e_p1_2__d_m9_2;e_p2_3__d_p7_3;e_p5_8__d_p5_8;e_p12_19__d_p17_19;e_p41_65__d_p56_65;e_p53_84__d_p73_84,e_p5_8__d_p5_8,#a78bfa
42,26,0.619047619047619,7,e_p1_1__d_p16_1;e_p1_2__d_m5_1;e_p2_3__d_p2_1;e_p5_8__d_p1_4;e_p12_19__d_p10_19;e_p41_65__d_p32_65;e_p53_84__d_p1_2,e_p5_8__d_p1_4,#f472b6
43,27,0.627906976744186,7,e_p1_1__d_p16_1;e_p1_2__d_m11_2;e_p2_3__d_p5_3;e_p5_8__d_m1_8;e_p12_19__d_p3_19;e_p41_65__d_p8_65;e_p53_84__d_p11_84,e_p5_8__d_m1_8,#fb923c
44,27,0.613636363636364,7,e_p1_1__d_p17_1;e_p1_2__d_m5_1;e_p2_3__d_p7_3;e_p5_8__d_p1_2;e_p12_19__d_p15_19;e_p41_65__d_p49_65;e_p53_84__d_p16_21,e_p5_8__d_p1_2,#60a5fa
45,28,0.622222222222222,7,e_p1_1__d_p17_1;e_p1_2__d_m11_2;e_p2_3__d_p2_1;e_p5_8__d_p1_8;e_p12_19__d_p8_19;e_p41_65__d_p5_13;e_p53_84__d_p11_28,e_p5_8__d_p1_8,#fb7185
46,29,0.630434782608696,7,e_p1_1__d_p17_1;e_p1_2__d_m6_1;e_p2_3__d_p5_3;e_p5_8__d_m1_4;e_p12_19__d_p1_19;e_p41_65__d_p1_65;e_p53_84__d_p1_42,e_p5_8__d_m1_4,#4ade80
47,29,0.617021276595745,7,e_p1_1__d_p18_1;e_p1_2__d_m11_2;e_p2_3__d_p7_3;e_p5_8__d_p3_8;e_p12_19__d_p13_19;e_p41_65__d_p42_65;e_p53_84__d_p55_84,e_p5_8__d_p3_8,#2dd4bf
48,30,0.625000000000000,7,e_p1_1__d_p18_1;e_p1_2__d_m6_1;e_p2_3__d_p2_1;e_p5_8__d_p0_1;e_p12_19__d_p6_19;e_p41_65__d_p18_65;e_p53_84__d_p2_7,e_p5_8__d_p0_1,#c084fc
49,30,0.612244897959184,7,e_p1_1__d_p19_1;e_p1_2__d_m11_2;e_p2_3__d_p8_3;e_p5_8__d_p5_8;e_p12_19__d_p18_19;e_p41_65__d_p59_65;e_p53_84__d_p11_12,e_p5_8__d_p5_8,#a78bfa
50,31,0.620000000000000,7,e_p1_1__d_p19_1;e_p1_2__d_m6_1;e_p2_3__d_p7_3;e_p5_8__d_p1_4;e_p12_19__d_p11_19;e_p41_65__d_p7_13;e_p53_84__d_p23_42,e_p5_8__d_p1_4,#f472b6
51,32,0.627450980392157,7,e_p1_1__d_p19_1;e_p1_2__d_m13_2;e_p2_3__d_p2_1;e_p5_8__d_m1_8;e_p12_19__d_p4_19;e_p41_65__d_p11_65;e_p53_84__d_p5_28,e_p5_8__d_m1_8,#fb923c
