case,cycle,implementer,implemented,rate,reverse_rate,contact_beta,reverse_contact_beta,margin
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,3,2,2,2,2,2,2,2,2} -> {12,6,6,3}","{4,2,2,2,2,2,2,2,2,2,2,2,1}","{4,4,3,2,2,2,2,2,2,2,2}",0.921044608085668,0.934870415988059,4.5983,0,0.013825807902391
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,3,2,2,2,2,2,2,2,2} -> {12,6,6,3}","{4,4,3,2,2,2,2,2,2,2,2}","{12,6,6,3}",0.557885891302260,0.578129652635776,inf,0,0.020243761333516
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,3,2,2,2,2,2,2,2,2} -> {12,6,6,3}","{12,6,6,3}","{4,2,2,2,2,2,2,2,2,2,2,2,1}",0.540476308854639,0.557885891302260,0,inf,0.017409582447620
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,4,2,2,2,2,2,2,2,1} -> {12,6,6,3}","{4,2,2,2,2,2,2,2,2,2,2,2,1}","{4,4,4,2,2,2,2,2,2,2,1}",0.892039445244250,0.934870415988059,4.7910,0,0.042830970743809
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,4,2,2,2,2,2,2,2,1} -> {12,6,6,3}","{4,4,4,2,2,2,2,2,2,2,1}","{12,6,6,3}",0.557885891302260,0.578129652635776,inf,0,0.020243761333516
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,4,2,2,2,2,2,2,2,1} -> {12,6,6,3}","{12,6,6,3}","{4,2,2,2,2,2,2,2,2,2,2,2,1}",0.540476308854639,0.557885891302260,0,inf,0.017409582447620
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,4,3,2,2,2,2,2,2} -> {12,6,6,3}","{4,2,2,2,2,2,2,2,2,2,2,2,1}","{4,4,4,3,2,2,2,2,2,2}",0.884508177294408,0.897711717502623,4.5338,0,0.013203540208215
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,4,3,2,2,2,2,2,2} -> {12,6,6,3}","{4,4,4,3,2,2,2,2,2,2}","{12,6,6,3}",0.557885891302260,0.602059991327962,inf,0,0.044174100025703
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,4,3,2,2,2,2,2,2} -> {12,6,6,3}","{12,6,6,3}","{4,2,2,2,2,2,2,2,2,2,2,2,1}",0.540476308854639,0.557885891302260,0,inf,0.017409582447620
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,4,4,2,2,2,2,2,1} -> {12,6,6,3}","{4,2,2,2,2,2,2,2,2,2,2,2,1}","{4,4,4,4,2,2,2,2,2,1}",0.864119265607146,0.897711717502623,4.5936,0,0.033592451895477
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,4,4,2,2,2,2,2,1} -> {12,6,6,3}","{4,4,4,4,2,2,2,2,2,1}","{12,6,6,3}",0.557885891302260,0.602059991327962,inf,0,0.044174100025703
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,4,4,2,2,2,2,2,1} -> {12,6,6,3}","{12,6,6,3}","{4,2,2,2,2,2,2,2,2,2,2,2,1}",0.540476308854639,0.557885891302260,0,inf,0.017409582447620
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,4,4,4,2,2,2,1} -> {12,6,6,3}","{4,2,2,2,2,2,2,2,2,2,2,2,1}","{4,4,4,4,4,2,2,2,1}",0.842698251636063,0.856634682062789,4.4451,0,0.013936430426727
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,4,4,4,2,2,2,1} -> {12,6,6,3}","{4,4,4,4,4,2,2,2,1}","{12,6,6,3}",0.557885891302260,0.630929753571457,inf,0,0.073043862269198
3,"{4,2,2,2,2,2,2,2,2,2,2,2,1} -> {4,4,4,4,4,2,2,2,1} -> {12,6,6,3}","{12,6,6,3}","{4,2,2,2,2,2,2,2,2,2,2,2,1}",0.540476308854639,0.557885891302260,0,inf,0.017409582447620
