window_low,window_high,profile,C_xi_to_f,C_f_to_xi,product,d
0.5,5.0,x on Z_2,0.022481524448,1.195338868160,0.026873039989,3.616631725850
0.5,5.0,x on Z_3,0.030123463466,0.713062031211,0.021479898046,3.840637755803
0.5,5.0,x on Z_5,0.044614368013,0.393646470355,0.017562288495,4.042001374926
0.5,5.0,x on Z_7,0.058545369419,0.271999496424,0.015924311000,4.139908343765
0.5,5.0,x^2 on Z_2 (degenerate),0.014243174975,1.222266607713,0.017408957160,4.050770425905
0.5,5.0,"x^2-y^2 on Z_2 (split, bad prime)",0.013385027931,1.222683899931,0.016365658152,4.112570154802
0.5,5.0,xy on Z_3 (= x^2-y^2),0.015061731733,1.426124062422,0.021479898046,3.840637755803
0.5,5.0,x^3 on Z_2,0.011582201840,1.223101513999,0.014166208606,4.256895825929
0.5,5.0,x^2 y on Z_2,0.008719153361,2.417605475873,0.021079472912,3.859455559814
1.0,10.0,x on Z_2,0.056938203182,0.320573438080,0.018252875552,4.003432646865
1.0,10.0,x on Z_3,0.080249890137,0.187653052004,0.015059136807,4.195770375170
1.0,10.0,x on Z_5,0.126624931876,0.103274355172,0.013077108188,4.336892043925
1.0,10.0,x on Z_7,0.172891589422,0.071343372343,0.012334669039,4.395341360401
1.0,10.0,x^2 on Z_2 (degenerate),0.041254116139,0.320799256867,0.013234289800,4.324944105486
1.0,10.0,"x^2-y^2 on Z_2 (split, bad prime)",0.039276928327,0.320799367103,0.012600013749,4.374057373842
1.0,10.0,xy on Z_3 (= x^2-y^2),0.040124945068,0.375306104009,0.015059136807,4.195770375170
1.0,10.0,x^3 on Z_2,0.036726275343,0.320799477340,0.011781769935,4.441201862935
1.0,10.0,x^2 y on Z_2,0.023921781898,0.641372694948,0.015342777724,4.177110422279
2.0,20.0,x on Z_2,0.164622992377,0.090831136403,0.014952893476,4.202850454345
2.0,20.0,x on Z_3,0.250528739347,0.053132845233,0.013311304734,4.319141624772
2.0,20.0,x on Z_5,0.428269419105,0.029241114815,0.012523075256,4.380182316024
2.0,20.0,x on Z_7,0.609171691219,0.020200170254,0.012305371876,4.397719374026
2.0,20.0,x^2 on Z_2 (degenerate),0.139289139701,0.090831198889,0.012651799551,4.369955816912
2.0,20.0,"x^2-y^2 on Z_2 (split, bad prime)",0.136899297423,0.090831198889,0.012434727312,4.387262131042
2.0,20.0,xy on Z_3 (= x^2-y^2),0.125264369673,0.106265690466,0.013311304734,4.319141624772
2.0,20.0,x^3 on Z_2,0.134430304179,0.090831198889,0.012210465696,4.405461851084
2.0,20.0,x^2 y on Z_2,0.075450081003,0.181662335292,0.013706437913,4.289889635865
