n,signature
1,"2,1"
2,"2,2"
3,"3,1"
4,"2,1,1"
5,"3,2"
6,"2,2,1"
7,"3,3"
8,"2,1,1,1"
9,"2,2,2"
10,"4,1"
11,"4,2"
12,"4,3"
13,"4,4"
14,"5,1"
15,"5,2"
16,"5,3"
17,"5,4"
18,"5,5"
19,"6,1"
20,"6,2"
21,"6,3"
22,"6,4"
23,"6,5"
24,"6,6"
25,"7,1"
26,"7,2"
27,"7,3"
28,"7,4"
29,"7,5"
30,"7,6"
31,"7,7"
32,"8,1"
33,"8,2"
34,"8,3"
35,"8,4"
36,"8,5"
37,"8,6"
38,"8,7"
39,"8,8"
40,"9,1"
41,"9,2"
42,"9,3"
43,"9,4"
44,"9,5"
45,"9,6"
46,"9,7"
47,"9,8"
48,"9,9"
49,"10,1"
50,"10,2"
51,"10,3"
52,"10,4"
53,"10,5"
54,"10,6"
55,"10,7"
56,"10,8"
57,"10,9"
58,"10,10"
59,"11,1"
60,"11,2"
61,"11,3"
62,"11,4"
63,"11,5"
64,"11,6"
65,"11,7"
66,"11,8"
67,"11,9"
68,"11,10"
69,"11,11"
