n_x,x,n_a,a,C_x_to_a,C_a_to_x
14,"5,1",13,"4,4",0.844793980710,0.861353116147
19,"6,1",16,"5,3",0.897931850675,0.898244401704
19,"6,1",17,"5,4",0.857549805805,0.898244401704
19,"6,1",18,"5,5",0.825065726817,0.898244401704
25,"7,1",21,"6,3",0.902626889453,0.920782221162
25,"7,1",22,"6,4",0.866395626696,0.920782221162
25,"7,1",23,"6,5",0.837432332024,0.920782221162
25,"7,1",24,"6,6",0.813202406433,0.920782221162
26,"7,2",23,"6,5",0.906054212952,0.920782221162
26,"7,2",24,"6,6",0.878094205808,0.920782221162
32,"8,1",24,"6,6",0.844631650154,0.861654166907
32,"8,1",27,"7,3",0.906390273539,0.935784974019
32,"8,1",28,"7,4",0.873075509804,0.935784974019
32,"8,1",29,"7,5",0.846551656430,0.935784974019
32,"8,1",30,"7,6",0.824430152867,0.935784974019
32,"8,1",31,"7,7",0.805396503776,0.935784974019
33,"8,2",29,"7,5",0.911300930825,0.935784974019
33,"8,2",30,"7,6",0.886260709150,0.935784974019
33,"8,2",31,"7,7",0.864389163237,0.935784974019
34,"8,3",30,"7,6",0.930247264326,0.935784974019
34,"8,3",31,"7,7",0.906390274553,0.935784974019
40,"9,1",29,"7,5",0.871797909179,0.885621874581
40,"9,1",30,"7,6",0.850313942649,0.885621874581
40,"9,1",31,"7,7",0.831775957818,0.885621874581
40,"9,1",34,"8,3",0.909518011767,0.946394630357
40,"9,1",35,"8,4",0.878387518149,0.946394630357
40,"9,1",36,"8,5",0.853673019857,0.946394630357
40,"9,1",37,"8,6",0.833104562562,0.946394630357
40,"9,1",38,"8,7",0.815439250883,0.946394630357
40,"9,1",39,"8,8",0.799923179975,0.946394630357
41,"9,2",35,"8,4",0.942477877435,0.946394630357
41,"9,2",36,"8,5",0.915284990010,0.946394630357
41,"9,2",37,"8,6",0.892295216101,0.946394630357
41,"9,2",38,"8,7",0.872313885955,0.946394630357
41,"9,2",39,"8,8",0.854577921762,0.946394630357
42,"9,3",37,"8,6",0.933808935021,0.946394630357
42,"9,3",38,"8,7",0.912294378428,0.946394630357
42,"9,3",39,"8,8",0.892959899195,0.946394630357
43,"9,4",38,"8,7",0.944850202926,0.946394630357
43,"9,4",39,"8,8",0.924272382486,0.946394630357
49,"10,1",35,"8,4",0.899142665700,0.903089986992
49,"10,1",36,"8,5",0.875102086936,0.903089986992
49,"10,1",37,"8,6",0.855010141628,0.903089986992
49,"10,1",38,"8,7",0.837714375122,0.903089986992
49,"10,1",39,"8,8",0.822501954513,0.903089986992
49,"10,1",41,"9,2",0.952332789243,0.954242509439
49,"10,1",42,"9,3",0.912181847091,0.954242509439
49,"10,1",43,"9,4",0.882761589539,0.954242509439
49,"10,1",44,"9,5",0.859453749961,0.954242509439
49,"10,1",45,"9,6",0.840086615817,0.954242509439
49,"10,1",46,"9,7",0.823475340570,0.954242509439
49,"10,1",47,"9,8",0.808902526851,0.954242509439
49,"10,1",48,"9,9",0.795900494073,0.954242509439
50,"10,2",38,"8,7",0.894640327716,0.903089986992
50,"10,2",39,"8,8",0.877497669955,0.903089986992
50,"10,2",43,"9,4",0.943960390064,0.954242509439
50,"10,2",44,"9,5",0.918478548738,0.954242509439
50,"10,2",45,"9,6",0.897026253332,0.954242509439
50,"10,2",46,"9,7",0.878444609157,0.954242509439
50,"10,2",47,"9,8",0.862002350105,0.954242509439
50,"10,2",48,"9,9",0.847214547817,0.954242509439
51,"10,3",45,"9,6",0.936517859407,0.954242509439
51,"10,3",46,"9,7",0.916672948557,0.954242509439
51,"10,3",47,"9,8",0.898942497583,0.954242509439
51,"10,3",48,"9,9",0.882860154900,0.954242509439
52,"10,4",46,"9,7",0.947468355079,0.954242509439
52,"10,4",47,"9,8",0.928786550645,0.954242509439
52,"10,4",48,"9,9",0.911655913719,0.954242509439
53,"10,5",48,"9,9",0.936626013497,0.954242509439
