q,family,anisotropic,signature,c_sig_40,contact,endpoint_beta_0,endpoint_beta_inf,c_aff
3,x^2 - n y^2,1,4 4 1,0.9753010616074255613128791871270129862381,beta = 0.383509105348,1.0,1.261859507142914874199054228685521708599,2/3
3,x y,0,5 2 2,0.98401880415141670191775183793507644238,beta = 0.419183932488,1.0,1.464973520717927167197040407678640396308,1
3,x^2 + y^2,1,4 4 1,0.9753010616074255613128791871270129862381,beta = 0.383509105348,1.0,1.261859507142914874199054228685521708599,2/3
5,x^2 - n y^2,1,6 6 6 6 1,0.9843464172188809571742553314157727166401,beta = 0.360743044505,1.0,1.113282752559378345804672928035017885094,2/3
5,x y,0,9 4 4 4 4,0.9931322258361542757452614997088919568814,beta = 0.429521727297,1.0,1.365212388971970590269132718542104506049,1
5,x^2 + y^2,0,9 4 4 4 4,0.9931322258361542757452614997088919568814,beta = 0.429521727297,1.0,1.365212388971970590269132718542104506049,1
7,x^2 - n y^2,1,8 8 8 8 8 8 1,0.9885812248045914152856997527998489836054,beta = 0.347199289422,1.0,1.068621561324066529542531234003871587893,2/3
7,x y,0,13 6 6 6 6 6 6,0.995877617406041214539946514876409785375,beta = 0.43353479432,1.0,1.318123223061840859975810171115091417993,1
7,x^2 + y^2,1,8 8 8 8 8 8 1,0.9885812248045914152856997527998489836054,beta = 0.347199289422,1.0,1.068621561324066529542531234003871587893,2/3
11,x^2 - n y^2,1,12 12 12 12 12 12 12 12 12 12 1,0.9926324977891557765658081750318116958514,beta = 0.33058747232,1.0,1.036286562627101941014640249293279751307,2/3
11,x y,0,21 10 10 10 10 10 10 10 10 10 10,0.9978442410136102190885995961305651829157,beta = 0.437000143717,1.0,1.269664472948575162150168826833293857019,1
11,x^2 + y^2,1,12 12 12 12 12 12 12 12 12 12 1,0.9926324977891557765658081750318116958514,beta = 0.33058747232,1.0,1.036286562627101941014640249293279751307,2/3
13,x^2 - n y^2,1,14 14 14 14 14 14 14 14 14 14 14 14 1,0.9937552981463260481431299574403237657366,beta = 0.324859171924,1.0,1.028892567386618735966439579240346601607,2/3
13,x y,0,25 12 12 12 12 12 12 12 12 12 12 12 12,0.9982893948591103108590155076442640771932,beta = 0.437905654649,1.0,1.254947126150606703256739385647836836173,1
13,x^2 + y^2,0,25 12 12 12 12 12 12 12 12 12 12 12 12,0.9982893948591103108590155076442640771932,beta = 0.437905654649,1.0,1.254947126150606703256739385647836836173,1
17,x^2 - n y^2,1,18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 1,0.9952264277945819127667989886120834550379,beta = 0.31607993635,1.0,1.020174412195206181262160212700815101056,2/3
17,x y,0,33 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16,0.9988111704595290843408176289976077725815,beta = 0.439061078792,1.0,1.234113755959037018256801281196126529609,1
17,x^2 + y^2,0,33 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16,0.9988111704595290843408176289976077725815,beta = 0.439061078792,1.0,1.234113755959037018256801281196126529609,1
19,x^2 - n y^2,1,20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 1,0.9957337973723477871260495608198910004634,beta = 0.312582564208,1.0,1.017420396466178922509375490952351161879,2/3
19,x y,0,37 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18,0.9989751801675244163406586821179111007061,beta = 0.439452201921,1.0,1.226351756036887424305639700680524353414,1
19,x^2 + y^2,1,20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 1,0.9957337973723477871260495608198910004634,beta = 0.312582564208,1.0,1.017420396466178922509375490952351161879,2/3
23,x^2 - n y^2,1,24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 1,0.9964868174647071409530829655091333753115,beta = 0.306758303374,1.0,1.013573494794722215856011570930271976397,2/3
23,x y,0,45 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22,0.9992035183102550526405857912552448496385,beta = 0.440026582161,1.0,1.214055018960473799471430097828929986019,1
23,x^2 + y^2,1,24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 1,0.9964868174647071409530829655091333753115,beta = 0.306758303374,1.0,1.013573494794722215856011570930271976397,2/3
29,x^2 - n y^2,1,30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 1,0.9972291732462184447922196105517391887845,beta = 0.299985832968,1.0,1.010067886335908159927506595093626459002,2/3
