q,c_sig_isotropic_40,c_sig_anisotropic_40,c_sig_gap_40,c_aff_gap,amplification
3,0.98401880415141670191775183793507644238,0.9753010616074255613128791871270129862381,0.0087177425439911406048726508080634561419,1/3,38.236198379486358335
5,0.9931322258361542757452614997088919568814,0.9843464172188809571742553314157727166401,0.0087858086172733185710061682931192402413,1/3,37.939972045143814039
7,0.995877617406041214539946514876409785375,0.9885812248045914152856997527998489836054,0.0072963926014497992542467620765608017696,1/3,45.684676187394264375
11,0.9978442410136102190885995961305651829157,0.9926324977891557765658081750318116958514,0.0052117432244544425227914210987534870643,1/3,63.958126672333548737
13,0.9982893948591103108590155076442640771932,0.9937552981463260481431299574403237657366,0.0045340967127842627158855502039403114566,1/3,73.517032045980025429
17,0.9988111704595290843408176289976077725815,0.9952264277945819127667989886120834550379,0.0035847426649471715740186403855243175436,1/3,92.986683979516748236
19,0.9989751801675244163406586821179111007061,0.9957337973723477871260495608198910004634,0.0032413827951766292146091212980201002427,1/3,102.83676887202375479
23,0.9992035183102550526405857912552448496385,0.9964868174647071409530829655091333753115,0.002716700845547911687502825746111474327,1/3,122.69784281901887185
29,0.9994107434040138018950773841246800774984,0.9972291732462184447922196105517391887845,0.0021815701577953571028577735729408887139,1/3,152.79514717518508287
31,0.9994592306130252524549642478637841087967,0.9974129073090208368155577574253875462767,0.00204632330400441563940649043839656252,1/3,162.89377767483708095
37,0.9995686867844048964867802346587297535308,0.9978447529677136553578547667828021394984,0.0017239338166912411289254678759276140324,1/3,193.35622406497162112
41,0.9996213344401191436575807773842026656631,0.9980621569448069235825619955327234125948,0.0015591774953122200750187818514792530683,1/3,213.78793263468983624
43,0.9996434416797602689353620610856117583999,0.9981555935757774508826136305311034071835,0.0014878481039828180527484305545083512164,1/3,224.0372067827582007
47,0.9996812035283254810246616016237365296313,0.9983184225939314374024614657864923299224,0.0013627809343940436222001358372441997089,1/3,244.59788431186776276
