q,form,anisotropic,q_mod_4,witness_N1_le_2,witness_N2_le_3,shift_k1,shifts_k2,witness_N1_eq_1,N1_exhaustive,N1_seconds,N2_le3_exhaustive,N2_seconds,C_aff_proved
3,x^2 - 2 y^2,1,3,1,1,"(2, 0)","((2, 0), (0, 2))",,2,0.0,3,4.7,2/3
3,x^2 + y^2,1,3,1,1,"(2, 0)","((2, 0), (0, 2))",,2,0.0,3,4.8,2/3
5,x^2 - 2 y^2,1,1,1,1,"(3, 0)","((3, 0), (0, 1))",,2,0.1,3,611.7,2/3
5,x^2 + y^2,0,1,,,,,"1 ((1, 2), (0, 1))",1,0.0,2,160.1,1
7,x^2 - 3 y^2,1,3,1,1,"(4, 0)","((4, 0), (0, 1))",,2,0.5,,,2/3
7,x^2 + y^2,1,3,1,1,"(4, 0)","((4, 0), (0, 4))",,2,0.5,,,2/3
11,x^2 - 2 y^2,1,3,1,1,"(6, 0)","((6, 0), (0, 8))",,2,5.1,,,2/3
11,x^2 + y^2,1,3,1,1,"(6, 0)","((6, 0), (0, 6))",,2,5.1,,,2/3
13,x^2 - 2 y^2,1,1,1,1,"(7, 0)","((7, 0), (0, 3))",,2,12.7,,,2/3
13,x^2 + y^2,0,1,,,,,"1 ((1, 5), (0, 1))",1,1.4,,,1
