q,signatures,median_contact_beta,median_contact_beta_over_sqrt_q,median_abs_1_minus_C,rescaled,midrange_law_relative_error
31,120,7.532374,1.352854,1.544127990e-03,0.029523,0.039505
61,120,12.300280,1.574889,5.750856938e-04,0.018464,0.027595
101,120,16.513329,1.643138,6.545412002e-04,0.030359,0.022824
211,120,29.379649,2.022578,3.232069473e-04,0.025126,0.015765
401,120,45.339796,2.264161,2.187976493e-04,0.026262,0.011357
31,333,,,,,violations=617
61,505,,,,,violations=2052
101,528,,,,,violations=1778
211,732,,,,,violations=3017
401,798,,,,,violations=3886
