triangles,max_curl,rms_curl,mean_curl,max_r,r_above_0.9,r_hist,q,pool,n,median_absA,cycles
4278680,0.028934178303501867,0.003911485696313375,0.0027148814419080984,1.0,185,"[3375493, 707853, 165248, 26415, 2543, 509, 245, 126, 63, 53, 132]",11,arithmetic,296,0.017253521058495702,132
4278680,0.03532245967968595,0.005013894742654648,0.00355064519338795,1.0,3055,"[3083721, 800517, 253322, 82829, 31159, 12954, 6174, 3255, 1694, 1102, 1953]",11,control:loose,296,0.016577755532962035,1953
4278680,0.021315055215295087,0.003481128658994689,0.002400716192159318,1.0,129,"[3519585, 607734, 129339, 18894, 2124, 455, 196, 139, 85, 32, 97]",11,control:m2matched,296,0.01775572418325727,97
4278680,0.02219322240739363,0.003779950199441762,0.0026388545136672476,1.0,166,"[3440865, 664772, 146793, 22554, 2504, 463, 252, 186, 125, 62, 104]",11,control:marginal,296,0.01781172114283852,104
4278680,0.01579380844907252,0.0026969743290648643,0.0018507172549186216,1.0,95,"[3508136, 644232, 113936, 10283, 1186, 464, 174, 122, 52, 48, 47]",11,control:sigshuffle,296,0.010665468765959363,47
4278680,0.02617767706207874,0.004052873871515833,0.002878072568140393,1.0,196,"[3338439, 740860, 167616, 27467, 2830, 646, 335, 192, 99, 49, 147]",11,control:maxmatched,296,0.01723130894799152,147
56434696,0.020581105134303557,0.0031756572044068644,0.0022031920452958687,1.0,2186,"[45581779, 8714235, 1860843, 246544, 18763, 5225, 2804, 1438, 879, 711, 1475]",13,arithmetic,698,0.014992530654339364,1475
56434696,0.03425756938262681,0.0045692148920879255,0.0032492511372803853,1.0,46895,"[38815155, 11534043, 3864379, 1321592, 488093, 199313, 91664, 47014, 26548, 15308, 31587]",13,control:loose,698,0.013350690463898474,31587
56434696,0.017984486093474805,0.002814504046217934,0.0019320604098064388,1.0,1038,"[47102931, 7523243, 1549915, 225055, 23598, 4792, 2184, 1223, 717, 361, 677]",13,control:m2matched,698,0.015237445362844437,677
56434696,0.019833465778575365,0.003184148129311685,0.002168504300262942,1.0,1323,"[46459855, 8040530, 1697350, 215730, 13607, 3530, 1486, 820, 465, 395, 928]",13,control:marginal,698,0.015946232281202843,928
56434696,0.014047365051225391,0.0021990889256128104,0.0015071214946799024,1.0,1073,"[46991837, 7877763, 1433576, 113504, 10114, 3655, 1682, 968, 524, 333, 740]",13,control:sigshuffle,698,0.009407240679060846,740
56434696,0.02646364111470878,0.0035815788297428324,0.002471492363882663,1.0,2886,"[43945649, 9709765, 2392655, 349913, 22040, 5804, 2963, 1807, 1214, 826, 2060]",13,control:maxmatched,698,0.015009090042250262,2060
