n,grad_frac,curl_frac,curl_energy,order_agreement,ties,min_abs_A,sd_psi,rms_A,cycles,triangles,cycle_frac,pool,q,replicate
296,0.9958658105100727,0.09083659756461529,0.008251287457115872,0.9831424644983967,0,1.295555174252172e-07,0.017418030529628883,0.02477696287628576,132,4278680,3.085063617751269e-05,arithmetic,11,0
296,0.993283037629282,0.11571001321383648,0.01338880715794621,0.9581081081081081,0,7.095013392355298e-07,0.017482141268649314,0.024932822868032438,1953,4278680,0.0004564491852627446,control:loose,11,0
296,0.9927929170984677,0.11984249563120318,0.014362223759114952,0.9593449381584975,0,3.385248680820574e-06,0.018283558774376357,0.02608866808467282,1528,4278680,0.00035711948544878326,control:loose,11,1
296,0.994256410070465,0.10702425441829207,0.011454191033791309,0.9581081081081081,0,3.20228816874657e-06,0.018647023229091234,0.026568128162759913,1919,4278680,0.0004485028092776277,control:loose,11,2
296,0.9932629648412251,0.11588219308771694,0.013428682674818912,0.9577645442052222,0,1.0457729591184517e-06,0.01897393316846177,0.027060945672834905,1422,4278680,0.00033234548973047764,control:loose,11,3
296,0.9931911809809002,0.11649582834490115,0.013571278021764673,0.9602611085661933,0,1.6056348781656737e-06,0.01797067692357471,0.025631937019861852,1619,4278680,0.00037838772705600795,control:loose,11,4
296,0.9969189129410377,0.07843902740638772,0.006152681020460045,0.9821804855703161,0,5.722175677735919e-07,0.017970702176413354,0.025536128608361908,97,4278680,2.2670543251657053e-05,control:m2matched,11,0
296,0.9965853779811993,0.08256866472258072,0.006817584394069946,0.9822262940907008,0,5.78973817777495e-08,0.017213510263347116,0.024468355252388812,93,4278680,2.1735675488702124e-05,control:m2matched,11,1
296,0.9970659477945859,0.07654734318370561,0.0058594957484840015,0.9831882730187815,0,1.139073330103102e-07,0.018640668048671257,0.02648423505502557,97,4278680,2.2670543251657053e-05,control:m2matched,11,2
296,0.996704391136858,0.08111939773263373,0.006580356688505221,0.9815620705451213,0,2.8176616764241658e-06,0.017534177492615505,0.02492119550534227,105,4278680,2.4540278777566914e-05,control:m2matched,11,3
296,0.9970983360930865,0.07612429415369823,0.0057949081603987755,0.9834860284012826,0,1.2242410867280284e-06,0.01772525535230294,0.025182819592700436,56,4278680,1.3088148681369021e-05,control:m2matched,11,4
296,0.9959933564774978,0.089427254529524,0.007997233852688272,0.9844251030691709,0,3.2315075015887373e-07,0.01709975778564084,0.02432110835144922,104,4278680,2.430656183682818e-05,control:marginal,11,0
296,0.9960433110709851,0.08886913114658372,0.007897722470748696,0.986165826843793,0,2.2916349262658287e-08,0.01683596808365284,0.023944717402674447,74,4278680,1.7295053614666207e-05,control:marginal,11,1
