n,grad_frac,curl_frac,curl_energy,order_agreement,ties,min_abs_A,sd_psi,rms_A,cycles,triangles,cycle_frac,seed,pool
8,0.9996686531641957,0.025740704747208826,0.0006625838808829791,1.0,0,0.006001188614926156,0.17420473207580967,0.263460095688055,0,56,0.0,11,random-integer (tournament_seed)
16,0.9985359448516923,0.05409220682444104,0.002925966839138106,1.0,0,0.002120948500312525,0.14423825056258707,0.21098233908163092,0,560,0.0,11,random-integer (tournament_seed)
24,0.9995984475475442,0.02833626052497568,0.0008029436605392949,0.9891304347826086,0,0.0026167340184327648,0.16290649232809157,0.235434183799428,0,2024,0.0,11,random-integer (tournament_seed)
8,0.9994482343912622,0.03321485770236534,0.0011032267721883782,1.0,0,0.006949292874504298,0.21138625805918868,0.31976241641928205,0,56,0.0,12,random-integer (tournament_seed)
16,0.9994545781766953,0.033023418382176054,0.001090546161644243,0.9916666666666667,0,0.005719235408265466,0.2305799640310496,0.336967382987185,0,560,0.0,12,random-integer (tournament_seed)
24,0.9990141442156514,0.04439301360653291,0.0019707396570698157,0.9818840579710145,0,0.00022721952153770264,0.18282769609779093,0.2643790575724282,1,2024,0.0004940711462450593,12,random-integer (tournament_seed)
8,0.9992470935973666,0.038797499110323076,0.0015052459372155197,0.9642857142857143,0,0.017954382877657493,0.21276651403017274,0.32191510534161444,0,56,0.0,13,random-integer (tournament_seed)
16,0.9992818835110482,0.037890860198887766,0.0014357172866116571,0.9916666666666667,0,4.677177237688568e-05,0.16656246770083438,0.2434548844160754,0,560,0.0,13,random-integer (tournament_seed)
24,0.9991862636263044,0.04033373997666709,0.0016268105805053927,0.9963768115942029,0,0.0036330230792215035,0.14473755990126325,0.20926254000765052,0,2024,0.0,13,random-integer (tournament_seed)
8,0.9998081725311677,0.019586172160143415,0.00038361813988677703,0.9642857142857143,0,0.0012202601508002342,0.2423386605259944,0.3664519120046066,0,56,0.0,14,random-integer (tournament_seed)
16,0.9995201025828475,0.030976838650421036,0.0009595645327742186,0.9833333333333333,0,0.0011158175864672826,0.22157873889057775,0.3237918496828023,0,560,0.0,14,random-integer (tournament_seed)
24,0.9994792947466494,0.032266691381983514,0.0010411393727401692,0.9927536231884058,0,0.0007393774663736474,0.24346400555447095,0.3518986995537461,0,2024,0.0,14,random-integer (tournament_seed)
8,0.9998218519056693,0.018874968924953123,0.000356264451917946,1.0,0,0.019645445913883286,0.2436627256481622,0.36844905326309496,0,56,0.0,15,random-integer (tournament_seed)
16,0.9992023863322858,0.03993233211152895,0.0015945911478654458,0.9666666666666667,0,0.001419918661428321,0.13819432615682356,0.2020068561102548,1,560,0.0017857142857142857,15,random-integer (tournament_seed)
24,0.9988528522488549,0.04788506608877991,0.00229297955432682,0.9855072463768116,0,0.0012100166848237337,0.20827716159778367,0.3012290395420718,0,2024,0.0,15,random-integer (tournament_seed)
8,0.9996400417042349,0.026828846817472524,0.0007197870215554054,1.0,0,0.009932219799872355,0.16513101872449773,0.24974453149465997,0,56,0.0,16,random-integer (tournament_seed)
16,0.9996879110217197,0.02498160437261346,0.0006240805570297798,0.9916666666666667,0,0.00131792044621859,0.23366386294118352,0.34139446173323723,0,560,0.0,16,random-integer (tournament_seed)
24,0.9989519360455554,0.045771491900926865,0.002095029470836614,0.9855072463768116,0,0.0026291838889394015,0.18605219336596782,0.2690586148379307,2,2024,0.0009881422924901185,16,random-integer (tournament_seed)
8,0.9995261478470565,0.03078115933527729,0.0009474797700237284,1.0,0,0.01806939276384867,0.253354592580401,0.38321772882232347,0,56,0.0,17,random-integer (tournament_seed)
16,0.9979445720903816,0.06408300114184003,0.00410663103534507,0.9833333333333333,0,0.002780510857404439,0.1575719517383096,0.23062259450984424,0,560,0.0,17,random-integer (tournament_seed)
24,0.9995976505962535,0.02836436007475642,0.0008045369224504361,0.9927536231884058,0,0.0025203475469084413,0.2259159458564985,0.32649637203196863,1,2024,0.0004940711462450593,17,random-integer (tournament_seed)
8,0.9987922791739223,0.049132301620841604,0.0024139830625613543,1.0,0,0.010192899122579424,0.2203170309346003,0.33349080576003703,0,56,0.0,18,random-integer (tournament_seed)
16,0.9982241892826486,0.059569018214160975,0.0035484679309990418,0.9916666666666667,0,0.0047848698424524105,0.09220516085103495,0.13491383881823668,0,560,0.0,18,random-integer (tournament_seed)
24,0.9987942393300611,0.049092438125287234,0.0024100674810851553,0.9927536231884058,0,0.0013540435895181835,0.14289319803425257,0.20667703758939188,1,2024,0.0004940711462450593,18,random-integer (tournament_seed)
8,0.9998532449601457,0.017131507308667207,0.00029348854266691786,1.0,0,0.009933869117378313,0.19063618291294593,0.28825712082998467,0,56,0.0,19,random-integer (tournament_seed)
16,0.9995176265481773,0.031056629235939433,0.0009645142194986081,0.9916666666666667,0,6.490110720358544e-05,0.15793934435435952,0.23079650776267524,0,560,0.0,19,random-integer (tournament_seed)
24,0.9995283270922827,0.03071031325308511,0.0009431233401026148,0.9855072463768116,0,0.00017414328227560727,0.2159198318618651,0.31207151356013435,0,2024,0.0,19,random-integer (tournament_seed)
8,0.9998832035655401,0.01528329897347076,0.0002335792275124924,1.0,0,0.012819628077104572,0.2497423041939553,0.37761897812134265,0,56,0.0,20,random-integer (tournament_seed)
16,0.9990968259281918,0.04249155704622279,0.0018055324202124058,0.9833333333333333,0,0.0006890244764725661,0.133040360034331,0.19449354485861534,0,560,0.0,20,random-integer (tournament_seed)
24,0.999551892837203,0.029933485022042093,0.0008960135255648182,0.9891304347826086,0,0.003600741632160398,0.197670144965389,0.2856882873428378,0,2024,0.0,20,random-integer (tournament_seed)
