n,grad_frac,curl_frac,curl_energy,order_agreement,ties,min_abs_A,sd_psi,rms_A,cycles,triangles,cycle_frac,mean_m2,sd_m2,sd_logloger,mean_alpha_max,sd_alpha_max,pool,q,replicate
280,0.9957897895941074,0.09166621482380273,0.00840269494012355,0.983205325140809,0,1.295555174252172e-07,0.017365086507460943,0.024705929292365682,119,3619560,3.287692426703798e-05,1.333766233766234,0.4879229593927514,0.035739298636208554,1.915673864299434,0.5240936606376705,arithmetic,11,0
280,0.9958174224758176,0.09136553558984223,0.008347661093618725,0.9836917562724015,0,1.295555174252172e-07,0.01726390621890045,0.0245612949102173,115,3619560,3.1771817568986284e-05,1.3194805194805195,0.47901484330297195,0.03554712375830145,1.9016751233011806,0.5164771132725272,arithmetic,11,1
280,0.996006111908983,0.08928507736430825,0.007971825039950512,0.9837941628264208,0,1.295555174252172e-07,0.017216563300329498,0.024489300036280512,122,3619560,3.370575429057675e-05,1.3103896103896102,0.45115432615431994,0.03538913583180066,1.8962909921480064,0.515842476063495,arithmetic,11,2
280,0.9934162271890994,0.11456089890261677,0.013124199557375578,0.9576036866359448,0,7.095013392355298e-07,0.017420796956106262,0.024844409620476276,1682,3619560,0.00046469736653073857,4.05271546635183,1.3133019963415284,0.03814524818030135,3.4727645937974563,0.7779240427744413,loose,11,0
280,0.9911193490397415,0.13297532086458339,0.017682435959038904,0.9555299539170506,0,1.664238761911463e-06,0.016717969122254765,0.023897335233633826,1816,3619560,0.0005017184409154704,4.133589138134592,1.3224317799989398,0.03652736370466928,3.481379203642535,0.7467236724804376,loose,11,1
280,0.9915214979275973,0.12994275334705627,0.0168851191474139,0.9571172555043522,0,1.0448748277713804e-07,0.016483802763385267,0.023553051749966882,2198,3619560,0.0006072561305794074,4.174085005903188,1.3449079583262136,0.036164821790293754,3.4910706397182487,0.7525436149442244,loose,11,2
280,0.9969319943570438,0.07827259180126166,0.006126598627286934,0.9818996415770609,0,5.722175677735919e-07,0.01773215352246298,0.025199264242185257,91,3619560,2.5141177380676105e-05,1.3198347107438018,0.47355722175940296,0.036694691052366585,1.9522859561410193,0.5599817367151767,m2matched,11,0
280,0.9962725038003911,0.08626180018582882,0.007441098171299856,0.9838453661034307,0,3.91856039616556e-07,0.01720744347854787,0.02446978306734467,144,3619560,3.978384112986109e-05,1.306021251475797,0.444194632148635,0.03533257008752561,1.922134821683243,0.5301387345988575,m2matched,11,1
280,0.9969005390627419,0.07867220103959424,0.006189315216414334,0.9828469022017409,0,7.4035711117304e-08,0.018639923404183533,0.02649013700440672,138,3619560,3.812618108278354e-05,1.3510035419126327,0.4844216558989064,0.03856270810273168,1.933979910220227,0.5943300433017479,m2matched,11,2
280,0.9960849965423776,0.0884006768253031,0.007814679663171682,0.9839989759344598,0,3.2315075015887373e-07,0.017088341733545436,0.02430498927252477,93,3619560,2.5693730729701953e-05,1.1694214876033058,0.46157756740583483,0.03528012388899324,1.7843010641619796,0.5100008639812246,marginal,11,0
280,0.995259935678019,0.09725050351636332,0.009457660434186195,0.9829749103942652,0,2.057685971057488e-06,0.015494439071367347,0.02205622830832999,99,3619560,2.73513907767795e-05,1.231227863046045,0.4784912587953622,0.032126662283467756,1.799376631390868,0.46734630583035947,marginal,11,1
280,0.995643944762661,0.09323698438627814,0.008693135257447075,0.9822324628776241,0,2.069747228272689e-06,0.016617036720980874,0.023645115220179685,117,3619560,3.2324370918012136e-05,1.2603305785123966,0.5127626563782021,0.03445449528942539,1.8381423756937234,0.49947908857707796,marginal,11,2
280,0.99673300070766,0.08076710531091216,0.006523325300303977,0.9803123399897593,0,1.502996359592501e-07,0.013454100247080178,0.01912351556558447,38,3619560,1.0498513631491121e-05,1.3198347107438018,0.30888959849826186,0.02775373848653603,1.9705920020618124,0.43005694924258203,sigshuffle,11,0
