pencil,degree,c,N_affine,points_F11,points_F121,s1,e2,splits,p_rank,smooth,weil_admissible
A,5,0,6,7,133,5,18,0,2,1,1
A,5,1,15,16,138,-4,16,0,2,1,1
A,5,2,5,6,130,6,22,1,2,1,1
A,5,3,15,16,118,-4,6,0,2,1,1
A,5,4,18,19,127,-7,27,0,2,1,1
A,5,5,9,10,122,2,2,0,2,1,1
A,5,6,16,17,125,-5,14,0,2,1,1
A,5,7,12,13,151,-1,15,0,2,1,1
A,5,8,14,15,117,-3,2,0,2,1,1
A,5,9,6,7,131,5,17,0,2,1,1
A,5,10,5,6,138,6,26,0,2,1,1
B,6,0,13,15,151,-3,19,0,2,1,1
B,6,1,8,10,140,2,11,0,2,1,1
B,6,2,14,16,118,-4,6,0,2,1,1
B,6,3,18,20,124,-8,33,0,2,1,1
B,6,4,7,9,149,3,18,1,2,1,1
B,6,5,12,14,126,-2,4,0,2,1,1
B,6,6,9,11,115,1,-3,0,2,1,1
B,6,7,18,20,122,-8,32,0,2,1,1
B,6,8,4,6,124,6,19,0,2,1,1
B,6,9,9,11,157,1,18,0,2,1,1
B,6,10,9,11,115,1,-3,0,2,1,1
C,6,0,10,12,106,0,-8,0,1,1,1
C,6,1,9,11,131,1,5,0,2,1,1
C,6,2,11,13,135,-1,7,0,2,1,1
C,6,3,19,21,121,-9,40,1,2,1,1
C,6,4,14,16,116,-4,5,0,2,1,1
C,6,5,10,12,106,0,-8,0,1,1,1
C,6,6,10,12,132,0,5,0,1,1,1
C,6,7,6,8,140,4,17,1,2,1,1
C,6,8,12,14,146,-2,14,1,2,1,1
C,6,9,9,11,155,1,17,0,2,1,1
C,6,10,11,13,109,-1,-6,0,2,1,1
