q,signature,pencils,distinct_isogeny_multisets
11,11 11 11 11 11 11 11 11 11 11 11,4,4
11,12 12 12 12 12 12 12 12 12 12 1,2,2
11,14 13 13 12 12 12 11 11 10 8 5,35,35
11,14 13 13 13 12 11 10 9 9 9 8,68,68
11,14 14 13 13 12 12 10 10 9 7 7,18,18
11,14 14 13 13 13 12 12 11 9 6 4,8,8
11,14 14 14 13 12 11 10 10 10 9 4,21,21
11,14 14 14 13 12 11 11 11 9 7 5,14,14
11,14 14 14 13 12 12 12 9 8 7 6,15,15
11,14 14 14 13 13 13 11 10 8 6 5,4,4
11,15 13 12 12 11 11 11 10 10 9 7,82,82
11,15 13 13 13 12 11 10 10 10 8 6,38,38
11,15 13 13 13 12 12 12 10 9 7 5,12,12
11,15 14 12 12 12 11 11 11 9 8 6,33,33
11,15 14 13 13 11 11 11 9 9 8 7,20,20
11,15 14 13 13 13 12 11 8 8 7 7,12,12
11,15 14 13 13 13 12 12 11 9 6 3,2,2
11,15 14 14 12 12 11 11 10 10 6 6,6,6
11,15 14 14 12 12 12 10 10 9 8 5,18,18
11,15 14 14 13 12 11 10 10 10 9 3,18,18
11,15 14 14 13 12 11 11 10 7 7 7,14,14
11,15 14 14 13 13 11 11 10 8 8 4,4,4
11,15 14 14 14 12 11 10 8 8 8 7,16,16
11,15 14 14 14 12 11 10 10 10 9 2,4,4
11,15 14 14 14 13 11 11 9 8 6 6,9,9
11,15 14 14 14 13 12 9 9 8 8 5,7,7
11,15 14 14 14 13 13 12 10 7 5 4,5,5
11,15 15 13 12 12 10 10 9 9 8 8,15,15
11,15 15 13 12 12 12 11 9 9 7 6,10,10
11,15 15 14 13 12 12 11 8 8 8 5,3,3
11,15 15 14 13 12 12 12 10 8 6 4,8,8
11,15 15 14 14 11 10 9 9 9 8 7,8,8
11,15 15 14 14 14 12 11 9 7 6 4,4,4
11,15 15 15 12 11 11 10 9 8 8 7,14,14
11,15 15 15 13 12 12 12 10 8 6 3,3,3
11,15 15 15 14 11 10 10 10 8 7 6,10,10
11,15 15 15 14 13 10 10 9 9 6 5,10,10
11,16 13 13 12 12 12 11 11 10 8 3,5,5
11,16 13 13 13 12 11 11 11 8 7 6,14,14
11,16 13 13 13 12 12 12 10 9 7 4,4,4
11,16 14 12 12 12 11 10 9 9 9 7,37,37
