q,signature,orbits,orbits_deg5,orbits_deg6
11,11 11 11 11 11 11 11 11 11 11 11,4,0,4
11,12 12 12 12 12 12 12 12 12 12 1,2,0,2
11,14 13 13 12 12 12 11 11 10 8 5,35,7,28
11,14 13 13 13 12 11 10 9 9 9 8,68,11,57
11,14 14 13 13 12 12 10 10 9 7 7,18,0,18
11,14 14 13 13 13 12 12 11 9 6 4,8,3,5
11,14 14 14 13 12 11 10 10 10 9 4,21,3,18
11,14 14 14 13 12 11 11 11 9 7 5,14,5,9
11,14 14 14 13 12 12 12 9 8 7 6,15,3,12
11,14 14 14 13 13 13 11 10 8 6 5,4,0,4
11,15 13 12 12 11 11 11 10 10 9 7,82,16,66
11,15 13 13 13 12 11 10 10 10 8 6,38,6,32
11,15 13 13 13 12 12 12 10 9 7 5,12,3,9
11,15 14 12 12 12 11 11 11 9 8 6,33,5,28
11,15 14 13 13 11 11 11 9 9 8 7,20,0,20
11,15 14 13 13 13 12 11 8 8 7 7,12,0,12
11,15 14 13 13 13 12 12 11 9 6 3,2,0,2
11,15 14 14 12 12 11 11 10 10 6 6,6,0,6
11,15 14 14 12 12 12 10 10 9 8 5,18,3,15
11,15 14 14 13 12 11 10 10 10 9 3,18,2,16
11,15 14 14 13 12 11 11 10 7 7 7,14,4,10
11,15 14 14 13 13 11 11 10 8 8 4,4,0,4
11,15 14 14 14 12 11 10 8 8 8 7,16,4,12
11,15 14 14 14 12 11 10 10 10 9 2,4,1,3
11,15 14 14 14 13 11 11 9 8 6 6,9,3,6
11,15 14 14 14 13 12 9 9 8 8 5,7,2,5
11,15 14 14 14 13 13 12 10 7 5 4,5,1,4
11,15 15 13 12 12 10 10 9 9 8 8,15,0,15
11,15 15 13 12 12 12 11 9 9 7 6,10,0,10
11,15 15 14 13 12 12 11 8 8 8 5,3,0,3
11,15 15 14 13 12 12 12 10 8 6 4,8,0,8
11,15 15 14 14 11 10 9 9 9 8 7,8,0,8
11,15 15 14 14 14 12 11 9 7 6 4,4,0,4
11,15 15 15 12 11 11 10 9 8 8 7,14,4,10
11,15 15 15 13 12 12 12 10 8 6 3,3,1,2
11,15 15 15 14 11 10 10 10 8 7 6,10,3,7
11,15 15 15 14 13 10 10 9 9 6 5,10,1,9
11,16 13 13 12 12 12 11 11 10 8 3,5,0,5
11,16 13 13 13 12 11 11 11 8 7 6,14,3,11
11,16 13 13 13 12 12 12 10 9 7 4,4,2,2
11,16 14 12 12 12 11 10 9 9 9 7,37,6,31
11,16 14 13 11 11 11 10 10 10 8 7,41,5,36
11,16 14 13 12 12 12 11 11 10 8 2,7,2,5
11,16 14 13 13 11 11 10 10 9 9 5,10,0,10
11,16 14 13 13 13 12 10 10 8 7 5,15,4,11
11,16 14 14 12 11 11 11 10 8 8 6,16,1,15
11,16 14 14 12 12 12 10 10 9 8 4,14,1,13
11,16 14 14 13 13 12 12 8 8 6 5,5,0,5
11,16 14 14 14 12 12 11 10 7 6 5,7,1,6
11,16 14 14 14 13 10 9 9 9 7 6,8,0,8
11,16 14 14 14 13 12 9 9 8 8 4,3,0,3
11,16 14 14 14 13 13 11 10 8 6 2,2,1,1
11,16 14 14 14 13 13 12 10 7 4 4,1,0,1
11,16 15 12 12 12 11 10 10 10 7 6,21,3,18
11,16 15 13 13 11 10 10 10 9 7 7,12,0,12
11,16 15 13 13 13 12 9 8 8 8 6,5,0,5
11,16 15 14 11 11 11 10 9 9 9 6,12,3,9
11,16 15 14 12 12 12 10 10 9 8 3,7,2,5
11,16 15 14 12 12 12 11 8 7 7 7,7,3,4
11,16 15 14 13 10 10 10 9 8 8 8,18,3,15
11,16 15 14 13 12 11 10 9 8 7 6,70,10,60
11,16 15 14 13 12 11 11 11 10 4 4,5,2,3
11,16 15 14 13 12 12 11 8 8 8 4,2,0,2
11,16 15 14 13 13 13 12 7 6 6 6,4,0,4
11,16 15 14 14 12 12 10 10 9 8 1,3,1,2
11,16 15 14 14 12 12 11 9 9 5 4,4,0,4
11,16 15 14 14 13 10 10 10 7 6 6,2,0,2
11,16 15 14 14 13 12 9 9 8 8 3,2,0,2
11,16 15 14 14 14 11 10 9 8 5 5,5,0,5
11,16 15 14 14 14 12 9 9 8 8 2,3,0,3
11,16 15 14 14 14 12 10 8 6 6 6,3,0,3
