kind,arg1,arg2,value1,value2
cocycle_closed_form,,,7.19184667933e-41,
relative_entropy_bregman,2.5,1.7,0.19448119381295012414,0.19448119381295012414
relative_entropy_bregman,3,4,0.059898370227395519341,0.059898370227395519341
relative_entropy_bregman,2,6,1.798112037577112947,1.798112037577112947
difference_identity,0.5,0.0078421974633471424206,-0.0060957652455447891351,5.183683279e-41
difference_identity,1,0.019451764823540856699,-0.050010420574661376418,1.434929627e-42
difference_identity,2,0.024986132243532084257,-0.17334341357073014904,5.165746659e-41
difference_identity,5,0.0070842053986458604174,-0.48659461248703709496,1.607121183e-40
cartesian_power,1,0.024986132243532084257,0.00169268328739,0.0
cartesian_power,2,0.049972264487064168515,-0.69145449727256,-1.112103872e-16
cartesian_power,3,0.074958396730596252772,-1.09691960538072,4.151928248e-18
cartesian_power,4,0.099944528974128337029,-1.38460167783250,-1.112103872e-16
cartesian_power,5,0.12493066121766042129,-1.60774522914671,1.112103872e-16
zero_set,"(3, 1)",6.66133814775e-16,,
zero_set,"(12, 10, 8, 8, 2, 1)",4.4408920985e-16,,
