kind,a,b,c,d,value,reference
local_rate,2,4,2,4,1.00000000000000,1.0
local_rate,2,4,3,8,0.31546487678573,0.3154648767857287
local_rate,2,4,5,3,0.57423541076452,0.5742354107645241
local_rate,2,4,7,12,0.11873572903601,0.1187357290360074
local_rate,2,8,2,4,1.36521238897197,1.365212388971971
local_rate,2,8,3,8,0.63092975357146,0.6309297535714574
local_rate,2,8,5,3,1.14847082152905,1.148470821529048
local_rate,2,8,7,12,0.23747145807201,0.2374714580720148
local_rate,3,4,2,4,1.00000000000000,1.0
local_rate,3,4,3,8,0.50000000000000,0.5
local_rate,3,4,5,3,0.91014159264798,0.9101415926479804
local_rate,3,4,7,12,0.18819167801786,0.1881916780178599
local_rate,5,6,2,4,1.20906195512217,1.209061955122168
local_rate,5,6,3,8,0.88562187458071,0.8856218745807111
local_rate,5,6,5,3,1.40367746102880,1.403677461028802
local_rate,5,6,7,12,0.41354373767346,0.4135437376734581
xi_vs_euler,0.5,5,2,1,3.208238774061198891456358,3.208235
xi_vs_euler,0.5,5,2,8,2.637831530493506982964199,2.637828
xi_vs_euler,0.5,5,2,128,2.310924781076423154078248,2.310921
xi_vs_euler,0.5,5,3,1,2.887083824881539394922211,2.887080
xi_vs_euler,0.5,5,3,8,2.461199704637091972370929,2.461196
xi_vs_euler,0.5,5,3,128,2.295860304392561853011802,2.295856
xi_vs_euler,0.5,5,5,1,2.661636904465339245822257,2.661633
xi_vs_euler,0.5,5,5,8,2.371668701068930472065866,2.371665
xi_vs_euler,0.5,5,5,128,2.289430154314884628657763,2.289426
xi_vs_euler,0.5,5,7,1,2.568503273909921906827709,2.568499
xi_vs_euler,0.5,5,7,8,2.342878709061180638380248,2.342875
xi_vs_euler,0.5,5,7,128,2.287496856960875327925004,2.287493
xi_vs_euler_limit,0.5,5,,,2.28369200590707368214934,2.283688
xi_vs_euler,1,10,2,1,2.696770166347117886694574,2.696770
xi_vs_euler,1,10,2,8,2.353802203733177980256154,2.353802
xi_vs_euler,1,10,2,128,2.244131266889808702980963,2.244131
xi_vs_euler,1,10,3,1,2.468935118551608514758027,2.468935
xi_vs_euler,1,10,3,8,2.281445764115001566466499,2.281446
xi_vs_euler,1,10,3,128,2.239229428018178635731727,2.239229
xi_vs_euler,1,10,5,1,2.343663306766988159278989,2.343663
xi_vs_euler,1,10,5,8,2.253532581822513802368656,2.253533
xi_vs_euler,1,10,5,128,2.237432820189449276072931,2.237433
xi_vs_euler,1,10,7,1,2.30271978500015096490071,2.302720
xi_vs_euler,1,10,7,8,2.246203742692034359530585,2.246204
xi_vs_euler,1,10,7,128,2.236968925136908690598263,2.236969
xi_vs_euler_limit,1,10,,,2.236350227673908866283526,2.236350
xi_vs_euler,2,20,2,1,2.263507243089396971135797,
xi_vs_euler,2,20,2,8,2.139865345828391265243942,
xi_vs_euler,2,20,2,128,2.115876503436468686309107,
xi_vs_euler,2,20,3,1,2.161094013591851279513943,
xi_vs_euler,2,20,3,8,2.12093489787731945837112,
xi_vs_euler,2,20,3,128,2.114675280814952009615918,
xi_vs_euler,2,20,5,1,2.126367541455993055347309,
xi_vs_euler,2,20,5,8,2.115840579544021533005129,
xi_vs_euler,2,20,5,128,2.114355650263494990425844,
xi_vs_euler,2,20,7,1,2.119434218283816418079457,
xi_vs_euler,2,20,7,8,2.114918620928477163987399,
xi_vs_euler,2,20,7,128,2.114297967151654416276447,
xi_vs_euler_limit,2,20,,,2.114256576533592508334772,2.114300
log_z_xi_second_derivative,,,,,0.0462099862308379415778676208607,
