kind,q,arg,value1,value2
extremal_vs_direct,3,1.5,5.04373939e-10,0.0
extremal_vs_direct,3,2,1.266512685e-12,-2.295887404e-41
extremal_vs_direct,3,3,4.332840067e-18,-2.295887404e-41
extremal_vs_direct,5,1.5,6.052494833e-10,0.0
extremal_vs_direct,5,2,1.519817755e-12,-2.295887404e-41
extremal_vs_direct,5,3,5.199421078e-18,-1.147943702e-41
extremal_vs_direct,12,1.5,6.935180671e-10,-1.147943702e-41
extremal_vs_direct,12,2,1.741468002e-12,-2.295887404e-41
extremal_vs_direct,12,3,5.957722115e-18,-2.295887404e-41
galois_permutation,12,1,0.0,0.0
galois_permutation,12,5,0.0,0.5855344543
galois_permutation,12,7,0.0,0.5980308619
galois_permutation,12,11,0.0,0.606215047
symmetric_average,3,1.5,-0.211324865405,-0.211324865405
symmetric_average,3,3,-0.444444444444,-0.444444444444
symmetric_average,4,1.5,-0.103553390593,-0.103553390593
symmetric_average,4,3,-0.09375,-0.09375
symmetric_average,5,1.5,-0.138196601125,-0.138196601125
symmetric_average,5,3,-0.24,-0.24
symmetric_average,6,1.5,0.0618956200438,0.0618956200438
symmetric_average,6,3,0.333333333333,0.333333333333
symmetric_average,12,1.5,0.0218834063294,0.0218834063294
symmetric_average,12,3,0.0416666666667,0.0416666666667
symmetric_limits,2,-1.0,-0.999998092651,
symmetric_limits,3,-0.5,-0.49999999957,
symmetric_limits,4,0.0,-9.53672497417e-7,
symmetric_limits,5,-0.25,-0.25,
symmetric_limits,6,0.5,0.499999045895,
symmetric_limits,10,0.25,0.249999523163,
symmetric_limits,12,0.0,4.76836248298e-7,
symmetric_limits,30,-0.125,-0.124999761474,
unique_state_positivity,2,0.2928932188134525,1.0,
unique_state_positivity,3,0.2113248654051871,1.0,
unique_state_positivity,4,0.1464466094067262,1.0,
unique_state_positivity,5,0.1381966011250105,1.0,
unique_state_positivity,6,0.06189562004384486,1.0,
unique_state_positivity,7,0.1036725878317955,1.0,
unique_state_positivity,8,0.07322330470336312,1.0,
unique_state_positivity,9,0.07044162180172904,1.0,
unique_state_positivity,10,0.04047684733258312,1.0,
unique_state_positivity,12,0.03094781002192243,1.0,
unique_state_positivity,16,0.03661165235168156,1.0,
unique_state_positivity,30,0.008553764314584434,1.0,
unique_state_positivity,36,0.01031593667397414,1.0,
unique_state_positivity,60,0.004276882157292217,1.0,
continuation_negativity,2,0.2928932188134525,1.0,nan
continuation_negativity,3,0.0466841720680571,1.0,0.4312925683411919
continuation_negativity,4,-0.082159339752112,1.0,0.6108185578753376
continuation_negativity,5,-0.1629711456662542,1.0,0.7071042828287175
continuation_negativity,8,-0.293435024953455,1.0,0.835126968158643
continuation_negativity,12,-0.3752262656007133,1.0,0.8973753407913786
continuation_negativity,20,-0.4513444789963723,1.0,0.9422584857296583
continuation_negativity,50,-0.5408332625121353,1.0,0.9784992231795001
continuation_negativity,100,-0.5838742250280226,1.0,0.9895692295389451
