kind,argument,value1,value2,value3
phi,0,0.8933938009342468881739693,0.0,
phi,0.25,0.4863748207341741876930545,1.14794e-41,
phi,0.5,0.06037745178434865506210101,-1.21969e-40,
phi,0.75,0.0007915342066466118727372158,-1.01723e-40,
phi,1,0.0000002755627881271267531047165,-1.87947e-40,
phi,1.5,1.297679089818276481562319e-23,-3.0626e-40,
transform,0,0.4971207781883141099127737,0.4971207781883141099127737,1.15459e-41
transform,0.5,0.5,0.5,1.64386e-38
transform,1,0.5087310387263239580256712,0.5087310387263239580256712,2.25648e-41
transform,2,0.5450942070121344167544286,0.5450942070121344167544286,0.0
transform,5,0.8761464445783709729180214,0.8761464445783709729180214,2.62044e-41
a_hat,0.75,6.547071011766119227839171,6.547071011766119227839171,
a_hat,1,3.561117271084267706179699,3.561117271084267706179699,
a_hat,2,1.635282621036403250263286,1.635282621036403250263286,
a_hat,4,1.330061726892954622821168,1.330061726892954622821168,
tail,-1,1.500000155839839133101282,1.499999988702559458102464,1.671372797e-7
tail,-1.5,1.500000000000000000000006,1.5,6.129801982e-24
tail,-2,1.5,1.5,0.0
tail,-2.5,1.5,1.5,-1.836709923e-40
price_ratio,1.05,1.016666666666666666666667,1.016666666666666666666667,
price_ratio,1.5,1.166666666666666666666667,1.166666666666666666666667,
price_ratio,2,1.333333333333333333333333,1.333333333333333333333333,
price_ratio,4,2.0,2.0,
zero_sum,,0.02310513251941962155293822,0.02310499311541897078893381,
