experiment,family,size,pairs,value1,value2,value3,value4
designed-vs-generic,generic-T1.4,16,120,0.191071,0.187428,1.487005,0.260756
designed-vs-generic,powers-of-2 pairs,21,210,0.389329,0.263229,1.407931,0.412427
designed-vs-generic,powers-of-2 pairs (no 1),21,210,0.417303,0.264324,1.407931,0.412427
designed-vs-generic,powers-of-3 pairs,15,105,0.443953,0.289797,1.380564,0.477656
designed-vs-generic,powers-of-2 triples,20,190,0.616025,0.690116,1.185424,0.432453
designed-vs-generic,3-smooth pairs,21,210,0.164903,0.179162,1.527790,0.245010
designed-vs-generic,"staircase (2^t, 1)",9,36,-0.708038,-0.857916,1.586231,0.050134
designed-vs-generic,"staircase (2^t, 2)",9,36,-0.434940,-0.767695,1.528718,0.133979
designed-vs-generic,"scaled orbit 2^t*(2,1)",9,36,0.355501,0.049852,1.561873,0.200635
designed-vs-generic,"chain (2^t, 2^t, 1)",9,36,-0.872197,-0.946542,1.620763,0.033231
designed-vs-generic,"staircase (3^t, 1)",8,28,-0.877510,-0.979985,1.619187,0.049552
designed-vs-generic,"staircase (2^t, 2^t)",9,36,-0.801400,-0.846744,1.628021,0.033872
designed-vs-generic,2-ladder subsets k=5,56,1540,0.724821,0.815224,1.009143,0.437529
designed-vs-generic,prime-ladder subsets k=5,56,1540,0.743171,0.820384,0.875284,0.370968
designed-vs-generic,generic control A,16,120,-0.152954,-0.169144,1.571472,0.005795
designed-vs-generic,generic control B,21,210,-0.180752,-0.230917,1.572011,0.008765
ladder,2-power ladder k=3,56,1540,0.513765,0.522191,88.722839,
ladder,2-power ladder k=4,70,2415,0.622553,0.706903,88.722839,
ladder,2-power ladder k=5,56,1540,0.724821,0.815224,88.722839,
ladder,2-power ladder k=6,28,378,0.822180,0.874050,88.722839,
ladder,3-power ladder k=3,56,1540,0.516929,0.450182,2402.665075,
ladder,3-power ladder k=4,70,2415,0.637454,0.685471,2402.665075,
ladder,3-power ladder k=5,56,1540,0.749979,0.809921,2402.665075,
ladder,3-power ladder k=6,28,378,0.856984,0.870089,2402.665075,
ladder,prime ladder (A = 0) k=3,56,1540,0.561665,0.578274,0.000000,
ladder,prime ladder (A = 0) k=4,70,2415,0.659446,0.721802,0.000000,
ladder,prime ladder (A = 0) k=5,56,1540,0.743171,0.820384,0.000000,
ladder,prime ladder (A = 0) k=6,28,378,0.825895,0.869571,0.000000,
monotone-search,"staircase (2^t, 1)",9,36,-0.708038,-0.857916,,
monotone-search,"staircase (3^t, 1)",8,28,-0.877510,-0.979985,,
monotone-search,"staircase (2^t, 2)",9,36,-0.434940,-0.767695,,
monotone-search,powers-of-2 triples,20,190,0.616025,0.690116,,
monotone-search,"scaled orbit 2^t*(2,1)",9,36,0.355501,0.049852,,
monotone-search,"chain (2^t, 2^t, 1)",9,36,-0.872197,-0.946542,,
monotone-search,powers-of-2 pairs (no 1),21,210,0.417303,0.264324,,
obstruction-power,powers-of-2 pairs (no 1) squared,21,210,2.775558e-16,0.224189,0.820722,0.697554
obstruction-scaling,lambda=1,21,210,0.000000e+00,0.000000,0.393075,1.000000
obstruction-scaling,lambda=2,21,210,6.106227e-16,0.000000,0.321972,0.998223
obstruction-scaling,lambda=3,21,210,7.216450e-16,0.000000,0.291888,0.996440
obstruction-scaling,lambda=5,21,210,1.165734e-15,0.000000,0.261530,0.994031
obstruction-scaling,lambda=7,21,210,7.771561e-16,0.000000,0.244915,0.992450
obstruction-scaling,lambda=11,21,210,5.551115e-16,0.000000,0.225783,0.990393
obstruction-scaling,lambda=30,21,210,5.551115e-16,0.000000,0.192695,0.986207
obstruction-scaling,lambda=210,21,210,7.771561e-16,0.000000,0.150480,0.979565
staircase-equal-d,"p=3 (1,2)",8,28,0.693147,1.603369,0.032573,
staircase-equal-d,"p=3 (2,4)",8,28,0.693147,1.626845,0.056049,
staircase-equal-d,"p=3 (3,6)",8,28,0.693147,1.607519,0.036723,
staircase-equal-d,"p=3 (4,8)",8,28,0.693147,1.593593,0.022797,
staircase-equal-angle,"p=3 (1,2)",8,28,0.693147,1.603369,0.032573,
staircase-equal-angle,"p=3 (2,3)",8,28,0.405465,1.670554,0.099758,
staircase-equal-angle,"p=3 (3,4)",8,28,0.287682,1.695080,0.124283,
staircase-equal-angle,"p=3 (4,5)",8,28,0.223144,1.704153,0.133357,
staircase-equal-angle,"p=3 (5,6)",8,28,0.182322,1.705928,0.135131,
staircase-equal-angle,"p=3 (6,7)",8,28,0.154151,1.707167,0.136371,
staircase-equal-angle,"p=3 (7,8)",8,28,0.133531,1.708541,0.137745,
staircase-fit,p=3,8,28,0.191578,0.334528,0.897712,-0.877510
staircase-equal-d,"p=2 (1,2)",9,36,0.693147,1.459953,-0.110843,
staircase-equal-d,"p=2 (2,4)",9,36,0.693147,1.559136,-0.011661,
staircase-equal-d,"p=2 (3,6)",9,36,0.693147,1.590481,0.019685,
staircase-equal-d,"p=2 (4,8)",9,36,0.693147,1.594546,0.023750,
staircase-equal-angle,"p=2 (1,2)",9,36,0.693147,1.459953,-0.110843,
staircase-equal-angle,"p=2 (2,3)",9,36,0.405465,1.556326,-0.014471,
staircase-equal-angle,"p=2 (3,4)",9,36,0.287682,1.613118,0.042321,
staircase-equal-angle,"p=2 (4,5)",9,36,0.223144,1.644415,0.073619,
staircase-equal-angle,"p=2 (5,6)",9,36,0.182322,1.660665,0.089868,
staircase-equal-angle,"p=2 (6,7)",9,36,0.154151,1.669176,0.098379,
staircase-equal-angle,"p=2 (7,8)",9,36,0.133531,1.673592,0.102796,
staircase-equal-angle,"p=2 (8,9)",9,36,0.117783,1.675114,0.104317,
staircase-fit,p=2,9,36,0.055019,0.886550,0.440623,-0.708038
staircase-window,p=2 T0=5,9,36,-0.934642,-0.988029,0.142294,0.077593
staircase-window,p=2 T0=10,9,36,-0.944250,-0.975547,0.150264,0.026558
staircase-window,p=2 T0=20,9,36,-0.952613,-0.983012,0.150714,0.024209
staircase-window,p=2 T0=40,9,36,-0.955907,-0.980180,0.150716,0.024262
staircase-window,p=2 T0=100,9,36,-0.957037,-0.977606,0.150716,0.024262
staircase-window,p=3 T0=10,9,36,-0.905401,-0.975415,0.236674,0.092915
staircase-window,p=3 T0=20,9,36,-0.914957,-0.972458,0.236685,0.093014
staircase-window,p=3 T0=40,9,36,-0.918252,-0.966281,0.236686,0.093014
scaling-twin,"(2, 1)|(4, 1)",0,0,0.693147,1.459953,0.263156,1.459953
scaling-twin,"(2, 1)|(8, 1)",0,0,1.098612,1.488498,0.471290,1.488498
scaling-twin,"(4, 1)|(8, 1)",0,0,0.405465,1.556326,0.208134,1.556326
scaling-twin,"(4, 2)|(8, 2)",0,0,0.405465,1.459953,0.208134,1.459953
scaling-twin,"(2, 1)|(4, 2)",0,0,0.693147,1.196580,0.263156,1.196580
power-twin,"(2, 1)|(4, 1)",0,0,0.693147,1.459953,0.693147,1.248910
power-twin,"(2, 1)|(8, 1)",0,0,1.098612,1.488498,1.098612,1.680366
power-twin,"(4, 1)|(8, 1)",0,0,0.405465,1.556326,0.405465,1.730745
power-twin,"(4, 2)|(8, 2)",0,0,0.405465,1.459953,0.405465,1.248910
power-twin,"(2, 1)|(4, 2)",0,0,0.693147,1.196580,0.693147,1.608427
single-member-doubling,"(2, 2)",16,15,0.581009,0.198217,42.793654,50.021827
single-member-doubling,"(3, 1)",16,15,0.410567,0.308500,63.761897,51.613120
single-member-doubling,"(4, 2)",16,15,0.275398,0.169691,44.407740,46.339593
single-member-doubling,"(5, 3)",16,15,0.233987,0.302344,65.172644,60.429011
single-member-doubling,"(6, 1)",16,15,0.200130,0.207360,58.507160,54.640343
single-member-doubling,"(3, 1, 1)",16,15,0.431198,0.317223,95.082951,74.930505
single-member-tripling,"(4, 2)",21,20,0.542165,0.135105,0.118344,0.016761
single-member-tripling,"(8, 2)",21,20,0.374241,0.179975,0.158996,0.020978
single-member-tripling,"(16, 2)",21,20,0.276291,0.239060,0.215977,0.025098
single-member-tripling,"(32, 2)",21,20,0.210532,0.299706,0.272537,0.028797
N-dependence,N=100,100,0,+0.2312/+0.2045,+0.7196/+0.8088,+0.7470/+0.8219,-0.8509/-0.9271
N-dependence,N=200,200,0,+0.2198/+0.2185,+0.7173/+0.8086,+0.7426/+0.8195,-0.7915/-0.8991
N-dependence,N=400,400,0,+0.2071/+0.2227,+0.7212/+0.8123,+0.7400/+0.8185,-0.8228/-0.9118
N-dependence,N=600,600,0,+0.2029/+0.2201,+0.7228/+0.8135,+0.7406/+0.8197,-0.7855/-0.9156
N-dependence,N=800,800,0,+0.2003/+0.2385,+0.7241/+0.8146,+0.7438/+0.8206,-0.7723/-0.8991
N-dependence,N=1000,1000,0,+0.1936/+0.2071,+0.7240/+0.8147,+0.7410/+0.8190,-0.7420/-0.8866
N-dependence,N=1200,1200,0,+0.1911/+0.1874,+0.7248/+0.8152,+0.7432/+0.8204,-0.7080/-0.8579
N-dependence,N=1600,1600,0,+0.1880/+0.2230,+0.7253/+0.8157,+0.7425/+0.8200,-0.6810/-0.8484
N-dependence,N=2000,2000,0,+0.1859/+0.2438,+0.7260/+0.8163,+0.7427/+0.8201,-0.6577/-0.8309
N-dependence,N=2400,2400,0,+0.1838/+0.2411,+0.7262/+0.8166,+0.7422/+0.8199,-0.6616/-0.8309
