family,t,lambda_min_exp_minus_t_d
cert13,0.001,-1.081937717028e-06
cert13,0.0010181965,-1.101459422503e-06
cert13,0.0010367242,-1.121330267334e-06
cert13,0.001055589,-1.141556380262e-06
cert13,0.0010747971,-1.162143994826e-06
cert13,0.0010943546,-1.183099448691e-06
cert13,0.0011142681,-1.204429185697e-06
cert13,0.0011345439,-1.226139758931e-06
cert13,0.0011551887,-1.248237830175e-06
cert13,0.0011762091,-1.270730173392e-06
cert13,0.0011976121,-1.293623674692e-06
cert13,0.0012194045,-1.316925336066e-06
cert13,0.0012415934,-1.340642275053e-06
cert13,0.0012641861,-1.364781727492e-06
cert13,0.0012871899,-1.389351049841e-06
cert13,0.0013106123,-1.414357719211e-06
cert13,0.0013344609,-1.439809337013e-06
cert13,0.0013587435,-1.465713629265e-06
cert13,0.0013834679,-1.492078449044e-06
cert13,0.0014086423,-1.518911778768e-06
cert13,0.0014342747,-1.546221730246e-06
cert13,0.0014603735,-1.574016549209e-06
cert13,0.0014869473,-1.602304615442e-06
cert13,0.0015140046,-1.631094443744e-06
cert13,0.0015415542,-1.660394688182e-06
cert13,0.0015696052,-1.690214142876e-06
cert13,0.0015981665,-1.720561743106e-06
cert13,0.0016272476,-1.751446567946e-06
cert13,0.0016568579,-1.782877843146e-06
cert13,0.001687007,-1.814864940862e-06
cert13,0.0017177047,-1.847417383621e-06
cert13,0.001748961,-1.880544845341e-06
cert13,0.001780786,-1.914257153951e-06
cert13,0.0018131901,-1.948564291741e-06
cert13,0.0018461839,-1.983476399082e-06
cert13,0.0018797781,-2.019003776038e-06
cert13,0.0019139835,-2.055156883955e-06
cert13,0.0019488114,-2.091946347080e-06
cert13,0.001984273,-2.129382955907e-06
cert13,0.00202038,-2.167477667311e-06
cert13,0.0020571439,-2.206241608337e-06
cert13,0.0020945768,-2.245686076639e-06
cert13,0.0021326908,-2.285822544256e-06
cert13,0.0021714984,-2.326662657483e-06
cert13,0.0022110122,-2.368218240081e-06
cert13,0.0022512449,-2.410501295214e-06
cert13,0.0022922098,-2.453524007076e-06
cert13,0.0023339201,-2.497298742863e-06
cert13,0.0023763894,-2.541838054812e-06
cert13,0.0024196314,-2.587154681982e-06
cert13,0.0024636603,-2.633261552247e-06
cert13,0.0025084904,-2.680171784306e-06
cert13,0.0025541363,-2.727898688450e-06
cert13,0.0026006127,-2.776455770224e-06
cert13,0.0026479349,-2.825856730566e-06
cert13,0.0026961181,-2.876115468279e-06
cert13,0.0027451782,-2.927246081354e-06
cert13,0.0027951309,-2.979262869764e-06
cert13,0.0028459926,-3.032180335868e-06
cert13,0.0028977798,-3.086013185433e-06
cert13,0.0029505094,-3.140776331147e-06
cert13,0.0030041984,-3.196484893115e-06
cert13,0.0030588645,-3.253154199483e-06
cert13,0.0031145252,-3.310799788994e-06
cert13,0.0031711988,-3.369437411551e-06
cert13,0.0032289036,-3.429083030196e-06
cert13,0.0032876585,-3.489752821658e-06
cert13,0.0033474825,-3.551463177274e-06
cert13,0.0034083951,-3.614230704828e-06
