family,size,negative_type_min_eigenvalue,negative_type_defect,t_star,grid_sign_changes,diameter,min_distance,mean_distance,t_star_times_diameter,second_order_estimate,second_order_over_t_star,provable_lower_bound,gershgorin_upper_bound
cert13,13,-5.454444e-04,1.227726e-03,0.124064840,1,0.365886,0.023436,0.173723,0.045394,0.121774763,0.981541,1.253454e-03,28.7490
rand5_11,5,-3.314345e-17,1.141384e-16,-,0,0.504950,0.031110,0.257133,-,0.000000000,-,0.000000e+00,10.9265
rand5_12,5,-2.699835e-17,1.709776e-16,-,0,0.256564,0.100973,0.160868,-,0.000000000,-,0.000000e+00,10.8111
rand8_21,8,-1.055059e-17,2.183657e-17,-,0,0.547957,0.053931,0.267751,-,0.000000000,-,0.000000e+00,12.0830
rand8_22,8,-2.627767e-17,5.342316e-17,-,0,0.664022,0.031900,0.307165,-,0.000000000,-,0.000000e+00,19.5155
rand10_31,10,2.236446e-17,0.000000e+00,-,0,0.655270,0.007695,0.197880,-,0.000000000,-,0.000000e+00,86.3833
rand13_41,13,6.149034e-18,0.000000e+00,-,0,0.840165,0.031742,0.253683,-,0.000000000,-,0.000000e+00,24.7482
rand13_42,13,1.155779e-16,0.000000e+00,-,0,0.343960,0.028937,0.153539,-,0.000000000,-,0.000000e+00,33.5950
rand20_51,20,-2.328354e-17,3.732044e-17,-,0,0.603777,0.006134,0.170036,-,0.000000000,-,0.000000e+00,48.6464
rand20_52,20,2.852040e-19,0.000000e+00,-,0,0.445523,0.008801,0.133771,-,0.000000000,-,0.000000e+00,63.8821
rand25_55,25,3.795532e-17,0.000000e+00,-,0,0.631642,0.025272,0.184983,-,0.000000000,-,0.000000e+00,44.1433
rand30_61,30,-4.004787e-04,6.001816e-04,0.198118451,1,0.501069,0.014051,0.148745,0.099271,0.189071424,0.954335,2.126706e-04,75.6204
rand30_62,30,-3.087128e-18,3.665811e-18,-,0,0.547957,0.009831,0.162201,-,0.000000000,-,0.000000e+00,93.2939
rand40_71,40,-7.181401e-04,4.864940e-04,0.274464288,1,0.573584,0.017215,0.198348,0.157428,0.250582490,0.912988,2.182714e-04,60.3410
rand40_72,40,4.555040e-17,0.000000e+00,-,0,0.816187,0.010191,0.170741,-,0.000000000,-,0.000000e+00,71.6861
greedy5,5,-8.091140e-17,4.473192e-16,-,0,0.304562,0.082798,0.186715,-,0.000000000,-,0.000000e+00,10.6706
greedy6,6,-5.414826e-17,2.226262e-16,-,0,0.367608,0.026936,0.174109,-,0.000000000,-,0.000000e+00,20.5698
greedy8,8,-3.147378e-17,1.404883e-16,-,0,0.255203,0.046837,0.159814,-,0.000000000,-,0.000000e+00,19.7508
greedy10,10,-4.536002e-17,1.915913e-16,-,0,0.310302,0.034044,0.145431,-,0.000000000,-,0.000000e+00,25.9646
greedy12,12,-4.432337e-17,1.516186e-16,-,0,0.399056,0.022584,0.136845,-,0.000000000,-,0.000000e+00,39.6023
greedy13,13,-1.099571e-16,2.168332e-16,-,0,0.745365,0.017157,0.198341,-,0.000000000,-,0.000000e+00,45.6736
greedy16,16,-8.071957e-17,1.543230e-16,-,0,0.420821,0.021159,0.169505,-,0.000000000,-,0.000000e+00,34.8452
greedy20,20,-1.379580e-02,1.247375e-01,12.378742670,1,0.095059,0.006709,0.052707,1.176716,7.975810486,0.644315,3.024229e-01,91.2910
greedy25,25,-2.260454e-02,1.703193e-01,14.742428940,1,0.109697,0.008834,0.054936,1.617205,8.695661490,0.589839,2.972962e-01,102.4174
greedy30,30,-2.928549e-02,1.686463e-01,15.862370144,1,0.100877,0.008834,0.057755,1.600141,9.004583372,0.567669,3.788445e-01,96.5973
greedy40,40,-3.389531e-02,1.631941e-01,16.713364198,1,0.104289,0.006467,0.054489,1.743024,9.099169348,0.544425,3.083140e-01,146.8307
