N,lambda_max,lambda_min,ratio
2,2.178582262e+00,6.761215662e-05,3.103493396e-05
3,3.376933906e+00,2.100974904e-05,6.221545824e-06
4,4.641205065e+00,1.105927430e-06,2.382845435e-07
5,5.799889383e+00,1.090091673e-06,1.879504248e-07
6,6.882560853e+00,1.194536094e-07,1.735598304e-08
7,8.073893219e+00,5.411854481e-08,6.702905692e-09
8,9.245394374e+00,2.607548973e-09,2.820376144e-10
9,1.053003904e+01,2.366852574e-09,2.247714910e-10
10,1.171405067e+01,3.060364703e-12,2.612558875e-13
11,1.282985018e+01,2.198931201e-12,1.713918066e-13
12,1.399409036e+01,6.559231264e-13,4.687143714e-14
13,1.518983914e+01,1.220085407e-14,8.032247055e-16
