family,measure,t,negative_type_defect_D_t,s_star,max_D_t,s_star_times_max_D_t,min_eig_G_t_rescaled,triangle_defect_D_t,t_star_of_d
cert13,full,0.03,5.358472820e-10,-,0.000360842,-,-1.241733e-15,1.759849e-04,0.124064840
cert13,full,0.0423761,4.845652954e-09,-,0.000509702,-,nan,2.485849e-04,0.124064840
cert13,full,0.0598579,3.254543069e-08,-,0.000719972,-,nan,3.511344e-04,0.124064840
cert13,full,0.0845515,1.249484747e-07,-,0.001016984,-,nan,4.959874e-04,0.124064840
cert13,full,0.119432,3.407976056e-07,-,0.001436518,-,nan,7.005920e-04,0.124064840
cert13,full,0.168702,8.036302527e-07,-,0.002029107,-,4.164035e-17,9.895877e-04,0.124064840
cert13,full,0.238298,1.812726266e-06,0.121007386,0.002866109,0.000346820,nan,1.397760e-03,0.124064840
cert13,full,0.336606,4.185310055e-06,0.295490076,0.004048259,0.001196220,nan,1.974191e-03,0.124064840
cert13,full,0.475468,1.049980446e-05,0.478372502,0.005717677,0.002735179,nan,2.788064e-03,0.124064840
cert13,full,0.671616,2.789335849e-05,0.685988309,0.008074627,0.005539100,nan,3.936682e-03,0.124064840
cert13,full,0.948683,6.870498238e-05,0.941544053,0.011400627,0.010734193,5.970528e-15,5.556307e-03,0.124064840
cert13,full,1.34005,1.532268762e-04,1.324438263,0.016089499,0.021309548,nan,7.836101e-03,0.124064840
cert13,full,1.89287,3.208819080e-04,1.990584902,0.022686794,0.045159989,nan,1.103398e-02,0.124064840
cert13,full,2.67375,6.451305250e-04,3.054647320,0.031933251,0.097544818,nan,1.548845e-02,0.124064840
cert13,full,3.77678,1.248081518e-03,4.460861939,0.044793158,0.199816093,nan,2.160703e-02,0.124064840
cert13,full,5.33484,2.281695961e-03,6.143616115,0.062409883,0.383422363,-4.083330e-14,2.977818e-02,0.124064840
cert13,full,7.53566,3.760254911e-03,7.972233857,0.085852172,0.684433592,nan,4.009020e-02,0.124064840
cert13,full,10.6444,5.056159160e-03,9.479342247,0.115450536,1.094395140,nan,5.171432e-02,0.124064840
cert13,full,15.0356,4.500353518e-03,10.178902209,0.149821155,1.525014888,nan,6.217950e-02,0.124064840
cert13,full,21.2384,3.073467108e-03,9.935324460,0.185678224,1.844773398,nan,6.781580e-02,0.124064840
cert13,full,30,5.700971769e-03,8.638755623,0.219464773,1.895902544,-3.032391e-13,6.722101e-02,0.124064840
cert13,full,42.3761,8.477582428e-03,6.480665851,0.249095128,1.614302289,nan,6.137859e-02,0.124064840
cert13,full,59.8579,1.005963927e-02,4.408168779,0.273979879,1.207749547,nan,5.371334e-02,0.124064840
cert13,full,84.5515,1.026130267e-02,3.071997825,0.294317902,0.904143954,nan,4.607962e-02,0.124064840
cert13,full,119.432,9.990076154e-03,2.350693422,0.310632797,0.730202472,nan,3.783884e-02,0.124064840
cert13,full,168.702,9.659716248e-03,1.897335474,0.323543460,0.613870484,-7.006298e-13,2.997948e-02,0.124064840
cert13,full,238.298,9.123627980e-03,1.537906080,0.333648395,0.513119896,nan,2.313811e-02,0.124064840
cert13,full,336.606,8.272935260e-03,1.229642176,0.341479914,0.419898104,nan,1.800989e-02,0.124064840
cert13,full,475.468,7.215847283e-03,0.972818635,0.347496613,0.338051181,nan,1.419466e-02,0.124064840
cert13,full,671.616,6.161767765e-03,0.772174711,0.352085484,0.271871507,nan,1.077990e-02,0.124064840
cert13,full,948.683,5.198609987e-03,0.617207841,0.355564772,0.219457365,-6.515254e-12,8.086929e-03,0.124064840
cert13,full,1340.05,4.338805083e-03,0.494875716,0.358189973,0.177259520,nan,6.038402e-03,0.124064840
cert13,full,1892.87,3.616425782e-03,0.400244195,0.360162611,0.144152994,nan,4.493389e-03,0.124064840
