a,b,t,P_t,one_over_C,relative_error,gap_times_t_over_log_t
"{5,5,5,1}","{6,3,2}",1,1.129434306760,1.261859507143,-1.049445e-01,nan
"{5,5,5,1}","{6,3,2}",10,1.158785554960,1.261859507143,-8.168417e-02,4.476445e-01
"{5,5,5,1}","{6,3,2}",100,1.224138962284,1.261859507143,-2.989282e-02,8.190912e-01
"{5,5,5,1}","{6,3,2}",1000,1.255095788755,1.261859507143,-5.360120e-03,9.791485e-01
"{5,5,5,1}","{6,3,2}",10000,1.260890753297,1.261859507143,-7.677193e-04,1.051811e+00
"{5,5,5,1}","{6,3,2}",100000,1.261733540190,1.261859507143,-9.982645e-05,1.094135e+00
"{5,5,5,1}","{6,3,2}",1e+06,1.261843989118,1.261859507143,-1.229774e-05,1.123232e+00
"{7,7,6,1}","{5,4,4}",1,1.212702697436,1.261859507143,-3.895585e-02,nan
"{7,7,6,1}","{5,4,4}",10,1.214682403626,1.261859507143,-3.738697e-02,2.048876e-01
"{7,7,6,1}","{5,4,4}",100,1.230532563277,1.261859507143,-2.482602e-02,6.802559e-01
"{7,7,6,1}","{5,4,4}",1000,1.254671655485,1.261859507143,-5.696238e-03,1.040548e+00
"{7,7,6,1}","{5,4,4}",10000,1.260847779139,1.261859507143,-8.017755e-04,1.098470e+00
"{7,7,6,1}","{5,4,4}",100000,1.261729234888,1.261859507143,-1.032383e-04,1.131530e+00
"{7,7,6,1}","{5,4,4}",1e+06,1.261843543697,1.261859507143,-1.265073e-05,1.155473e+00
"{6,6,2,2}","{6,5,5,5}",1,0.952402798425,1.019104917732,-6.545167e-02,nan
"{6,6,2,2}","{6,5,5,5}",10,0.958402880977,1.019104917732,-5.956407e-02,2.636256e-01
"{6,6,2,2}","{6,5,5,5}",100,0.994877932254,1.019104917732,-2.377281e-02,5.260823e-01
"{6,6,2,2}","{6,5,5,5}",1000,1.015347414946,1.019104917732,-3.687062e-03,5.439542e-01
"{6,6,2,2}","{6,5,5,5}",10000,1.018610292038,1.019104917732,-4.853531e-04,5.370330e-01
"{6,6,2,2}","{6,5,5,5}",100000,1.019043702705,1.019104917732,-6.006744e-05,5.317070e-01
"{6,6,2,2}","{6,5,5,5}",1e+06,1.019097622690,1.019104917732,-7.158284e-06,5.280328e-01
"{9,1}","{3,2,2,2}",1,1.170324809690,2.000000000000,-4.148376e-01,nan
"{9,1}","{3,2,2,2}",10,1.691435242522,2.000000000000,-1.542824e-01,1.340080e+00
"{9,1}","{3,2,2,2}",100,1.954312999914,2.000000000000,-2.284350e-02,9.920806e-01
"{9,1}","{3,2,2,2}",1000,1.994596803120,2.000000000000,-2.701598e-03,7.821929e-01
"{9,1}","{3,2,2,2}",10000,1.999401116462,2.000000000000,-2.994418e-04,6.502295e-01
"{9,1}","{3,2,2,2}",100000,1.999935518271,2.000000000000,-3.224086e-05,5.600812e-01
"{9,1}","{3,2,2,2}",1e+06,1.999993173070,2.000000000000,-3.413465e-06,4.941497e-01
"{2,2}","{3,1}",1,0.924897317903,1.035856760034,-1.071185e-01,nan
"{2,2}","{3,1}",10,0.975477596851,1.035856760034,-5.828910e-02,2.622234e-01
"{2,2}","{3,1}",100,1.020799579861,1.035856760034,-1.453597e-02,3.269625e-01
"{2,2}","{3,1}",1000,1.033146510445,1.035856760034,-2.616433e-03,3.923488e-01
"{2,2}","{3,1}",10000,1.035466092803,1.035856760034,-3.771441e-04,4.241616e-01
"{2,2}","{3,1}",100000,1.035805760423,1.035856760034,-4.923423e-05,4.429770e-01
"{2,2}","{3,1}",1e+06,1.035850467382,1.035856760034,-6.074828e-06,4.554773e-01
