family,beta_max,max_abs_osc_minus_d,negative_type_defect,t_star
cert13,5,1.241335308e-01,0.000000000e+00,-
cert13,10,6.599797277e-02,0.000000000e+00,-
cert13,20,3.358241981e-02,0.000000000e+00,-
cert13,50,1.360529587e-02,0.000000000e+00,-
cert13,100,6.848747228e-03,0.000000000e+00,-
cert13,200,3.453097167e-03,0.000000000e+00,-
cert13,500,1.410158700e-03,4.156019414e-04,0.042343903
cert13,1000,7.282506906e-04,8.257258157e-04,0.083787724
cert13,2000,3.871222324e-04,1.031712487e-03,0.104475825
cert13,5000,1.823892865e-04,1.155595983e-03,0.116877244
cert13,20000,8.000709306e-05,1.216583308e-03,0.122971994
cert13,100000,7.667542585e-05,1.224576335e-03,0.123758333
rand30_61,5,1.234824790e-01,1.059045745e-17,-
rand30_61,10,6.463154597e-02,3.204643361e-17,-
rand30_61,20,3.279030355e-02,7.895621904e-18,-
rand30_61,50,1.328654899e-02,4.181906418e-17,-
rand30_61,100,6.686758395e-03,0.000000000e+00,-
rand30_61,200,3.370005817e-03,2.301730687e-04,0.073834822
rand30_61,500,1.374660958e-03,4.323926428e-04,0.141035166
rand30_61,1000,7.086602677e-04,5.102960396e-04,0.167457954
rand30_61,2000,3.754935146e-04,5.514786340e-04,0.181542915
rand30_61,5000,1.755401697e-04,5.770113434e-04,0.190314419
rand30_61,20000,1.137025044e-04,5.918051896e-04,0.195377494
rand30_61,100000,1.137025051e-04,5.957354844e-04,0.196697007
greedy25,5,6.715158334e-02,8.775159461e-18,-
greedy25,10,4.814392412e-02,5.971282395e-18,-
greedy25,20,2.468991293e-02,3.727536954e-02,5.250106202
greedy25,50,9.973045990e-03,1.159145070e-01,11.994962450
greedy25,100,5.010257666e-03,1.447258389e-01,13.562174382
greedy25,200,2.519596354e-03,1.585556352e-01,14.173082921
greedy25,500,1.022216488e-03,1.664231854e-01,14.530385428
greedy25,1000,5.225911967e-04,1.686317155e-01,14.645764392
greedy25,2000,2.726849102e-04,1.695517752e-01,14.698405844
greedy25,5000,1.227111554e-04,1.700531891e-01,14.729780227
greedy25,20000,4.771584253e-05,1.702477204e-01,14.743006125
greedy25,100000,3.839988890e-05,1.702223435e-01,14.740446244
