m,n,t_star_numeric,t_star_formula,relative_error,sign_changes
2,2,-,-,nan,0
2,3,0.346573589930,0.346573590280,1.010e-09,1
2,4,0.549306144084,0.549306144334,4.551e-10,1
2,5,0.693147180343,0.693147180560,3.126e-10,1
2,6,0.804718956017,0.804718956217,2.485e-10,1
2,7,0.895879734424,0.895879734614,2.121e-10,1
2,8,0.972955074344,0.972955074528,1.884e-10,1
2,9,1.039720770661,1.039720770840,1.717e-10,1
2,10,1.098612288493,1.098612288668,1.593e-10,1
2,11,1.151292546325,1.151292546497,1.496e-10,1
2,12,1.198947636229,1.198947636399,1.418e-10,1
3,3,0.693147180360,0.693147180560,2.886e-10,1
3,4,0.895879734444,0.895879734614,1.897e-10,1
3,5,1.039720770683,1.039720770840,1.512e-10,1
3,6,1.151292546347,1.151292546497,1.303e-10,1
3,7,1.242453324749,1.242453324894,1.171e-10,1
3,8,1.319528664665,1.319528664808,1.079e-10,1
3,9,1.386294360980,1.386294361120,1.010e-10,1
3,10,1.445185878810,1.445185878948,9.567e-11,1
3,11,1.497866136640,1.497866136777,9.138e-11,1
3,12,1.545521226543,1.545521226679,8.780e-11,1
4,4,1.098612288518,1.098612288668,1.365e-10,1
4,5,1.242453324753,1.242453324894,1.134e-10,1
4,6,1.354025100415,1.354025100551,1.002e-10,1
4,7,1.445185878816,1.445185878948,9.158e-11,1
4,8,1.522261218732,1.522261218862,8.539e-11,1
4,9,1.589026915046,1.589026915174,8.073e-11,1
4,10,1.647918432875,1.647918433002,7.702e-11,1
4,11,1.700598690705,1.700598690831,7.399e-11,1
4,12,1.748253780608,1.748253780733,7.152e-11,1
5,5,1.386294360987,1.386294361120,9.617e-11,1
5,6,1.497866136648,1.497866136777,8.609e-11,1
5,7,1.589026915048,1.589026915174,7.937e-11,1
5,8,1.666102254964,1.666102255088,7.449e-11,1
5,9,1.732867951277,1.732867951400,7.074e-11,1
5,10,1.791759469107,1.791759469228,6.777e-11,1
5,11,1.844439726936,1.844439727057,6.534e-11,1
5,12,1.892094816839,1.892094816959,6.328e-11,1
6,6,1.609437912309,1.609437912434,7.764e-11,1
6,7,1.700598690709,1.700598690831,7.200e-11,1
6,8,1.777674030624,1.777674030745,6.784e-11,1
6,9,1.844439726938,1.844439727057,6.466e-11,1
6,10,1.903331244767,1.903331244885,6.212e-11,1
6,11,1.956011502597,1.956011502714,6.000e-11,1
6,12,2.003666592500,2.003666592616,5.825e-11,1
7,7,1.791759469108,1.791759469228,6.698e-11,1
7,8,1.868834809023,1.868834809142,6.328e-11,1
7,9,1.935600505337,1.935600505454,6.046e-11,1
7,10,1.994492023166,1.994492023282,5.820e-11,1
7,11,2.047172280996,2.047172281111,5.632e-11,1
7,12,2.094827370899,2.094827371013,5.471e-11,1
8,8,1.945910148939,1.945910149055,5.994e-11,1
8,9,2.012675845252,2.012675845368,5.736e-11,1
8,10,2.071567363081,2.071567363196,5.530e-11,1
8,11,2.124247620911,2.124247621025,5.354e-11,1
8,12,2.171902710814,2.171902710927,5.209e-11,1
