family,size,t,lambda_min,t_star
cert5,5,1.000000e-03,-9.803421621e-07,1.091839049
cert5,5,1.035232e-03,-1.014847500e-06,1.091839049
cert5,5,1.071705e-03,-1.050566095e-06,1.091839049
cert5,5,1.109463e-03,-1.087540517e-06,1.091839049
cert5,5,1.148551e-03,-1.125814827e-06,1.091839049
cert5,5,1.189017e-03,-1.165434619e-06,1.091839049
cert5,5,1.230908e-03,-1.206447085e-06,1.091839049
cert5,5,1.274275e-03,-1.248901061e-06,1.091839049
cert5,5,1.319170e-03,-1.292847088e-06,1.091839049
cert5,5,1.365647e-03,-1.338337470e-06,1.091839049
cert5,5,1.413761e-03,-1.385426333e-06,1.091839049
cert5,5,1.463570e-03,-1.434169694e-06,1.091839049
cert5,5,1.515134e-03,-1.484625519e-06,1.091839049
cert5,5,1.568515e-03,-1.536853791e-06,1.091839049
cert5,5,1.623777e-03,-1.590916586e-06,1.091839049
cert5,5,1.680985e-03,-1.646878136e-06,1.091839049
cert5,5,1.740209e-03,-1.704804911e-06,1.091839049
cert5,5,1.801520e-03,-1.764765689e-06,1.091839049
cert5,5,1.864991e-03,-1.826831642e-06,1.091839049
cert5,5,1.930698e-03,-1.891076409e-06,1.091839049
cert5,5,1.998720e-03,-1.957576191e-06,1.091839049
cert5,5,2.069138e-03,-2.026409829e-06,1.091839049
cert5,5,2.142037e-03,-2.097658902e-06,1.091839049
cert5,5,2.217505e-03,-2.171407813e-06,1.091839049
cert5,5,2.295632e-03,-2.247743893e-06,1.091839049
cert5,5,2.376511e-03,-2.326757492e-06,1.091839049
cert5,5,2.460240e-03,-2.408542087e-06,1.091839049
cert5,5,2.546918e-03,-2.493194391e-06,1.091839049
cert5,5,2.636651e-03,-2.580814453e-06,1.091839049
cert5,5,2.729545e-03,-2.671505780e-06,1.091839049
cert5,5,2.825712e-03,-2.765375450e-06,1.091839049
cert5,5,2.925266e-03,-2.862534231e-06,1.091839049
cert5,5,3.028329e-03,-2.963096707e-06,1.091839049
cert5,5,3.135022e-03,-3.067181408e-06,1.091839049
cert5,5,3.245474e-03,-3.174910939e-06,1.091839049
cert5,5,3.359818e-03,-3.286412117e-06,1.091839049
cert5,5,3.478191e-03,-3.401816115e-06,1.091839049
cert5,5,3.600733e-03,-3.521258602e-06,1.091839049
cert5,5,3.727594e-03,-3.644879898e-06,1.091839049
cert5,5,3.858923e-03,-3.772825124e-06,1.091839049
cert5,5,3.994880e-03,-3.905244363e-06,1.091839049
cert5,5,4.135627e-03,-4.042292827e-06,1.091839049
cert5,5,4.281332e-03,-4.184131020e-06,1.091839049
cert5,5,4.432171e-03,-4.330924914e-06,1.091839049
cert5,5,4.588325e-03,-4.482846134e-06,1.091839049
cert5,5,4.749979e-03,-4.640072134e-06,1.091839049
cert5,5,4.917330e-03,-4.802786394e-06,1.091839049
cert5,5,5.090576e-03,-4.971178612e-06,1.091839049
cert5,5,5.269926e-03,-5.145444907e-06,1.091839049
cert5,5,5.455595e-03,-5.325788028e-06,1.091839049
cert5,5,5.647805e-03,-5.512417562e-06,1.091839049
cert5,5,5.846787e-03,-5.705550161e-06,1.091839049
cert5,5,6.052780e-03,-5.905409761e-06,1.091839049
cert5,5,6.266030e-03,-6.112227818e-06,1.091839049
cert5,5,6.486794e-03,-6.326243545e-06,1.091839049
cert5,5,6.715335e-03,-6.547704157e-06,1.091839049
cert5,5,6.951928e-03,-6.776865118e-06,1.091839049
cert5,5,7.196857e-03,-7.013990408e-06,1.091839049
cert5,5,7.450415e-03,-7.259352782e-06,1.091839049
cert5,5,7.712906e-03,-7.513234041e-06,1.091839049
cert5,5,7.984645e-03,-7.775925312e-06,1.091839049
cert5,5,8.265959e-03,-8.047727336e-06,1.091839049
cert5,5,8.557183e-03,-8.328950753e-06,1.091839049
cert5,5,8.858668e-03,-8.619916412e-06,1.091839049
cert5,5,9.170775e-03,-8.920955666e-06,1.091839049
