family,q,q_mod_m,signature,m2,C_f_to_L,C_L_to_f,C_f_to_Xsplit,C_Xsplit_to_f
"y^2-x^3  (sextic, CM Z[zeta_3])",101,2,L,0.000000000,1.000000000000000,1.000000000000000,0.870234805814761,0.999875975615603
"y^2-x^3  (sextic, CM Z[zeta_3])",211,1,7-valued,1.990521327,0.999847954404788,0.976502595469764,0.906995191366292,0.999567726880276
"y^2-x^3  (sextic, CM Z[zeta_3])",401,2,L,0.000000000,1.000000000000000,1.000000000000000,0.896513025736023,0.999975915371269
"y^2-x^3  (sextic, CM Z[zeta_3])",421,1,7-valued,1.995249406,0.999932532578259,0.984853545020046,0.911052250955091,0.999805786060571
"y^2-x^3  (sextic, CM Z[zeta_3])",461,2,L,0.000000000,1.000000000000000,1.000000000000000,0.898605809779476,0.999979525106195
"y^2-x^3  (sextic, CM Z[zeta_3])",491,2,L,0.000000000,1.000000000000000,1.000000000000000,0.899525143150703,0.999980971257269
"y^2-x^3  (sextic, CM Z[zeta_3])",601,1,7-valued,1.996672213,0.999955373102409,0.987899063950999,0.913419085195725,0.999871051227860
"y^2-x^3  (sextic, CM Z[zeta_3])",661,1,7-valued,1.996974281,0.999960019480484,0.989107655135008,0.913600491699528,0.999884384385659
"xy^2-x^2 (quartic, CM Z[i])",101,1,5-valued,2.970297030,0.999500191601693,0.870234805814761,0.999623820677852,0.994680237238475
"xy^2-x^2 (quartic, CM Z[i])",211,3,Xsplit,0.995260664,0.999948757006133,0.885683158447779,1.000000000000000,1.000000000000000
"xy^2-x^2 (quartic, CM Z[i])",401,1,5-valued,2.992518703,0.999904207559877,0.896513025736023,0.999928229956992,0.998387630101896
"xy^2-x^2 (quartic, CM Z[i])",421,1,5-valued,2.992874109,0.999909618812114,0.897253039051614,0.999932317198194,0.998468345505246
"xy^2-x^2 (quartic, CM Z[i])",461,1,5-valued,2.993492408,0.999918671657177,0.898605809779476,0.999939094579684,0.998583595706246
"xy^2-x^2 (quartic, CM Z[i])",491,3,Xsplit,0.997963340,0.999980971257269,0.899525143150703,1.000000000000000,1.000000000000000
