implementer,implemented,value,n_q,condition
(x^3+1) y^2 (quadratic twists),const = 0,log 7/log 13,1,q = [0] mod 13
(x^3+x) y^2 (quadratic twists),const = 0,log 7/log 13,1,q = [0] mod 13
(x^3+x+1) y^2 (quadratic twists),(x^3+1) y^2 (quadratic twists),log 5/log 7,1,q = [0] mod 13
(x^3+x+1) y^2 (quadratic twists),(x^3+x) y^2 (quadratic twists),log 5/log 7,1,q = [0] mod 13
(x^3+x+1) y^2 (quadratic twists),const = 0,log 5/log 13,1,q = [0] mod 13
(x^3+x+1) y^2 (quadratic twists),y^2 - (x^7+1x),log 20/log 24,1,q = [0] mod 19
(x^3+x+1) y^2 (quadratic twists),y^4 - x^4,log 5/log 7,1,q = [0] mod 13
L = x,(x^3+1) y^2 (quadratic twists),log 11/log 21,1,q = [0] mod 11
L = x,(x^3+x) y^2 (quadratic twists),log 11/log 21,1,q = [0] mod 11
L = x,(x^3+x+1) y^2 (quadratic twists),log 11/log 21,1,q = [0] mod 11
L = x,(x^3+x+1) y^2 (quadratic twists),log 19/log 20,1,q = [0] mod 19
L = x,Xaniso = x^2-d y^2,log 11/log 12,1,q = [0] mod 11
L = x,Xaniso = x^2-d y^2,log 13/log 14,1,q = [0] mod 13
L = x,Xaniso = x^2-d y^2,log 17/log 18,1,q = [0] mod 17
L = x,Xaniso = x^2-d y^2,log 19/log 20,1,q = [0] mod 19
L = x,Xaniso = x^2-d y^2,log 23/log 24,1,q = [10] mod 13
L = x,Xsplit = xy,log 11/log 21,1,q = [0] mod 11
L = x,const = 0,1/2,21,always
L = x,x y^2 - x^2 (quartic twists),log 11/log 21,1,q = [0] mod 11
L = x,x^2 (pushforward),log 11/log 22,1,q = [0] mod 11
L = x,x^2 + y^2,log 11/log 12,1,q = [0] mod 11
L = x,x^2 + y^2,log 19/log 20,1,q = [0] mod 19
L = x,x^2 + y^2,log 23/log 24,1,q = [10] mod 13
L = x,x^2 + y^3,log 13/log 20,1,q = [0] mod 13
L = x,x^2 + y^4,log 11/log 12,1,q = [0] mod 11
L = x,x^2 + y^4,log 19/log 20,1,q = [0] mod 19
L = x,x^2 + y^4,log 23/log 24,1,q = [10] mod 13
L = x,x^2 + y^5,log 11/log 22,1,q = [0] mod 11
L = x,x^4 + y^4,log 11/log 12,1,q = [0] mod 11
L = x,x^4 + y^4,log 19/log 20,1,q = [0] mod 19
L = x,x^4 + y^4,log 23/log 24,1,q = [10] mod 13
L = x,x^4 + y^5,log 11/log 22,1,q = [0] mod 11
L = x,y^2 - (x^3+1x),log 11/log 17,1,q = [0] mod 11
L = x,y^2 - (x^3+1x),log 13/log 19,1,q = [0] mod 13
L = x,y^2 - (x^3+1x),log 17/log 24,1,q = [0] mod 17
L = x,y^2 - (x^3+2x),log 11/log 16,1,q = [0] mod 11
L = x,y^2 - (x^3+2x),log 13/log 17,1,q = [0] mod 13
L = x,y^2 - (x^3+2x),log 17/log 23,1,q = [0] mod 17
L = x,y^2 - (x^5+1x),log 11/log 15,1,q = [0] mod 11
L = x,y^2 - (x^5+1x),log 13/log 17,1,q = [0] mod 13
L = x,y^2 - (x^5+2x),log 11/log 18,1,q = [0] mod 11
L = x,y^2 - (x^5+2x),log 13/log 17,1,q = [0] mod 13
L = x,y^2 - (x^5+2x),log 17/log 21,1,q = [0] mod 17
L = x,y^2 - (x^7+1x),log 11/log 17,1,q = [0] mod 11
L = x,y^2 - (x^7+1x),log 13/log 20,1,q = [0] mod 13
L = x,y^2 - (x^7+1x),log 19/log 24,1,q = [0] mod 19
L = x,y^2 - D_2(x),log 11/log 21,1,q = [0] mod 11
L = x,y^2 - D_3(x),log 11/log 16,1,q = [0] mod 11
L = x,y^2 - D_3(x),log 13/log 18,1,q = [0] mod 13
