curve,supersingular_q,z,signature
E: y^2=x^3+x   (CM Z[i]),7,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),11,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),19,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),23,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),31,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),43,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),47,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),59,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),67,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),71,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),79,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),83,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),103,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),107,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),127,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),131,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),139,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),151,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),163,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),167,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),179,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),191,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),199,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),211,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),223,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),227,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),239,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),251,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),263,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),271,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),283,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),307,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),311,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),331,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),347,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),359,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),367,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),379,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),383,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),419,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),431,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),439,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),443,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),463,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),467,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),479,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),487,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),491,1,Xsplit
E: y^2=x^3+x   (CM Z[i]),499,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),5,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),11,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),17,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),23,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),29,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),41,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),47,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),53,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),59,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),71,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),83,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),89,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),101,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),107,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),113,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),131,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),137,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),149,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),167,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),173,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),179,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),191,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),197,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),227,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),233,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),239,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),251,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),257,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),263,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),269,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),281,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),293,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),311,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),317,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),347,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),353,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),359,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),383,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),389,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),401,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),419,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),431,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),443,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),449,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),461,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),467,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),479,1,Xsplit
E: y^2=x^3+1   (CM Z[zeta_3]),491,1,Xsplit
E: y^2=x^3+x+1 (non-CM),17,1,Xsplit
E: y^2=x^3+x+1 (non-CM),179,1,Xsplit
E: y^2=x^3+x+1 (non-CM),227,3,2-valued
