q,family,genus,m2,max_abs_a,C_f_to_L,C_L_to_f,weil_scale,m2_recovered
421,generic g=1  y^2=P_3(x)+c,1,0.997624703,40,0.999966216299080,0.985900364099430,1.748135740,1.001836596
421,generic g=2  y^2=P_5(x)+c,2,1.054631829,59,0.999964319818838,0.978756427901403,2.633872811,1.058075648
421,generic g=3  y^2=P_7(x)+c,3,1.045130641,74,0.999964834530593,0.973902261034109,3.235714067,1.042812161
421,generic g=4  y^2=P_9(x)+c,4,0.897862233,60,0.999969659615063,0.980754666768773,2.386122244,0.899727003
421,CM      g=1  y^2=x^3+c,1,1.995249406,41,0.999932532578259,0.984853545020046,1.877925038,2.000708339
421,CM      g=1  y^2=x^4+c,1,2.992874109,420,0.999909618812114,0.897253039051614,12.739026448,2.680203150
421,CM      g=2  y^2=x^5+c,2,3.990498812,64,0.999864394298476,0.977116324372059,2.837220161,4.021310595
421,CM      g=2  y^2=x^6+c,2,4.988123515,420,0.999842421587926,0.897253039051614,12.739026448,4.672898933
421,CM      g=3  y^2=x^7+c,3,5.985748219,113,0.999793991057487,0.962142035092301,4.693799328,6.109078998
421,Dickson g=1  y^2=D_4(x)+c,1,1.995249406,421,0.999943522789802,0.897094741946095,12.758652829,1.674799814
421,Dickson g=2  y^2=D_5(x)+c,2,1.976247031,73,0.999932999974585,0.974219787526821,3.196345717,1.986847965
421,Dickson g=2  y^2=D_6(x)+c,2,2.964370546,418,0.999910270255750,0.897570366874823,12.699682729,2.660884957
421,"twist   g=1  P(x)y^2, P=x^3+x+1",1,0.021326894,3,0.999999280804750,0.998826291835480,0.145521573,0.021327329
601,generic g=1  y^2=P_3(x)+c,1,0.995008319,48,0.999977739840677,0.988605158529859,1.787434521,0.997857957
601,generic g=2  y^2=P_5(x)+c,2,1.024958403,78,0.999977133399890,0.981286109001525,2.935526123,1.025042927
601,generic g=3  y^2=P_7(x)+c,3,1.068219634,84,0.999976161289002,0.979963928342230,3.142927986,1.068619820
601,generic g=4  y^2=P_9(x)+c,4,0.941763727,75,0.999978944268544,0.982623645523359,2.725715485,0.943866972
601,CM      g=1  y^2=x^3+c,1,1.996672213,49,0.999955373102409,0.987899063950999,1.898194976,2.000493536
601,CM      g=1  y^2=x^4+c,1,2.995008319,600,0.999940212748185,0.902365859259835,15.315231376,2.680087957
601,CM      g=2  y^2=x^5+c,2,3.993344426,79,0.999910423542060,0.981064687753355,2.970259031,4.015451102
601,CM      g=2  y^2=x^6+c,2,4.991680532,600,0.999894675649099,0.902365859259835,15.315231376,4.721383169
601,CM      g=3  y^2=x^7+c,3,0.000000000,0,1.000000000000000,1.000000000000000,0.000000000,0.000000000
601,Dickson g=1  y^2=D_4(x)+c,1,1.990016639,599,0.999962760395934,0.902471874810762,15.298601408,1.669342734
601,Dickson g=2  y^2=D_5(x)+c,2,1.983361065,89,0.999955721963431,0.978873615039910,3.313958328,1.984855115
601,Dickson g=2  y^2=D_6(x)+c,2,2.975041597,598,0.999940421989417,0.902578003689644,15.281953662,2.670708284
601,"twist   g=1  P(x)y^2, P=x^3+x+1",1,2.493348579,600,0.999951501164320,0.902365859259835,15.315231376,2.174061217
