q,a_E,m2_of_twist_family
19,-1,0.049861496
41,7,1.165972635
59,-3,0.149956909
71,13,2.346756596
97,1,0.010202997
101,-3,0.088226644
103,17,2.778584221
107,3,0.083326055
109,-13,1.536234324
113,-11,1.061320385
157,-13,1.069576859
163,-25,3.810832173
191,-25,3.255119103
193,-7,0.252570539
211,-11,0.570741897
233,-3,0.038460830
257,9,0.313948735
281,-7,0.173756665
307,7,0.159089221
311,-3,0.028845856
317,-15,0.707540129
359,9,0.224998254
373,11,0.323527086
397,25,1.570341795
419,13,0.402378660
421,-3,0.021326894
439,-19,0.820450288
443,11,0.272521134
467,25,1.335463962
479,35,2.552072210
503,9,0.160713651
541,11,0.223246470
547,23,0.965325241
563,29,1.491130047
593,15,0.378786802
599,3,0.014999958
659,37,2.074237648
661,-37,2.067971098
683,35,1.790931833
691,17,0.417629183
701,-33,1.551278894
727,37,1.880490948
733,17,0.393732237
751,25,0.831115548
769,-39,1.975321335
877,53,3.199312469
887,47,2.487609451
907,-39,1.675108096
977,-9,0.082821999
997,3,0.009018027
1033,-27,0.705028353
1039,-13,0.162499849
1051,43,1.757602972
1061,7,0.046139319
1087,-35,1.125918165
1093,27,0.666361417
1103,3,0.008152167
1123,19,0.321174123
1151,-19,0.313367819
1163,5,0.021477647
1217,-9,0.066502418
1223,57,2.654409990
1229,-39,1.236584547
1249,29,0.672799569
1279,23,0.413280997
1289,29,0.651937592
1291,5,0.019349834
1307,-31,0.734709050
1321,-53,2.124809675
1361,39,1.116739485
1373,45,1.473798345
1399,19,0.257857011
1409,-15,0.159574388
1423,25,0.438904278
1427,-13,0.118347281
1433,23,0.368898007
1459,1,0.000684931
1471,41,1.141983168
1489,-23,0.355033397
1597,-17,0.180850993
1601,51,1.623594872
1609,-23,0.328571302
1613,23,0.327756999
1621,-57,2.003081852
1637,23,0.322954702
1657,1,0.000603136
1693,1,0.000590319
1699,27,0.428823381
1709,-27,0.426315644
1733,21,0.254325175
1777,73,2.997186902
1783,41,0.942264278
1787,-33,0.609060212
1823,47,1.211074197
1831,-17,0.157751045
1847,1,0.000541125
1861,-65,2.269064866
1867,-5,0.013383294
1901,19,0.189800158
1907,-17,0.151467464
