a,b,E_actual,E_predicted,overlap,arithmetic
"(2, 2)","(2, 2)",9600.000000,9600.000000,8,0.000000
"(2, 2)","(3, 1)",-356.616625,-363.667173,0,1.386294
"(2, 2)","(4, 2)",4070.479175,4072.665655,4,2.772589
"(2, 2)","(5, 3)",18.383809,0.000000,0,0.000000
"(2, 2)","(6, 1)",-1508.703866,-1516.464835,0,5.780744
"(2, 2)","(3, 1, 1)",-721.377037,-727.334345,0,2.772589
"(2, 2)","(8, 4)",-1451.045707,-1454.668691,0,5.545177
"(2, 2)","(9, 3)",22.800356,0.000000,0,0.000000
"(2, 2)","(4, 4, 1)",-1823.802062,-1818.335863,0,6.931472
"(2, 2)","(7, 5)",12.616060,0.000000,0,0.000000
"(2, 2)","(5, 5)",20.480042,0.000000,0,0.000000
"(2, 2)","(7, 1)",-362.384374,-363.667173,0,1.386294
"(2, 2)","(9, 1)",-350.103844,-363.667173,0,1.386294
"(2, 2)","(6, 3)",-1135.799666,-1152.797663,0,4.394449
"(2, 2)","(10, 5)",-1668.016180,-1688.818051,0,6.437752
"(2, 2)","(11, 7)",11.785365,0.000000,0,0.000000
"(3, 1)","(3, 1)",4228.028273,4223.601169,4,2.197225
"(3, 1)","(4, 2)",-357.825696,-363.667173,0,1.386294
"(3, 1)","(5, 3)",2898.474613,2889.596072,3,2.708050
"(3, 1)","(6, 1)",371.252313,366.299825,1,3.178054
"(3, 1)","(3, 1, 1)",5142.042410,5135.401753,5,3.295837
"(3, 1)","(8, 4)",-349.996923,-363.667173,0,1.386294
"(3, 1)","(9, 3)",2173.554039,2159.002922,3,5.493061
"(3, 1)","(4, 4, 1)",554.979369,548.133412,1,2.484907
"(3, 1)","(7, 5)",-917.264722,-932.675926,0,3.555348
"(3, 1)","(5, 5)",-831.079046,-844.409025,0,3.218876
"(3, 1)","(7, 1)",412.288938,401.329171,1,3.044522
"(3, 1)","(9, 1)",-226.445961,-240.997078,1,5.493061
"(3, 1)","(6, 3)",2771.252313,2766.299825,3,3.178054
"(3, 1)","(10, 5)",-398.569112,-422.204513,0,1.609438
"(3, 1)","(11, 7)",-1112.961181,-1139.512271,0,4.343805
"(4, 2)","(4, 2)",6470.479175,6472.665655,6,2.772589
"(4, 2)","(5, 3)",3.142015,0.000000,0,0.000000
"(4, 2)","(6, 1)",-926.589366,-940.066004,0,3.583519
"(4, 2)","(3, 1, 1)",-720.587123,-727.334345,0,2.772589
"(4, 2)","(8, 4)",3344.956321,3345.331309,4,5.545177
"(4, 2)","(9, 3)",12.652070,0.000000,0,0.000000
"(4, 2)","(4, 4, 1)",8507.717748,8508.998482,8,4.158883
"(4, 2)","(7, 5)",-5.800564,0.000000,0,0.000000
"(4, 2)","(5, 5)",-3.587431,0.000000,0,0.000000
"(4, 2)","(7, 1)",-366.768275,-363.667173,0,1.386294
"(4, 2)","(9, 1)",-355.045087,-363.667173,0,1.386294
"(4, 2)","(6, 3)",-558.892208,-576.398831,0,2.197225
"(4, 2)","(10, 5)",-830.681795,-844.409025,0,3.218876
"(4, 2)","(11, 7)",14.624929,0.000000,0,0.000000
"(5, 3)","(5, 3)",9608.049054,9600.000000,8,0.000000
"(5, 3)","(6, 1)",-1277.871666,-1255.904687,0,4.787492
"(5, 3)","(3, 1, 1)",2192.924700,2179.192143,3,5.416100
"(5, 3)","(8, 4)",16.003426,0.000000,0,0.000000
"(5, 3)","(9, 3)",2762.541498,2735.401753,3,3.295837
"(5, 3)","(4, 4, 1)",-717.649692,-710.403928,0,2.708050
"(5, 3)","(7, 5)",6027.068504,6000.000000,5,0.000000
"(5, 3)","(5, 5)",12008.049054,12000.000000,10,0.000000
"(5, 3)","(7, 1)",-682.505938,-710.403928,0,2.708050
"(5, 3)","(9, 1)",-1547.032943,-1575.002175,0,6.003887
"(5, 3)","(6, 3)",3031.702775,3054.499241,3,2.079442
"(5, 3)","(10, 5)",5100.233197,5090.832068,5,3.465736
"(5, 3)","(11, 7)",29.869927,0.000000,0,0.000000
"(6, 1)","(6, 1)",8408.757591,8400.000000,7,0.000000
"(6, 1)","(3, 1, 1)",1575.631109,1566.299825,2,3.178054
"(6, 1)","(8, 4)",-349.570403,-363.667173,0,1.386294
"(6, 1)","(9, 3)",-1103.413308,-1121.899590,0,4.276666
"(6, 1)","(4, 4, 1)",859.903930,836.332827,1,1.386294
"(6, 1)","(7, 5)",-946.236149,-932.675926,0,3.555348
"(6, 1)","(5, 5)",-889.490369,-844.409025,0,3.218876
"(6, 1)","(7, 1)",702.887830,689.528586,1,1.945910
"(6, 1)","(9, 1)",934.091970,911.800584,1,1.098612
"(6, 1)","(6, 3)",6371.252313,6366.299825,6,3.178054
"(6, 1)","(10, 5)",-427.835420,-422.204513,0,1.609438
"(6, 1)","(11, 7)",-1108.876591,-1139.512271,0,4.343805
"(3, 1, 1)","(3, 1, 1)",7256.056546,7247.202337,7,4.394449
"(3, 1, 1)","(8, 4)",-709.438787,-727.334345,0,2.772589
"(3, 1, 1)","(9, 3)",1605.065668,1582.604090,3,7.690286
"(3, 1, 1)","(4, 4, 1)",1394.216928,1384.466239,2,3.871201
