agreement,best_delta_s,best_optimised,block,ceiling,half_log_phi,max_dev_A,prior,psi_opt,s,support,t
0.824942739349519,,,endpoint,,,,0.5*(delta_-inf+delta_+inf) = 1/2 log phi,,,,
0.824942739349519,,,gauge,,,2.0603663219986856e-08,,,,,2
0.824942739349519,,,gauge,,,2.2252582998483206e-08,,,,,3
0.824942739349519,,,gauge,,,1.585377218393802e-08,,,,,5
0.32741639945029777,,,delta_s,,,,,,-4.0,,
0.32196518552450754,,,delta_s,,,,,,-2.0,,
0.31161245991754466,,,delta_s,,,,,,-1.0,,
0.0,,,delta_s,,,,,,0.0,,
0.815277141548328,,,delta_s,,,,,,1.0,,
0.9426248282180486,,,delta_s,,,,,,2.0,,
0.9800274851122309,,,delta_s,,,,,,3.0,,
0.9781722400366468,,,delta_s,,,,,,4.0,,
0.921644525881814,,,delta_s,,,,,,6.0,,
0.8715987173614292,,,delta_s,,,,,,8.0,,
0.9800503893724233,,,delta_s_best,,,,,,2.9749999999999996,,
0.9845396243701329,,,named_prior,,,,"uniform s in [-4,4]",,,,
0.9851809436555199,,,named_prior,,,,"uniform s in [-8,8]",,,,
0.9851580393953275,,,named_prior,,,,"uniform s in [-14,14]",,,,
0.9851580393953275,,,named_prior,,,,"uniform s in [-24,24]",,,,
0.9939074667888227,,,named_prior,,,,"uniform s in [0,6]",,,,
0.986463582226294,,,named_prior,,,,"uniform s in [-2,4]",,,,
0.9003664681630783,,,named_prior,,,,gaussian mu=0.0 sd=1.0,,,,
0.9745533669262483,,,named_prior,,,,gaussian mu=0.0 sd=2.0,,,,
0.9883417315620705,,,named_prior,,,,gaussian mu=0.0 sd=4.0,,,,
0.986463582226294,,,named_prior,,,,gaussian mu=1.0 sd=2.0,,,,
0.9941136051305542,,,named_prior,,,,gaussian mu=2.0 sd=2.0,,,,
0.9274622079706826,,,named_prior,,,,"uniform in beta on (0,10]",,,,
0.983737975263399,,,named_prior,,,,"uniform in beta on (0,100]",,,,
0.983737975263399,,,named_prior,,,,"uniform in beta on (0,1000]",,,,
0.28886852954649567,,,named_prior,,,,empirical sigma of the pool,,,,
0.9962207970682547,,,optimised,,,,,,,"[(0.011, 0.4912), (-5.229, 0.1126), (-5.968, 0.1112), (-5.871, 0.0898), (-6.0, 0.0744), (-5.486, 0.02), (1.554, 0.0083), (1.521, 0.0072)]",
,0.9800503893724233,0.9962207970682547,summary,0.9990380210719194,0.824942739349519,,,0.9831424644983967,,,
