block,f11,f13,prior,support
named,0.9851809436555199,0.9889209999465577,"uniform[-8,8]",
named,0.9939074667888227,0.9951120849485926,"uniform[0,6]",
named,0.986463582226294,0.984785388052768,"uniform[-2,4]",
named,0.9941136051305542,0.9942446752969131,gaussian mu=2 sd=2,
named,0.9883417315620705,0.9912313517202255,gaussian mu=0 sd=4,
benchmark,0.824942739349519,0.8331613587499435,1/2 log phi (canonical),
benchmark,0.9831424644983967,0.9865078745174777,HodgeRank psi_opt,
fitted,0.9962207970682547,0.9962179294808287,fit on F_11,
fitted,0.9958543289051763,0.9961727090724473,fit on F_13,
support,,,fit on F_11,"[(0.011, 0.4912), (-5.229, 0.1126), (-5.968, 0.1112), (-5.871, 0.0898), (-6.0, 0.0744), (-5.486, 0.02)]"
support,,,fit on F_13,"[(0.011, 0.6591), (-5.968, 0.2067), (-6.0, 0.0822), (2.968, 0.0068), (1.65, 0.004), (1.618, 0.004)]"
