A12,A23,A31,block,curl,curl_energy,curl_fraction,cycle,cycles,edges_ne_A0,edges_ne_Ainf,lam,lam_hi,lam_lo,lam_target,margin,powers,ratio,rms_A
,,,phase,,6.881156881247606e-21,8.295273884114741e-11,,0,0,648,0.001,,,,,,,0.02176138712419757
,,,phase,,6.888876288799005e-17,8.299925474845546e-09,,0,0,648,0.01,,,,,,,0.021761387366893085
,,,phase,,5.579965158578255e-15,7.469916437670675e-08,,0,0,648,0.03,,,,,,,0.021761389328095716
,,,phase,,6.888333297291815e-13,8.299598362144891e-07,,0,0,648,0.1,,,,,,,0.021761411636394185
,,,phase,,5.575900287910907e-11,7.467195114573414e-06,,0,0,648,0.3,,,,,,,0.021761607722620663
,,,phase,,6.8329138644291e-09,8.266144121916275e-05,,0,0,648,1,,,,,,,0.021763834335453827
,,,phase,,5.192712957479574e-07,0.0007206048124651662,,0,0,648,3,,,,,,,0.021783109926383354
,,,phase,,3.570427991471378e-05,0.005975305842776065,,0,0,648,10,,,,,,,0.02197210082054925
,,,phase,,0.0003419574392300825,0.01849209126167407,,0,3,645,30,,,,,,,0.02278316811772002
,,,phase,,0.0006516609936208306,0.02552765154926772,,2,23,625,100,,,,,,,0.02414459052827182
,,,phase,,0.0022976627846649864,0.0479339418853174,,80,186,462,300,,,,,,,0.02485487112445486
,,,phase,,0.005644841959509615,0.07513216328250914,,117,463,185,1000,,,,,,,0.025056969805907697
,,,phase,,0.007348983753886532,0.08572621392483476,,116,601,49,3000,,,,,,,0.02496052842744351
,,,phase,,0.00799704220907186,0.0894261830174578,,123,637,13,10000,,,,,,,0.024856108602182635
,,,phase,,0.008173416039054483,0.09040694685174631,,126,643,7,30000,,,,,,,0.02480937903600336
,,,phase,,0.008228613656820398,0.09071170628325981,,130,648,2,100000,,,,,,,0.024788311089211486
,,,phase,,0.008248850176512623,0.09082318083238784,,132,648,0,1e+06,,,,,,,0.0247782989526562
,,,phase,,0.00825122251809548,0.0908362401142599,,132,648,0,inf,,,,,,,0.024776920267663233
,,,lambda2,,,2.2440498714944358e-11,,,,,0.0001,,,,,,0.0022440498714944358,
,,,lambda2,,,1.0359345754493519e-11,,,,,0.0003,,,,,,0.00011510384171659467,
,,,lambda2,,,8.295273884114741e-11,,,,,0.001,,,,,,8.295273884114742e-05,
,,,lambda2,,,7.469754085717274e-10,,,,,0.003,,,,,,8.299726761908082e-05,
,,,lambda2,,,8.299925474845546e-09,,,,,0.01,,,,,,8.299925474845545e-05,
,,,lambda2,,,7.469916437670675e-08,,,,,0.03,,,,,,8.299907152967416e-05,
,,,lambda2,,,8.299598362144891e-07,,,,,0.1,,,,,,8.299598362144889e-05,
,,,lambda2,,,7.467195114573414e-06,,,,,0.3,,,,,,8.296883460637127e-05,
,,,lambda2,,,8.266144121916275e-05,,,,,1.0,,,,,,8.266144121916275e-05,
0.1890141269130733,-0.3491635160355553,0.16014938912248192,flat_curl,-8.326672684688674e-17,,,,,,,inf,,,,,,,
0.1742625821089884,-0.3836086467493276,0.2093460786879798,flat_curl,1.4047640606307255e-08,,,,,,,0.001,,,,,,,
0.174262801434301,-0.38360699072848936,0.2093455939607022,flat_curl,1.4046665138545134e-06,,,,,,,0.01,,,,,,,
0.1742846922628062,-0.3834424063845551,0.20929718212755366,flat_curl,0.00013946800580474927,,,,,,,0.1,,,,,,,
0.17445861075666133,-0.3821824142025583,0.20891034914314813,flat_curl,0.0011865456972511845,,,,,,,0.3,,,,,,,
0.17612447655858998,-0.3732343924416165,0.20499606909890397,flat_curl,0.007886153215877462,,,,,,,1,,,,,,,
0.17931740774655316,-0.36389688879302495,0.19628750266684739,flat_curl,0.011708021620375597,,,,,,,2,,,,,,,
0.18171870469428222,-0.3595314205892225,0.18851583170773029,flat_curl,0.010703115812790015,,,,,,,3,,,,,,,
0.18428897485112045,-0.35574009051080424,0.17900319874591575,flat_curl,0.007552083086231953,,,,,,,5,,,,,,,
0.1864741686655148,-0.35270321945542205,0.17032608130563817,flat_curl,0.004097030515730932,,,,,,,10,,,,,,,
0.18868781868079593,-0.3496275344491794,0.16145320753076584,flat_curl,0.0005134917623823843,,,,,,,100,,,,,,,
0.18900728929230992,-0.34917400434057777,0.16017634465101072,flat_curl,9.629602742866616e-06,,,,,,,10000,,,,,,,
0.013364821728186982,0.018328841078837144,-0.031693662807024126,flat_witness[lambda* (max curl)],,,,False,,,,inf,,,,,,,
-0.0013867230758979614,-0.01611628963493522,0.017503026758473785,flat_witness[lambda* (max curl)],,,,False,,,,0.001,,,,,,,
-0.0013865037505853082,-0.016114633614091288,0.017502542031196198,flat_witness[lambda* (max curl)],,,,False,,,,0.01,,,,,,,
-0.0013646129220800524,-0.015950049270161415,0.017454130198047563,flat_witness[lambda* (max curl)],,,,False,,,,0.1,,,,,,,
-0.0008580194392907581,-0.01249299702115314,0.016316263108059503,flat_witness[lambda* (max curl)],,,,False,,,,0.5,,,,,,,
0.00047517137370317597,-0.005742035327223394,0.013153017169397735,flat_witness[lambda* (max curl)],,,,False,,,,1,,,,,,,
0.003855096547584841,0.003986291774216222,0.0038791226248421073,flat_witness[lambda* (max curl)],,,,True,,,,2.06506,,,,,,,
0.006069399509395418,0.007960936525170492,-0.0033272202217759783,flat_witness[lambda* (max curl)],,,,False,,,,3,,,,,,,
0.008639669666233696,0.011752266603588968,-0.012839853183590488,flat_witness[lambda* (max curl)],,,,False,,,,5,,,,,,,
0.01082486348062811,0.014789137658971163,-0.021516970623868092,flat_witness[lambda* (max curl)],,,,False,,,,10,,,,,,,
0.01276262053478111,0.017478845924916997,-0.02928455181368489,flat_witness[lambda* (max curl)],,,,False,,,,50,,,,,,,
0.013320020277764799,0.018262977438248895,-0.03151563942314356,flat_witness[lambda* (max curl)],,,,False,,,,1000,,,,,,,
0.013364627051567657,0.018328558124607097,-0.031692903295927666,flat_witness[lambda* (max curl)],,,,False,,,,1e+06,,,,,,,
,,,flat_band[lambda* (max curl)],,,,,,,,,2.537613575813129,1.5210950199940503,2.0650556268364744,0.003855096547584841,"[401, 478, 331]",,
0.015530683276835155,0.026717440967326755,-0.04224812424416191,flat_witness[lambda = 1 exactly],,,,False,,,,inf,,,,,,,
0.0007791384727502616,-0.007727689746445522,0.006948565321336024,flat_witness[lambda = 1 exactly],,,,False,,,,0.001,,,,,,,
0.0007793577980628932,-0.00772603372560729,0.006948080594058404,flat_witness[lambda = 1 exactly],,,,False,,,,0.01,,,,,,,
0.0008012486265686347,-0.007561449381673219,0.006899668760910367,flat_witness[lambda = 1 exactly],,,,False,,,,0.1,,,,,,,
0.0013078421093583592,-0.004104397132664583,0.005761801670922023,flat_witness[lambda = 1 exactly],,,,False,,,,0.5,,,,,,,
0.0026410329223522933,0.002646564561264997,0.002598555732260227,flat_witness[lambda = 1 exactly],,,,True,,,,1,,,,,,,
