S_over_lam,block,curl,defect_over_lam2,dsigma,envelope,err_even,err_odd,kappa3_over_6,lam,lam0,lam1,lam10,lam1e4,laminf,max_mean_abs_A,max_ratio,over_log2_half,pair,slack,sumS,triple,var_over_2
,identity,,,,,2.4719554681631496e-14,2.5140805141895334e-14,,0.01,,,,,,,0.00011185439604165671,,,,,,
,identity,,,,,3.1886114842255564e-15,3.693386793098127e-15,,0.1,,,,,,,0.0011185073107191847,,,,,,
,identity,,,,,2.6150956400350367e-16,3.0249037324438233e-15,,1.0,,,,,,,0.011148341743414758,,,,,,
,identity,,,,,2.8514517136368767e-17,3.0385850086078747e-15,,10.0,,,,,,,0.09894618750195051,,,,,,
,identity,,,,,2.7755575615628914e-17,3.0340313594834356e-15,,100.0,,,,,,,0.6501721723469778,,,,,,
,identity,,,,,2.7755575615628914e-17,3.0322966360074588e-15,,1000.0,,,,,,,0.8459514952562364,,,,,,
0.002287927021265429,leading,,-1.869543408972163e-05,,,,,-1.8625734985952964e-05,0.001,,,,,,,,,"(0, 40)",,,,0.0022879270693749168
0.002287926912247426,leading,,-1.8625711667441536e-05,,,,,-1.8625734985952964e-05,0.01,,,,,,,,,"(0, 40)",,,,0.0022879270693749168
0.0022879114168402465,leading,,-1.8625408161609954e-05,,,,,-1.8625734985952964e-05,0.1,,,,,,,,,"(0, 40)",,,,0.0022879270693749168
0.000490338380867289,leading,,-1.2833623053154497e-06,,,,,-1.2311421725107236e-06,0.001,,,,,,,,,"(17, 200)",,,,0.0004903383692136474
0.0004903383614139264,leading,,-1.2312125624580617e-06,,,,,-1.2311421725107236e-06,0.01,,,,,,,,,"(17, 200)",,,,0.0004903383692136474
0.0004903376137700872,leading,,-1.2311375960361024e-06,,,,,-1.2311421725107236e-06,0.1,,,,,,,,,"(17, 200)",,,,0.0004903383692136474
1.5670279278077516e-06,leading,,3.800663939384358e-09,,,,,-1.1874553606715524e-10,0.001,,,,,,,,,"(48, 64)",,,,1.5670180560066806e-06
1.5670173324759023e-06,leading,,-4.6613646102755535e-11,,,,,-1.1874553606715524e-10,0.01,,,,,,,,,"(48, 64)",,,,1.5670180560066806e-06
1.5670180585823602e-06,leading,,-1.1867745826864282e-10,,,,,-1.1874553606715524e-10,0.1,,,,,,,,,"(48, 64)",,,,1.5670180560066806e-06
,no_deform,,,1.0,,,,,,-0.004166493062789045,-0.0038657212223542903,-0.0008740268769666937,-9.965704745873438e-07,0.0,,,,,,,,
,no_deform,,,3.0,,,,,,-0.037498437565101295,-0.023155770940105125,-0.002692176479194064,-3.076879845353986e-06,0.0,,,,,,,,
,no_deform,,,6.0,,,,,,-0.14999375026040562,-0.05240329537347144,-0.005543148179971702,-6.362149896688152e-06,0.0,,,,,,,,
,no_deform,,,10.0,,,,,,-0.41664930627890406,-0.09114753288391864,-0.009612895266593924,-1.1103676576418309e-05,0.0,,,,,,,,
,no_deform,,,16.0,,,,,,-1.0666222240739982,-0.15506984784782407,-0.01641477210858877,-1.918248488141927e-05,-8.881784197001252e-16,,,,,,,,
,no_deform_narrow,,,1.0,1.1931471805599454,,,,,-0.09354708557782121,-0.09310450716394325,-0.07622874915834299,,0.0,,,,,,,,
,no_deform_narrow,,,3.0,2.1931471805599454,,,,,-0.7372428574929897,-0.7270891542128926,-0.5975077913504303,,0.0,,,,,,,,
,no_deform_narrow,,,6.0,3.6931471805599454,,,,,-2.158733157718041,-2.141220010305619,-1.9602293919956084,,0.0,,,,,,,,
,no_deform_narrow,,,10.0,5.693147180559945,,,,,-4.154340992673193,-4.136299241528496,-3.9519804677567905,,0.0,,,,,,,,
,no_deform_narrow,,,16.0,8.693147180559945,,,,,-7.154258869762264,-7.136207096167315,-6.951825581972036,,0.0,,,,,,,,
,no_deform_narrow,,,24.0,12.693147180559945,,,,,-11.154258665745118,-11.136206867245093,-10.95182519716083,,0.0,,,,,,,,
,cycle_bound,5.645002758422266e-10,,,,,,,0.01,,,,,,,,,,46754.04258163923,2.6392669934074552e-05,,
,cycle_bound,5.645017109659478e-08,,,,,,,0.1,,,,,,,,,,4675.382063655818,0.0002639261174353213,,
,cycle_bound,5.642049130350976e-06,,,,,,,1,,,,,,,,,,467.6810472123345,0.0026386794457059857,,
,cycle_bound,0.0005362107787299043,,,,,,,10,,,,,,,,,,48.1758391790055,0.02583240424214117,,
,cycle_bound,0.009755792749672322,,,,,,,100,,,,,,,,,,13.54209531098068,0.13211387525023685,,
,cycle_bound,0.01452671365016072,,,,,,,300,,,,,,,,,,11.861435543284168,0.17230767761712767,,
,cycle_bound,0.01544912788243933,,,,,,,1000,,,,,,,,,,12.388273384006729,0.19138801975213937,,
,cycle_bound,0.015777444094533057,,,,,,,10000,,,,,,,,,,12.686571112054713,0.2001616664717613,,
,cycle_bound,0.0158137647304101,,,,,,,inf,,,,,,,,,,12.735581523048035,0.20139748991043957,,
,sharp,,,,,,,,1,,,,,,0.03915126098955183,,0.11296666014835191,,,,"[[11.023176380641605, 6234195.425894351, 11.023176380641605], [1.0, 1.0, 1.0], [2.3246848286155322e+42, 3.2312479687890613e+42, 3.822693764994955e+42]]",
