n,iso_code,pool,signatures
3,0,"r=6,M=12","(12, 12, 8, 8, 4, 4) | (12, 11, 10, 8, 8, 2) | (12, 8, 6, 6, 6, 6)"
3,2,"r=6,M=12","(12, 8, 6, 6, 6, 2) | (12, 8, 7, 5, 4, 4) | (12, 12, 6, 5, 1, 1)"
4,0,"r=6,M=12","(12, 11, 6, 4, 4, 4) | (12, 12, 7, 4, 3, 2) | (12, 12, 11, 10, 9, 2) | (12, 11, 10, 8, 8, 4)"
4,2,"r=6,M=12","(12, 11, 9, 8, 8, 2) | (12, 10, 9, 9, 7, 4) | (12, 11, 8, 8, 7, 4) | (12, 12, 12, 8, 7, 3)"
4,8,"r=6,M=12","(12, 12, 10, 7, 7, 2) | (12, 12, 12, 7, 5, 1) | (12, 12, 7, 7, 7, 6) | (12, 10, 10, 8, 8, 6)"
4,9,"r=6,M=12","(12, 11, 10, 9, 4, 1) | (12, 12, 10, 6, 4, 1) | (12, 11, 8, 6, 3, 2) | (12, 12, 9, 9, 2, 1)"
5,0,"r=6,M=12","(12, 12, 8, 8, 7, 5) | (12, 12, 7, 7, 7, 5) | (12, 6, 4, 3, 3, 2) | (12, 12, 8, 5, 5, 5) | (12, 11, 10, 9, 9, 8)"
5,2,"r=6,M=12","(12, 8, 7, 6, 6, 6) | (12, 12, 12, 12, 9, 8) | (12, 9, 9, 8, 2, 2) | (12, 12, 10, 2, 2, 1) | (12, 10, 7, 7, 3, 3)"
5,8,"r=6,M=12","(12, 10, 10, 10, 5, 2) | (12, 12, 11, 9, 2, 1) | (12, 12, 10, 8, 4, 1) | (12, 12, 7, 7, 7, 2) | (12, 12, 11, 9, 9, 1)"
5,9,"r=6,M=12","(12, 11, 9, 6, 6, 5) | (12, 7, 7, 4, 4, 3) | (12, 10, 9, 9, 8, 1) | (12, 12, 11, 9, 1, 1) | (12, 11, 8, 8, 7, 2)"
5,65,"r=6,M=12","(12, 12, 7, 7, 7, 6) | (12, 10, 10, 9, 7, 5) | (12, 11, 10, 8, 5, 5) | (12, 11, 9, 9, 9, 1) | (12, 12, 8, 4, 1, 1)"
5,67,"r=6,M=12","(12, 9, 8, 6, 4, 4) | (12, 10, 9, 9, 8, 1) | (12, 12, 11, 9, 1, 1) | (12, 8, 7, 5, 3, 1) | (12, 10, 10, 7, 5, 4)"
