iso_code,score_sequence,realised,certified_min_absA,witness
0,0-1-2-3-4,yes,3.716e-03,"{""bases"": [[24, 4], [29, 2], [48, 25], [48, 44], [24, 1]], ""powers"": [233, 227, 199, 193, 213]}"
2,3-0-1-3-3,yes,1.761e-02,"{""bases"": [[21, 20], [2, 1], [10, 2], [22, 1], [4, 3]], ""powers"": [109, 234, 135, 112, 166]}"
8,2-0-2-3-3,yes,1.105e-02,"{""bases"": [[41, 2], [2, 1], [2, 2], [3, 1], [44, 20]], ""powers"": [82, 189, 167, 161, 79]}"
9,2-0-2-2-4,yes,1.682e-02,"{""bases"": [[17, 16], [39, 31], [16, 1], [2, 2], [16, 1]], ""powers"": [103, 94, 108, 205, 104]}"
64,1-1-2-3-3,yes,9.504e-03,"{""bases"": [[1, 1], [48, 36], [25, 3], [19, 2], [2]], ""powers"": [181, 56, 62, 64, 161]}"
65,1-1-2-2-4,yes,1.532e-02,"{""bases"": [[4, 1], [34, 15], [22, 3], [3, 3], [10, 1]], ""powers"": [178, 106, 113, 177, 126]}"
66,2-1-1-3-3,yes,1.113e-02,"{""bases"": [[25, 15], [19, 1], [6, 4], [3, 3], [3, 1]], ""powers"": [140, 150, 191, 239, 245]}"
67,1-1-1-3-4,yes,1.517e-02,"{""bases"": [[41, 1], [1, 1], [51, 38], [19, 9], [4, 2]], ""powers"": [29, 109, 27, 31, 46]}"
72,2-1-2-2-3,yes,6.198e-03,"{""bases"": [[25, 1], [4, 3], [1, 1], [55, 33], [17]], ""powers"": [75, 112, 235, 66, 78]}"
80,1-2-2-2-3,yes,4.470e-03,"{""bases"": [[44, 2], [3, 2], [2, 1], [1, 1], [51, 25]], ""powers"": [64, 125, 132, 217, 61]}"
81,2-1-2-2-3,yes,6.507e-03,"{""bases"": [[8, 7], [2, 1], [6, 3], [6, 1], [27, 3]], ""powers"": [114, 234, 124, 126, 92]}"
200,2-2-2-2-2,yes,5.277e-03,"{""bases"": [[7, 3], [6, 1], [39, 21], [27, 5], [10]], ""powers"": [193, 207, 139, 148, 173]}"
