two-fiber pool: 3025 signatures, D computed in 36s;  max |D| = 0.128798

=== n = 6: 56 isomorphism classes, two-fiber bases + Cartesian powers ===
  class  0 code 0      scores 0-1-2-3-4-5  OK   LP margin=7.29e-04  certified min|A|=4.250e-04  rational err=9.0e-04  powers=[242, 220, 208, 186, 207, 202]  13s
  class  1 code 2      scores 4-0-1-2-4-4  OK   LP margin=1.86e-02  certified min|A|=1.670e-02  rational err=1.3e-03  powers=[114, 109, 235, 99, 193, 200]  5s
  class  2 code 8      scores 3-0-1-3-4-4  OK   LP margin=1.50e-02  certified min|A|=1.307e-02  rational err=1.2e-03  powers=[245, 194, 167, 172, 165, 238]  12s
  class  3 code 9      scores 3-0-1-3-3-5  OK   LP margin=1.75e-02  certified min|A|=1.504e-02  rational err=1.4e-03  powers=[206, 156, 167, 103, 108, 97]  95s
  class  4 code 64     scores 2-0-2-3-4-4  OK   LP margin=8.83e-03  certified min|A|=7.855e-03  rational err=1.0e-03  powers=[118, 231, 176, 193, 181, 117]  9s
  class  5 code 65     scores 2-0-2-3-3-5  OK   LP margin=1.28e-02  certified min|A|=1.040e-02  rational err=1.3e-03  powers=[187, 127, 122, 128, 175, 126]  70s
  class  6 code 66     scores 3-0-2-2-4-4  OK   LP margin=1.35e-02  certified min|A|=1.123e-02  rational err=2.6e-03  powers=[245, 93, 88, 90, 91, 238]  14s
  class  7 code 67     scores 2-0-2-2-4-5  OK   LP margin=1.65e-02  certified min|A|=1.395e-02  rational err=1.4e-03  powers=[234, 151, 123, 128, 93, 114]  6s
  class  8 code 72     scores 3-0-2-3-3-4  OK   LP margin=9.25e-03  certified min|A|=8.196e-03  rational err=8.9e-04  powers=[248, 173, 244, 156, 158, 161]  533s
  class  9 code 80     scores 2-3-0-3-3-4  OK   LP margin=1.05e-02  certified min|A|=8.413e-03  rational err=1.1e-03  powers=[221, 114, 159, 86, 110, 212]  4s
  class 10 code 81     scores 3-2-0-3-3-4  OK   LP margin=6.07e-03  certified min|A|=4.956e-03  rational err=1.0e-03  powers=[78, 159, 155, 83, 85, 180]  4s
  class 11 code 200    scores 3-3-0-3-3-3  OK   LP margin=5.78e-03  certified min|A|=3.895e-03  rational err=1.9e-03  powers=[70, 78, 118, 74, 110, 219]  5s
