iso_code,score_sequence,realised,certified_min_absA,signatures
0,0-1-2-3-4,yes,1.722e-02,"(12, 12, 12, 11, 10) | (12, 12, 12, 8, 4, 3, 1) | (12, 9, 9, 8, 8, 4) | (12, 6, 6, 3, 1) | (12, 12, 10, 10, 10, 9)"
2,3-0-1-3-3,yes,2.727e-04,"(20, 20, 12, 11, 10) | (12, 12, 12, 9, 4, 4, 3, 1) | (13, 13, 12, 12, 12, 12) | (12, 12, 11, 11, 3, 3, 1) | (20, 14, 13, 11, 10, 10, 3)"
8,2-0-2-3-3,yes,1.446e-03,"(12, 9, 8, 7, 7, 7, 3, 3) | (20, 19, 15, 14, 14, 11) | (20, 20, 17, 17, 14) | (20, 9, 7, 4, 4, 2) | (12, 12, 10, 10, 10, 8, 1)"
9,2-0-2-2-4,yes,1.446e-03,"(20, 20, 20, 20, 19, 6, 1) | (12, 12, 2, 1) | (13, 11, 10, 10, 9, 9) | (12, 10, 9, 7, 1, 1, 1) | (20, 12, 11, 5, 2)"
64,1-1-2-3-3,yes,8.617e-04,"(12, 9, 9, 8, 7, 3, 3) | (13, 13, 12, 11, 10, 2) | (13, 13, 12, 12, 12, 11) | (20, 16, 12, 11, 9) | (20, 20, 15, 6, 1)"
65,1-1-2-2-4,yes,1.446e-03,"(20, 10, 5, 2, 2, 1) | (12, 12, 8, 7, 4, 3, 3, 1) | (20, 17, 12, 12, 11) | (12, 10, 4, 2, 2, 1) | (12, 9, 9, 9, 7, 4, 3)"
66,2-1-1-3-3,yes,1.446e-03,"(20, 20, 19, 8, 1) | (13, 12, 12, 11, 11, 10) | (12, 10, 9, 7, 7, 5, 1) | (12, 12, 11, 4, 4, 3, 1) | (20, 13, 10, 9, 9)"
67,1-1-1-3-4,yes,6.319e-05,"(20, 14, 5, 4, 4, 3) | (11, 9, 6, 1, 1, 1) | (11, 7, 6, 6, 4, 1) | (12, 12, 9, 9, 8, 6, 6, 3) | (20, 19, 15, 12, 11)"
72,2-1-2-2-3,yes,1.105e-03,"(12, 10, 9, 9, 9, 9, 7) | (12, 9, 6, 6, 5, 3, 3, 2) | (12, 12, 10, 10, 4, 2, 2) | (20, 20, 19, 17, 13) | (20, 19, 15, 11, 7)"
80,1-2-2-2-3,no,,
81,2-1-2-2-3,no,,
200,2-2-2-2-2,no,,
