kind,name,a,b,value,extra
oscillation,"random r<=7, values<=40",3.5527136788044387e-09,1459,1770
oscillation,"random r<=12, values<=400",3.5527136788044387e-09,4,1770
oscillation,"random r<=20, values<=10^5",3.5527136788044387e-09,4,1770
metric,uniform K_4,4,3,1.000207491497131,0.0660
metric,uniform K_4,4,4,1.0114869982485462,0.0722
metric,uniform K_4,4,6,1.0334800084024711,0.0808
metric,uniform K_6,6,3,1.9690564200534733,0.0617
metric,uniform K_6,6,4,1.6557489835340495,0.0793
metric,uniform K_6,6,6,1.450030627741086,0.0540
metric,uniform K_8,8,3,2.3210967855635594,0.1128
metric,uniform K_8,8,4,1.977406253875803,0.0893
metric,uniform K_8,8,6,2.0559830587076826,0.0549
metric,C_4,4,3,1.2640512336012675,0.2160
metric,C_4,4,4,1.2716167625798165,0.1680
metric,C_4,4,6,1.2556917680862856,0.1484
metric,C_5,5,3,1.277516710508687,0.1970
metric,C_5,5,4,1.3430762034040649,0.1604
metric,C_5,5,6,1.272588725065653,0.0502
metric,"K_2,3",5,3,2.1978598521292567,0.1146
metric,"K_2,3",5,4,1.5838117321441192,0.0754
metric,"K_2,3",5,6,1.5461220204499557,0.0623
metric,"K_3,3",6,3,2.1384840264251777,0.0732
metric,"K_3,3",6,4,2.3753112183663965,0.0593
metric,"K_3,3",6,6,2.5138094647467106,0.0618
metric,Petersen,10,3,3.578379229809116,0.0842
metric,Petersen,10,4,4.452983089479829,0.1136
metric,Petersen,10,6,3.751778324987316,0.0559
metric,Wagner V8,8,3,3.7247811266030633,0.1026
metric,Wagner V8,8,4,3.867523255788533,0.1206
metric,Wagner V8,8,6,2.7374751328207507,0.0806
