pool,n,curl_fraction,rms_absA,sd_psi,sd_sigma,bound_B1,bound_B2,bound_B3,B1_violation,B2_violation
"random short, n=8",8,0.0240424,0.334094,0.223267,0.342424,0.0337959,0.774232,1.03735,1.11022e-16,-0.148452
"random short, n=16",16,0.0382559,0.159972,0.111521,0.215954,0.0654627,1.83847,2.16647,1.11022e-16,-0.200557
"random short, n=24",24,0.0309271,0.268603,0.186762,0.30306,0.0388562,1.03679,1.29028,1.66533e-16,-0.142852
"random short, n=48",48,0.0286975,0.322475,0.227968,0.327118,0.0412802,0.84057,1.07473,1.66533e-16,-0.135327
"random short, n=96",96,0.038664,0.260507,0.184037,0.292967,0.0574501,1.08671,1.33038,2.22045e-16,-0.123412
arithmetic q=11,60,0.078005,0.025577,0.0183051,0.0366101,0.156728,13.1709,13.5502,1.11022e-16,-0.294371
control q=11,60,0.103132,0.0217499,0.0156718,0.0313435,0.227003,15.5354,15.9345,1.11022e-16,-0.31122
arithmetic q=13,60,0.0913252,0.0198723,0.0142057,0.0284114,0.175211,17.0515,17.44,1.11022e-16,-0.31116
control q=13,60,0.0880625,0.0178199,0.0128577,0.0257154,0.15993,19.0507,19.4487,1.11022e-16,-0.320058
arithmetic q=17,60,0.0875875,0.0173791,0.0124046,0.0248092,0.168042,19.5573,19.942,2.22045e-16,-0.309871
control q=17,60,0.0898209,0.0154264,0.0109867,0.0219735,0.16076,22.0757,22.4663,2.22045e-16,-0.316136
"bucket r=6,M=12",60,0.0636243,0.0427969,2.22045e-16,1.11022e-16,1.03998,8.0981,8.0981,0,-0.226523
"bucket r=5,M=12",60,0.054358,0.0459078,0,5.55112e-17,1.02098,7.54935,7.54935,0,-0.227868
"bucket r=7,M=12",60,0.0765785,0.0390463,1.11022e-16,2.77556e-17,1.05406,8.87597,8.87597,0,-0.227889
