what,n,value,bound,extra
random pool,8,0.9997497031634602,0.022372550694385148,0
random pool,16,0.9997267873788447,0.023374143774143253,0
random pool,24,0.9991476318414393,0.041279653409930554,0
max |D| (3 atoms),2,0.16526101526869935,0.34657359027997264,
max eps (3 atoms),2,0.3305220305373987,1.3862943611198906,
max triangle curl r=2,3,0.1287972575052488,1.0397207708399179,1.8195123062730416
max triangle curl r=3,3,0.16526101526880277,1.0397207708399179,2.01176166159823
max triangle curl r=4,3,0.1848415009934069,1.0397207708399179,1.902452514719044
max triangle curl r=5,3,0.19756505521896023,1.0397207708399179,1.2703866372308916
max triangle curl r=6,3,0.20669840248040672,1.0397207708399179,1.83171795331898
max hodge ratio,3,1.0000000000000002,,1
max hodge ratio,4,1.0000000000000002,,2
max hodge ratio,5,1.0000000000000002,,4
max hodge ratio,6,0.3124840224129584,,0
max hodge ratio,8,0.3074715185528131,,0
max hodge ratio,12,0.3248397197346019,,0
max hodge ratio,16,0.32992023964607853,,0
max hodge ratio,24,0.3229835630065219,,0
known cycle,3,0.015813993569037343,0.20139779879817044,0.1188660690025532
