table,key,n,S5_resid,max_P,max_Q,max_absD,max_eps
pool,"random(2-7 atoms, 1-40)",120,2.220e-16,0.189204885,0.200107532,0.100053766,0.200107532
pool,"random(2-12 atoms, 1-400)",120,2.220e-16,0.138172183,0.123443003,0.069086091,0.138172183
pool,adversarial two-scale/flat,100,8.882e-16,0.656246093,0.647549015,0.328123046,0.656246093

ladder,r,P,Q,D,d
ladder,10,0.455351029,0.000000000,0.227675514,0.455351029
ladder,100,0.555803296,0.000000000,0.277901648,0.555803296
ladder,1000,0.598237561,0.000000000,0.299118780,0.598237561
ladder,10000,0.620875584,0.000000000,0.310437792,0.620875584
ladder,1000000,0.644280045,0.000000000,0.322140023,0.644280045
ladder,1000000000,0.660272694,0.000000000,0.330136347,0.660272694
ladder,1000000000000,0.668381932,0.000000000,0.334190966,0.668381932
ladder,100000000000000000000,0.678210253,0.000000000,0.339105127,0.678210253
ladder,10000000000000000000000000000000000000000,0.685649913,0.000000000,0.342824956,0.685649913
ladder,100000000000000000000000000000000000000000000000000000000000000000000000000000000,0.689391406,0.000000000,0.344695703,0.689391406
