kind,label,a,b,c,d
tier,symplectic only,20,2280,0,
tier-class,symplectic only @ alpha_max=4,3,2,0,
tier-class,symplectic only @ alpha_max=6,5,20,0,
tier-class,symplectic only @ alpha_max=8,11,330,0,
tier,symplectic + torus,105,374920,2,
tier-class,symplectic + torus @ alpha_max=4,10,240,0,
tier-class,symplectic + torus @ alpha_max=6,26,5200,0,
tier-class,symplectic + torus @ alpha_max=8,66,91520,0,
tier,everything (incl. orthogonal),149,1080548,44,
tier-class,everything (incl. orthogonal) @ alpha_max=4,11,330,0,
tier-class,everything (incl. orthogonal) @ alpha_max=6,31,8990,0,
tier-class,everything (incl. orthogonal) @ alpha_max=8,84,190568,0,
cycles,symplectic only,0,0,,
cycles,symplectic + torus,2,2,,
cycles,everything (incl. orthogonal),44,44,,
seed-table,cycles,0,240,6.779222e-02,3
crossing-criterion,,3954,4009,,
matched-m2,,335,,,
