kind,family,limit,q,m2,limit_m2,sup_dPsi,bulk_dPsi_tau2,edge_deficit
convergence,g1 generic,SU2,101,0.917492,1.000000,0.293645,0.097897,-0.283561
convergence,g1 generic,SU2,401,1.000416,1.000000,0.047229,0.020925,-0.044110
convergence,g1 generic,SU2,1601,0.999896,1.000000,0.041040,0.007567,-0.038113
convergence,g1 generic,SU2,6421,0.999663,1.000000,0.013042,0.005539,-0.007433
convergence,g1 generic,SU2,25601,1.000007,1.000000,0.007703,0.002641,-0.006810
convergence,g1 generic,SU2,102407,1.000000,1.000000,0.002476,0.000310,-0.001631
convergence,g1 generic,SU2,409609,0.999995,1.000000,0.001022,0.000578,-0.000152
convergence,g2 generic,USp4,101,0.948845,1.000000,1.504115,0.106029,-1.504115
convergence,g2 generic,USp4,401,0.996675,1.000000,1.265915,0.078133,-1.265915
convergence,g2 generic,USp4,1601,1.003331,1.000000,0.834322,0.018961,-0.834322
convergence,g2 generic,USp4,6421,1.002855,1.000000,0.670042,0.014194,-0.670042
convergence,g2 generic,USp4,25601,1.000885,1.000000,0.453194,0.008429,-0.453194
convergence,g2 generic,USp4,102407,1.001167,1.000000,0.362104,0.004608,-0.362104
convergence,g2 generic,USp4,409609,0.998880,1.000000,0.279728,0.001847,-0.279728
convergence,g3 generic,USp6,101,0.945545,1.000000,3.661663,0.150416,-3.661663
convergence,g3 generic,USp6,401,1.011222,1.000000,2.953805,0.064026,-2.953805
convergence,g3 generic,USp6,1601,0.987091,1.000000,2.680204,0.053342,-2.680204
convergence,g3 generic,USp6,6421,1.000078,1.000000,2.377813,0.020549,-2.377813
convergence,g3 generic,USp6,25601,1.003711,1.000000,1.953725,0.017959,-1.953725
convergence,g3 generic,USp6,102407,0.998278,1.000000,1.810039,0.007603,-1.810039
convergence,g3 generic,USp6,409609,0.999422,1.000000,1.517107,0.002891,-1.517107
convergence,g2 split,SU2xSU2,101,2.033003,2.000000,1.547886,0.668824,-0.509078
convergence,g2 split,SU2xSU2,401,1.986700,2.000000,0.512690,0.059152,-0.512690
convergence,g2 split,SU2xSU2,1601,1.978971,2.000000,0.342809,0.041529,-0.342809
convergence,g2 split,SU2xSU2,6421,2.019831,2.000000,0.208823,0.020137,-0.208299
convergence,g2 split,SU2xSU2,25601,2.005130,2.000000,0.143825,0.006784,-0.143825
convergence,g2 split,SU2xSU2,102407,1.998151,2.000000,0.086592,0.005717,-0.086592
convergence,g2 split,SU2xSU2,409609,2.001198,2.000000,0.044686,0.001740,-0.043273
exponent,g1 generic,SU2,,0.641305,0.797086,0.666667,,
exponent,g2 generic,USp4,,0.480191,0.210412,0.200000,,
exponent,g3 generic,USp6,,0.443674,0.101565,0.095238,,
exponent,g2 split,SU2xSU2,,0.627516,0.304849,0.666667,,
