kind,c0,c1,c2,c3,c4,c5,c6,c7
crosscheck,SU2,0.7,0.235740426668,0.235740426668,0.000e+00,,,
crosscheck,SU2,3.0,3.017851443984,3.017851443984,0.000e+00,,,
crosscheck,SU2,40.0,73.196451572769,73.196451572769,0.000e+00,,,
crosscheck,USp4,0.7,0.244846319587,0.244846319587,0.000e+00,,,
crosscheck,USp4,3.0,4.122071212245,4.122071212245,0.000e+00,,,
crosscheck,USp4,40.0,139.414219149537,139.414219149537,0.000e+00,,,
crosscheck,USp6,0.7,0.244998638728,0.244998638728,0.000e+00,,,
crosscheck,USp6,3.0,4.433702770340,4.433702770340,0.000e+00,,,
crosscheck,USp6,40.0,199.857150082117,199.857150082117,0.000e+00,,,
crosscheck,USp12,0.7,0.245000000000,0.245000000000,0.000e+00,,,
crosscheck,USp12,3.0,4.499969002706,4.499969002706,0.000e+00,,,
crosscheck,USp12,40.0,353.028009739864,353.028009739864,0.000e+00,,,
cycle40,cycle 8,SU2 x 3.SU2,USp12,-0.0104701004980744175618332104908580629417,3.979059799003851164876334,-4.0,3.07724367279,+inf
cycle40,cycle 8,USp12,SU2 x USp4 x USp4,-0.3193781676625367999674667509788347439026,2.0,-2.638756335325073599934934,+inf,5.30645669409
cycle40,cycle 8,SU2 x USp4 x USp4,SU2 x 3.SU2,-0.06941755115942186712576370555007774238776,2.0,-2.138835102318843734251527,+inf,1.48199767447
cycle40-margin,cycle 8,0.0104701004980744175618332104909,True,,,,,
cycle40,cycle 9,SU2 x 3.SU2,USp12,-0.0104701004980744175618332104908580629417,3.979059799003851164876334,-4.0,3.07724367279,+inf
cycle40,cycle 9,USp12,SU2 x SU2 x USp6,-0.1500338202737787826586997664872715993093,2.0,-2.3000676405475575653174,+inf,5.2675460763
cycle40,cycle 9,SU2 x SU2 x USp6,SU2 x 3.SU2,-0.1187123632823770305842286959426434046775,2.0,-2.237424726564754061168457,+inf,1.69213439713
cycle40-margin,cycle 9,0.0104701004980744175618332104909,True,,,,,
cycle40,cycle 7 (control),2.SU2 x 2.SU2,USp12,-0.07502532855469174755865859708565165487046,3.849949342890616504882683,-4.0,3.24530107607,+inf
cycle40,cycle 7 (control),USp12,SU2 x SU2 x USp6,-0.1500338202737787826586997664872715993093,2.0,-2.3000676405475575653174,+inf,5.2675460763
cycle40,cycle 7 (control),SU2 x SU2 x USp6,2.SU2 x 2.SU2,-0.01206057421855458525935346125780578377559,2.0,-2.024121148437109170518707,+inf,1.89687046085
cycle40-margin,cycle 7 (control),0.0120605742185545852593534612578,True,,,,,
cycle40,"wide, multiplicity <= 2",SU2 x 2.SU2 x USp4,USp14,-0.1196695279279056449131927908347005053983,3.760660944144188710173614,-4.0,4.5297841704,+inf
cycle40,"wide, multiplicity <= 2",USp14,USp6 x USp6,-0.1106336225035651869285581462721661558688,2.0,-2.221267245007130373857116,+inf,6.94894235492
cycle40,"wide, multiplicity <= 2",USp6 x USp6,SU2 x 2.SU2 x USp4,-0.06158309201661860434628612187902857294081,2.0,-2.123166184033237208692572,+inf,2.5397147474
cycle40-margin,"wide, multiplicity <= 2",0.061583092016618604346286121879,True,,,,,
cycle40,"wide, MULTIPLICITY-FREE",SU2^5,USp14,-0.1051934832886848774201778453478543527828,3.789613033422630245159644,-4.0,4.64737846031,+inf
cycle40,"wide, MULTIPLICITY-FREE",USp14,USp6 x USp6,-0.1106336225035651869285581462721661558688,2.0,-2.221267245007130373857116,+inf,6.94894235492
cycle40,"wide, MULTIPLICITY-FREE",USp6 x USp6,SU2^5,-0.04011641219619069839997652842636065515779,2.0,-2.080232824392381396799953,+inf,2.78447363788
cycle40-margin,"wide, MULTIPLICITY-FREE",0.0401164121961906983999765284264,True,,,,,
K_ranks-crosscheck,0.000e+00,,,,,,,
wide-summary,12.0,1,29,7308,0,,,
wide-summary,12.0,2,52,44200,1,1.204117e-02,,
wide-cycle,12.0,2,2.SU2 x 2.SU2,USp12,SU2 x SU2 x USp6,1.204117e-02,,
wide-summary,12.0,3,63,79422,3,1.204117e-02,,
wide-cycle,12.0,3,2.SU2 x 2.SU2,USp12,SU2 x SU2 x USp6,1.204117e-02,,
wide-cycle,12.0,3,SU2 x 3.SU2,USp12,SU2 x SU2 x USp6,1.049878e-02,,
wide-cycle,12.0,3,SU2 x 3.SU2,USp12,SU2 x USp4 x USp4,1.049878e-02,,
wide-summary,14.0,1,44,26488,1,4.004957e-02,,
wide-cycle,14.0,1,SU2 x SU2 x SU2 x SU2 x SU2,USp14,USp6 x USp6,4.004957e-02,,
wide-summary,14.0,2,83,183762,7,6.151326e-02,,
wide-cycle,14.0,2,SU2 x 2.SU2 x USp4,USp14,USp6 x USp6,6.151326e-02,,
wide-cycle,14.0,2,2.SU2 x USp8,SU2 x USp12,USp4 x USp4 x USp4,4.134416e-02,,
wide-cycle,14.0,2,SU2 x 2.SU2 x 2.SU2,SU2 x USp12,USp4 x USp4 x USp4,4.134416e-02,,
wide-cycle,14.0,2,SU2 x SU2 x SU2 x SU2 x SU2,USp14,USp6 x USp6,4.004957e-02,,
wide-cycle,14.0,2,2.SU2 x 2.SU2,USp12,SU2 x SU2 x USp6,1.204117e-02,,
wide-cycle,14.0,2,SU2 x 2.SU2 x 2.SU2,SU2 x USp12,SU2 x SU2 x SU2 x USp6,1.204117e-02,,
wide-cycle,14.0,2,2.SU2 x USp10,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,SU2 x SU2 x 2.SU2 x USp4,8.584391e-04,,
wide-summary,14.0,3,105,374920,18,9.519598e-02,,
wide-cycle,14.0,3,2.SU2 x 3.SU2,SU2 x SU2 x USp10,USp4 x 2.USp4,9.519598e-02,,
wide-cycle,14.0,3,2.SU2 x USp10,SU2 x SU2 x 2.USp4,3.SU2 x USp6,8.050842e-02,,
wide-cycle,14.0,3,2.SU2 x USp10,USp4 x USp4 x USp6,3.SU2 x USp6,6.941597e-02,,
wide-cycle,14.0,3,SU2 x 2.SU2 x USp4,USp14,USp6 x USp6,6.151326e-02,,
wide-cycle,14.0,3,2.SU2 x USp8,SU2 x USp12,USp4 x USp4 x USp4,4.134416e-02,,
wide-cycle,14.0,3,SU2 x 2.SU2 x 2.SU2,SU2 x USp12,USp4 x USp4 x USp4,4.134416e-02,,
wide-cycle,14.0,3,SU2 x USp12,USp4 x USp4 x USp4,USp4 x 3.SU2,4.134416e-02,,
wide-cycle,14.0,3,SU2 x SU2 x SU2 x SU2 x SU2,USp14,USp6 x USp6,4.004957e-02,,
wide-cycle,14.0,3,3.SU2 x 3.SU2,SU2 x 2.SU2 x 2.SU2 x USp4,SU2 x 2.SU2 x 2.USp4,2.209773e-02,,
wide-cycle,14.0,3,2.SU2 x 2.SU2,USp12,SU2 x SU2 x USp6,1.204117e-02,,
wide-cycle,14.0,3,SU2 x 2.SU2 x 2.SU2,SU2 x USp12,SU2 x SU2 x SU2 x USp6,1.204117e-02,,
wide-cycle,14.0,3,2.SU2 x USp10,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,3.SU2 x USp6,1.084287e-02,,
wide-summary,16.0,1,66,91520,3,4.004957e-02,,
wide-cycle,16.0,1,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,SU2 x USp14,SU2 x USp6 x USp6,4.004957e-02,,
wide-cycle,16.0,1,SU2 x SU2 x SU2 x SU2 x SU2,USp14,USp6 x USp6,4.004957e-02,,
wide-cycle,16.0,1,SU2 x SU2 x SU2 x SU2 x SU2 x USp4,SU2 x SU2 x SU2 x USp10,USp4 x USp6 x USp6,8.584391e-04,,
wide-summary,16.0,2,137,838440,31,7.506924e-02,,
wide-cycle,16.0,2,2.SU2 x 2.SU2 x 2.SU2,2.SU2 x USp12,SU2 x 2.USp6,7.506924e-02,,
wide-cycle,16.0,2,2.SU2 x 2.SU2 x 2.SU2,2.SU2 x USp12,SU2 x USp6 x USp8,7.309927e-02,,
wide-cycle,16.0,2,2.SU2 x 2.SU2 x 2.SU2,2.SU2 x USp12,SU2 x SU2 x SU2 x USp4 x USp4,6.230349e-02,,
wide-cycle,16.0,2,SU2 x 2.SU2 x USp4,USp14,USp6 x USp6,6.151326e-02,,
wide-cycle,16.0,2,SU2 x SU2 x 2.SU2 x USp4,SU2 x USp14,SU2 x USp6 x USp6,6.151326e-02,,
wide-cycle,16.0,2,2.SU2 x USp8,SU2 x USp12,USp4 x USp4 x USp4,4.134416e-02,,
wide-cycle,16.0,2,SU2 x 2.SU2 x 2.SU2,SU2 x USp12,USp4 x USp4 x USp4,4.134416e-02,,
wide-cycle,16.0,2,SU2 x 2.SU2 x USp8,SU2 x SU2 x USp12,SU2 x USp4 x USp4 x USp4,4.134416e-02,,
wide-cycle,16.0,2,SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x SU2 x USp12,SU2 x USp4 x USp4 x USp4,4.134416e-02,,
wide-cycle,16.0,2,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,SU2 x USp14,SU2 x USp6 x USp6,4.004957e-02,,
wide-cycle,16.0,2,SU2 x SU2 x SU2 x SU2 x SU2,USp14,USp6 x USp6,4.004957e-02,,
wide-cycle,16.0,2,2.SU2 x USp10,SU2 x USp14,SU2 x USp6 x USp6,3.394631e-02,,
wide-summary,16.0,3,177,1817200,126,1.640285e-01,,
wide-cycle,16.0,3,2.SU2 x 3.SU2,USp16,2.USp6,1.640285e-01,,
wide-cycle,16.0,3,2.SU2 x 3.SU2,USp16,USp6 x USp8,1.613164e-01,,
wide-cycle,16.0,3,2.SU2 x 3.SU2,USp16,SU2 x SU2 x SU2 x SU2 x USp4,1.608922e-01,,
