kind,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
su2x3su2_e-1,13,8,0,0,0,0,2,8,4.000000,18.5562,89.96
su2x3su2_e-1,17,12,0,0,0,0,3,8,12.549020,387.3956,12983.59
su2x3su2_e-1,29,20,0,0,0,0,4,12,3.089655,42.9812,798.01
su2x3su2_e-1,37,28,0,0,0,0,6,10,12.447876,260.5547,7742.39
su2x3su2_e-1,41,36,0,0,0,0,7,8,10.428184,202.9607,4830.31
su2x3su2_e-1,53,44,0,0,0,0,8,16,8.658662,147.7681,3374.49
su2x3su2_e-1,61,56,0,0,0,0,10,18,8.758782,252.5969,9768.14
su2x3su2_e-1,73,68,0,0,0,0,13,22,9.366640,142.6434,2620.90
su2x3su2_e-1,89,84,0,0,0,0,15,34,9.061530,169.8271,4193.08
su2x3su2_e-1,97,92,0,0,0,0,17,18,9.724787,195.2233,4692.87
su2x3su2_e-1,101,96,0,0,0,0,16,26,7.570957,150.0852,4774.21
su2x3su2_e-1,109,100,0,0,0,0,18,20,12.165872,297.5935,8873.29
su2x3su2_e-1,113,104,0,0,0,0,19,18,10.633084,225.4927,6138.03
su2x3su2_e-1,137,128,0,0,0,0,23,22,9.447080,197.3972,5503.98
su2x3su2_e-1,149,140,0,0,0,0,24,30,10.322531,240.9212,7784.60
su2x3su2_e-1,157,152,0,0,0,0,26,44,8.569896,175.3748,4831.72
su2x3su2_e-1,173,168,0,0,0,0,28,36,10.751445,201.3375,4509.36
su2x3su2_e-1,181,176,0,0,0,0,30,30,10.418885,254.5263,8821.35
su2x3su2_e-1,193,184,0,0,0,0,33,28,8.788466,183.2616,5239.05
su2x3su2_e-1,197,188,0,0,0,0,32,46,10.386435,253.5781,8190.75
su2x3su2_e-1,229,224,0,0,0,0,38,28,10.180911,211.5161,5639.35
su2x3su2_e-1,233,224,0,0,0,0,39,38,10.016554,221.0314,6399.35
su2x3su2_e-1,241,236,0,0,0,0,41,34,9.257472,205.3111,6213.36
