measure,alpha_max,m2,edge_exponent_t,tier
CM,2,1.000000,0.5000,torus (conditional)
SU2,2,1.000000,1.5000,symplectic (realised)
U1,2,2.000000,0.5000,torus (conditional)
SO3,3,1.000000,1.5000,orthogonal (not curves)
SO4,4,1.000000,3.0000,orthogonal (not curves)
USp4,4,1.000000,5.0000,symplectic (realised)
CM x CM,4,2.000000,1.0000,torus (conditional)
SU2 x CM,4,2.000000,2.0000,torus (conditional)
SU2 x SU2,4,2.000000,3.0000,symplectic (realised)
U1 x CM,4,3.000000,1.0000,torus (conditional)
SU2 x U1,4,3.000000,2.0000,torus (conditional)
2.CM,4,4.000000,0.5000,torus (conditional)
U1 x U1,4,4.000000,1.0000,torus (conditional)
2.SU2,4,4.000000,1.5000,symplectic (realised)
2.U1,4,8.000000,0.5000,torus (conditional)
SO5,5,1.000000,5.0000,orthogonal (not curves)
CM x SO3,5,2.000000,2.0000,orthogonal (not curves)
SU2 x SO3,5,2.000000,3.0000,orthogonal (not curves)
U1 x SO3,5,3.000000,2.0000,orthogonal (not curves)
SO6,6,1.000000,7.5000,orthogonal (not curves)
USp6,6,1.000000,10.5000,symplectic (realised)
SO3 x SO3,6,2.000000,3.0000,orthogonal (not curves)
CM x SO4,6,2.000000,3.5000,orthogonal (not curves)
SU2 x SO4,6,2.000000,4.5000,orthogonal (not curves)
CM x USp4,6,2.000000,5.5000,torus (conditional)
SU2 x USp4,6,2.000000,6.5000,symplectic (realised)
CM x CM x CM,6,3.000000,1.5000,torus (conditional)
SU2 x CM x CM,6,3.000000,2.5000,torus (conditional)
SU2 x SU2 x CM,6,3.000000,3.5000,torus (conditional)
U1 x SO4,6,3.000000,3.5000,orthogonal (not curves)
SU2 x SU2 x SU2,6,3.000000,4.5000,symplectic (realised)
U1 x USp4,6,3.000000,5.5000,torus (conditional)
U1 x CM x CM,6,4.000000,1.5000,torus (conditional)
SU2 x U1 x CM,6,4.000000,2.5000,torus (conditional)
SU2 x SU2 x U1,6,4.000000,3.5000,torus (conditional)
CM x 2.CM,6,5.000000,1.0000,torus (conditional)
U1 x U1 x CM,6,5.000000,1.5000,torus (conditional)
CM x 2.SU2,6,5.000000,2.0000,torus (conditional)
SU2 x 2.CM,6,5.000000,2.0000,torus (conditional)
SU2 x U1 x U1,6,5.000000,2.5000,torus (conditional)
SU2 x 2.SU2,6,5.000000,3.0000,symplectic (realised)
U1 x 2.CM,6,6.000000,1.0000,torus (conditional)
U1 x U1 x U1,6,6.000000,1.5000,torus (conditional)
U1 x 2.SU2,6,6.000000,2.0000,torus (conditional)
3.CM,6,9.000000,0.5000,torus (conditional)
CM x 2.U1,6,9.000000,1.0000,torus (conditional)
3.SU2,6,9.000000,1.5000,symplectic (realised)
SU2 x 2.U1,6,9.000000,2.0000,torus (conditional)
U1 x 2.U1,6,10.000000,1.0000,torus (conditional)
3.U1,6,18.000000,0.5000,torus (conditional)
SO7,7,1.000000,10.5000,orthogonal (not curves)
SO3 x SO4,7,2.000000,4.5000,orthogonal (not curves)
CM x SO5,7,2.000000,5.5000,orthogonal (not curves)
SO3 x USp4,7,2.000000,6.5000,orthogonal (not curves)
SU2 x SO5,7,2.000000,6.5000,orthogonal (not curves)
CM x CM x SO3,7,3.000000,2.5000,orthogonal (not curves)
SU2 x CM x SO3,7,3.000000,3.5000,orthogonal (not curves)
SU2 x SU2 x SO3,7,3.000000,4.5000,orthogonal (not curves)
U1 x SO5,7,3.000000,5.5000,orthogonal (not curves)
U1 x CM x SO3,7,4.000000,2.5000,orthogonal (not curves)
SU2 x U1 x SO3,7,4.000000,3.5000,orthogonal (not curves)
SO3 x 2.CM,7,5.000000,2.0000,orthogonal (not curves)
U1 x U1 x SO3,7,5.000000,2.5000,orthogonal (not curves)
SO3 x 2.SU2,7,5.000000,3.0000,orthogonal (not curves)
SO3 x 2.U1,7,9.000000,2.0000,orthogonal (not curves)
