kind,c0,c1,c2,c3,c4,c5,c6
shape,13,2,16,3,7,,
shape,13,3,10,7,4,,
shape,13,4,7,15,2,,
shape,14,2,17,3,7,,
shape,15,2,18,3,8,,
shape,15,3,11,7,4,,
cycle13-vertex,"cycle A, margin 8.0e-3","(7, 2, 2, 1, 1)",5,7,NO,,
cycle13-vertex,"cycle A, margin 8.0e-3","(5, 4, 2, 2)",4,5,NO,,
cycle13-vertex,"cycle A, margin 8.0e-3","(6, 4, 1, 1, 1)",5,6,prym,,
cycle13-vertex,"cycle B, margin 4.4e-4","(8, 1, 1, 1, 1, 1)",6,8,prym,,
cycle13-vertex,"cycle B, margin 4.4e-4","(4, 4, 4, 1)",4,4,NO,,
cycle13-vertex,"cycle B, margin 4.4e-4","(6, 3, 2, 2)",4,6,prym,,
search,2,2,2,0,0,,
search,3,3,3,0,0,,
search,4,5,4,0,0,,
search,5,7,7,0,0,,
search,6,11,8,0,0,,
search,7,15,14,0,0,,
search,8,22,12,0,0,,
search,9,30,27,0,0,,
search,10,42,20,0,0,,
search,11,56,33,0,0,,
