family,q,fibres,a,b,c,d,e
E2_identity,11,9,0,7,4.363636,34.5565,337.487
E2_identity,13,11,0,9,3.580420,27.5417,269.824
E2_identity,17,15,0,11,3.701961,26.1610,210.038
E2_identity,19,17,0,13,4.210526,33.5799,357.073
E2_identity,23,21,0,15,4.173913,33.3222,315.584
E2_identity,29,27,0,19,3.841635,29.4478,291.527
E2_identity,31,29,0,21,4.129032,32.9955,312.873
E2_identity,37,35,0,25,3.879537,29.3747,268.547
E2_identity,41,39,0,27,3.892433,31.0399,312.191
E2_identity,43,41,0,29,4.093023,32.7256,339.527
E2_identity,47,45,0,31,4.085106,32.6654,320.085
E2_identity,53,51,0,35,3.918609,30.4322,306.686
E2_identity,59,57,0,39,4.067797,32.5327,310.832
E2_identity,61,59,0,41,3.929981,31.3955,311.621
E2_identity,67,65,0,45,4.059701,32.4702,325.069
E2_identity,71,69,0,47,4.056338,32.4441,328.067
E2_identity,73,71,0,49,3.942118,31.0190,302.520
E2_identity,79,77,0,53,4.050633,32.3997,329.978
E2_identity,83,81,0,55,4.048193,32.3807,315.939
E2_identity,89,87,0,59,3.952990,31.4785,326.724
E2_identity,97,95,0,65,3.957027,31.3502,304.184
E2_identity,101,99,0,67,3.958796,31.0460,309.362
E2_identity,211,209,0,141,4.018957,32.1509,324.680
E2_identity,401,399,0,267,3.989925,31.7604,315.016
E2_identity,1009,1007,0,673,3.996020,31.9486,317.781
E2_identity,2003,2001,0,1335,4.001997,32.0160,322.361
E2_identity,4001,3999,0,2667,3.998999,31.9914,318.424
E2_identity,8009,8007,0,5339,3.999500,31.9908,320.425
E2_identity,16001,15999,0,10667,3.999750,31.9946,319.299
palindromic_m3,401,399,0,3.989925,31.7604,315.016,"4, 32, 320"
palindromic_m3,1009,1007,0,3.996020,31.9486,317.781,"4, 32, 320"
palindromic_m3,4001,3999,0,3.998999,31.9914,318.424,"4, 32, 320"
palindromic_m3,16001,15999,0,3.999750,31.9946,319.299,"4, 32, 320"
palindromic_m5,401,397,0,4.037966,46.0285,783.497,"4, 48, 896"
palindromic_m5,1009,1005,0,3.858164,43.7068,734.718,"4, 48, 896"
palindromic_m5,4001,3997,0,4.113753,50.1784,944.902,"4, 48, 896"
palindromic_m5,16001,15997,0,3.966621,48.3173,929.135,"4, 48, 896"
palindromic_m7,401,398,0,4.047770,49.0978,932.465,"4, 48, 960"
palindromic_m7,1009,1005,0,3.937640,45.6674,832.454,"4, 48, 960"
palindromic_m7,4001,3997,0,3.997545,47.5142,911.821,"4, 48, 960"
palindromic_m7,16001,15999,0,4.016018,48.8993,1030.982,"4, 48, 960"
genus 4  2.SU2 x 2.SU2,401,392,7.507761,142.8044,3872.621,"8, 160, 4480",
   its half J ~ E_1 x E_2,401,392,1.876940,8.9253,60.510,"2, 10, 70",
genus 4  2.SU2 x 2.SU2,1009,998,7.595607,151.9679,4300.270,"8, 160, 4480",
   its half J ~ E_1 x E_2,1009,998,1.898902,9.4980,67.192,"2, 10, 70",
genus 4  2.SU2 x 2.SU2,4001,3992,7.523410,146.0793,4017.919,"8, 160, 4480",
   its half J ~ E_1 x E_2,4001,3992,1.880852,9.1300,62.780,"2, 10, 70",
genus 4  2.SU2 x 2.SU2,16001,15992,7.996481,162.0639,4589.110,"8, 160, 4480",
   its half J ~ E_1 x E_2,16001,15992,1.999120,10.1290,71.705,"2, 10, 70",
genus 5  SU2^2 x USp(6),401,398,2.965689,24.3400,315.071,"3, 25, 325",
   its genus-2 half,401,398,1.994812,10.9698,86.416,"2, 10, 70",
   its genus-3 half,401,398,0.968972,2.6631,10.660,"1, 3, 15",
genus 5  SU2^2 x USp(6),1009,1006,2.986629,23.3164,272.359,"3, 25, 325",
   its genus-2 half,1009,1006,1.996347,9.9408,71.064,"2, 10, 70",
   its genus-3 half,1009,1006,0.991874,2.7650,11.194,"1, 3, 15",
genus 5  SU2^2 x USp(6),4001,3998,2.992398,24.4982,303.749,"3, 25, 325",
   its genus-2 half,4001,3998,1.998274,9.8731,67.483,"2, 10, 70",
   its genus-3 half,4001,3998,0.998515,2.9720,13.571,"1, 3, 15",
genus 5  SU2^2 x USp(6),16001,15998,2.999671,25.1210,335.248,"3, 25, 325",
   its genus-2 half,16001,15998,1.999855,9.9827,69.907,"2, 10, 70",
   its genus-3 half,16001,15998,0.999638,3.0273,14.250,"1, 3, 15",
genus 6  USp(12)  y^2=x^13+x+c,401,401,0.947631,2.2599,8.374,"1, 3, 15",
genus 6  USp(12)  y^2=x^13+x+c,1009,1009,1.296333,9.3566,441.720,"1, 3, 15",
genus 6  USp(12)  y^2=x^13+x+c,4001,3997,0.923692,2.6255,12.708,"1, 3, 15",
genus 6  USp(12)  y^2=x^13+x+c,16001,16001,0.949691,2.6192,11.697,"1, 3, 15",
E3_genus3,211,207,207,8.674222,149.0762,3209.574,"9, 162, 3645"
E3_genus3,601,597,597,8.723250,151.7802,3272.793,"9, 162, 3645"
E3_genus3,1009,1005,1005,8.781516,153.6172,3358.442,"9, 162, 3645"
E3_genus3,4021,4017,4017,9.146421,167.8687,3853.763,"9, 162, 3645"
E3_genus3,16033,16029,16029,8.956543,161.0308,3623.576,"9, 162, 3645"
swap split (irrational theta fixed pts),401,396,4.463992,105.0724,3225.101,"4, 80, 2240  (NOT 8)",
   its half (swap measure),401,396,1.115998,6.5670,50.392,"1, 5, 35  (NOT 2)",
swap split (irrational theta fixed pts),1009,1002,4.080861,86.1046,2518.520,"4, 80, 2240  (NOT 8)",
   its half (swap measure),1009,1002,1.020215,5.3815,39.352,"1, 5, 35  (NOT 2)",
swap split (irrational theta fixed pts),4001,3996,4.124614,81.3485,2167.645,"4, 80, 2240  (NOT 8)",
   its half (swap measure),4001,3996,1.031154,5.0843,33.869,"1, 5, 35  (NOT 2)",
swap split (irrational theta fixed pts),16001,15996,4.067506,83.0089,2384.457,"4, 80, 2240  (NOT 8)",
   its half (swap measure),16001,15996,1.016876,5.1881,37.257,"1, 5, 35  (NOT 2)",
"y^2=F(x^2), F palindromic sextic",401,397,3.555972,35.7322,547.916,"4, 45  (SU2^3 x USp4, NOT 3)",
"y^2=F(x^2), F palindromic sextic",1009,1005,3.792830,40.0331,651.305,"4, 45  (SU2^3 x USp4, NOT 3)",
"y^2=F(x^2), F palindromic sextic",4001,3997,3.944726,44.1712,782.405,"4, 45  (SU2^3 x USp4, NOT 3)",
"y^2=F(x^2), F palindromic sextic",16001,15997,4.030986,45.2432,783.567,"4, 45  (SU2^3 x USp4, NOT 3)",
generic genus 2  y^2=x^5+x+c,401,397,1.012708,3.2426,16.550,"1, 3, 14",
generic genus 2  y^2=x^5+x+c,1009,1009,0.987116,3.1737,15.666,"1, 3, 14",
