measure,alpha_max,genus,m2,edge_exponent_t
SU2,2,1,1.000000,1.5000
USp4,4,2,1.000000,5.0000
SU2 x SU2,4,2,2.000000,3.0000
2.SU2,4,2,4.000000,1.5000
USp6,6,3,1.000000,10.5000
SU2 x USp4,6,3,2.000000,6.5000
SU2 x SU2 x SU2,6,3,3.000000,4.5000
SU2 x 2.SU2,6,3,5.000000,3.0000
3.SU2,6,3,9.000000,1.5000
USp8,8,4,1.000000,18.0000
USp4 x USp4,8,4,2.000000,10.0000
SU2 x USp6,8,4,2.000000,12.0000
SU2 x SU2 x USp4,8,4,3.000000,8.0000
2.USp4,8,4,4.000000,5.0000
SU2 x SU2 x SU2 x SU2,8,4,4.000000,6.0000
2.SU2 x USp4,8,4,5.000000,6.5000
SU2 x SU2 x 2.SU2,8,4,6.000000,4.5000
2.SU2 x 2.SU2,8,4,8.000000,3.0000
SU2 x 3.SU2,8,4,10.000000,3.0000
4.SU2,8,4,16.000000,1.5000
USp10,10,5,1.000000,27.5000
USp4 x USp6,10,5,2.000000,15.5000
SU2 x USp8,10,5,2.000000,19.5000
SU2 x USp4 x USp4,10,5,3.000000,11.5000
SU2 x SU2 x USp6,10,5,3.000000,13.5000
SU2 x SU2 x SU2 x USp4,10,5,4.000000,9.5000
SU2 x 2.USp4,10,5,5.000000,6.5000
SU2 x SU2 x SU2 x SU2 x SU2,10,5,5.000000,7.5000
2.SU2 x USp6,10,5,5.000000,12.0000
SU2 x 2.SU2 x USp4,10,5,6.000000,8.0000
SU2 x SU2 x SU2 x 2.SU2,10,5,7.000000,6.0000
SU2 x 2.SU2 x 2.SU2,10,5,9.000000,4.5000
USp4 x 3.SU2,10,5,10.000000,6.5000
SU2 x SU2 x 3.SU2,10,5,11.000000,4.5000
2.SU2 x 3.SU2,10,5,13.000000,3.0000
SU2 x 4.SU2,10,5,17.000000,3.0000
5.SU2,10,5,25.000000,1.5000
USp12,12,6,1.000000,39.0000
USp6 x USp6,12,6,2.000000,21.0000
USp4 x USp8,12,6,2.000000,23.0000
SU2 x USp10,12,6,2.000000,29.0000
USp4 x USp4 x USp4,12,6,3.000000,15.0000
SU2 x USp4 x USp6,12,6,3.000000,17.0000
SU2 x SU2 x USp8,12,6,3.000000,21.0000
2.USp6,12,6,4.000000,10.5000
SU2 x SU2 x USp4 x USp4,12,6,4.000000,13.0000
SU2 x SU2 x SU2 x USp6,12,6,4.000000,15.0000
USp4 x 2.USp4,12,6,5.000000,10.0000
SU2 x SU2 x SU2 x SU2 x USp4,12,6,5.000000,11.0000
2.SU2 x USp8,12,6,5.000000,19.5000
SU2 x SU2 x 2.USp4,12,6,6.000000,8.0000
SU2 x SU2 x SU2 x SU2 x SU2 x SU2,12,6,6.000000,9.0000
2.SU2 x USp4 x USp4,12,6,6.000000,11.5000
SU2 x 2.SU2 x USp6,12,6,6.000000,13.5000
SU2 x SU2 x 2.SU2 x USp4,12,6,7.000000,9.5000
2.SU2 x 2.USp4,12,6,8.000000,6.5000
SU2 x SU2 x SU2 x SU2 x 2.SU2,12,6,8.000000,7.5000
3.USp4,12,6,9.000000,5.0000
2.SU2 x 2.SU2 x USp4,12,6,9.000000,8.0000
SU2 x SU2 x 2.SU2 x 2.SU2,12,6,10.000000,6.0000
3.SU2 x USp6,12,6,10.000000,12.0000
SU2 x USp4 x 3.SU2,12,6,11.000000,8.0000
2.SU2 x 2.SU2 x 2.SU2,12,6,12.000000,4.5000
SU2 x SU2 x SU2 x 3.SU2,12,6,12.000000,6.0000
SU2 x 2.SU2 x 3.SU2,12,6,14.000000,4.5000
USp4 x 4.SU2,12,6,17.000000,6.5000
3.SU2 x 3.SU2,12,6,18.000000,3.0000
SU2 x SU2 x 4.SU2,12,6,18.000000,4.5000
2.SU2 x 4.SU2,12,6,20.000000,3.0000
SU2 x 5.SU2,12,6,26.000000,3.0000
6.SU2,12,6,36.000000,1.5000
